"CHN" "FAN" "OLN" "SIL" "CXN" "TVN" "MAN"
"CHI" 40949 2453 23320 10871 18567 5125 147
"FEM" 12947 77458 75486 75177 12714 18640 7930
"SIL" 21120 20655 157736 950749 14505 97297 10325
"OVL" 6781 8950 22148 6367 4533 1928 1756
"ELE" 397 103 1873 38851 669 442 11
"MAL" 272 1416 5564 4245 229 1999 1928
"OCH" 1354 443 16388 8694 4180 3446 206
"CHI/OVL" 34 2 41 4 18 0 1
"FEM/OVL" 32 112 142 51 23 18 16
"ELE/OVL" 4 1 10 26 4 0 0
"MAL/OVL" 0 0 10 3 1 2 1
"OCH/OVL" 5 2 56 13 12 6 3
"FEM/MAL" 0 0 0 0 0 0 0
"FEM/OCH" 0 0 0 0 0 0 0
"CHI/MAL" 0 0 0 0 0 0 0
"CHI/OCH" 0 0 0 0 0 0 0
"CHI/FEM" 0 0 1 0 1 0 0
"MAL/OCH" 0 0 0 0 0 0 0
"ELE/FEM" 0 0 0 1 0 0 0
"CHI/ELE/OVL" 0 0 0 0 0 0 0
"CHI/OCH/OVL" 0 0 0 0 0 0 0
"CHI/FEM/OVL" 0 0 0 0 0 0 0
"FEM/OCH/OVL" 0 0 0 0 0 0 0
"FEM/MAL/OVL" 0 0 0 0 0 0 0
