"CHN" "FAN" "OLN" "SIL" "CXN" "TVN" "MAN"
"CHI" 85306 2771 24942 21593 5285 3468 762
"FEM" 5870 57923 50588 36208 4121 10847 5710
"SIL" 25666 15229 123299 984146 10889 91853 8680
"OVL" 9527 10064 21896 5420 3728 8449 2529
"ELE" 409 718 2437 20256 431 14994 51
"MAL" 808 5710 11942 20359 454 9013 18695
"OCH" 4093 3495 14590 11935 17716 4398 188
"CHI/OVL" 37 8 31 10 5 2 0
"FEM/OVL" 22 70 87 26 9 18 4
"ELE/OVL" 4 2 2 7 0 7 0
"MAL/OVL" 6 6 29 18 0 21 10
"OCH/OVL" 7 10 36 15 20 7 2
"FEM/MAL" 0 0 0 0 0 0 0
"FEM/OCH" 0 0 0 0 0 0 0
"CHI/MAL" 0 0 0 0 1 0 0
"CHI/OCH" 0 0 0 0 0 0 0
"CHI/FEM" 0 0 0 0 0 0 0
"MAL/OCH" 0 0 0 0 0 0 0
"ELE/FEM" 0 0 0 0 0 0 0
"CHI/ELE/OVL" 0 0 0 0 0 0 0
"CHI/OCH/OVL" 0 0 0 0 0 0 0
"CHI/FEM/OVL" 0 0 0 0 0 0 0
"FEM/OCH/OVL" 0 0 0 0 0 0 0
"FEM/MAL/OVL" 0 0 0 0 0 0 0
