"child_id" "age_mo_round" "CV_cum_dur" "CV_mean" "CV_count" "CNV_cum_dur" "CNV_mean" "CNV_count" "CTC_count"
"BER_0396" 15 147.024 0.986738255033557 149 25.211 1.80078571428571 14 71
"BER_1196" 9 189.982 0.922242718446602 206 2.942 2.942 1 31
"BER_1618" 7 52.272 0.843096774193548 62 11.889 1.69842857142857 7 47
"BER_1844" 10 76.787 1.37119642857143 56 57.291 3.8194 15 73
"BER_2927" 13 102.018 0.990466019417476 103 20.264 1.12577777777778 18 128
"BER_3749" 14 125.13 1.39033333333333 90 68.37 4.273125 16 114
"BER_3895" 8 100.622 0.780015503875969 129 82.661 2.23408108108108 37 120
"BER_5750" 7 142.3 1.16639344262295 122 97.866 2.64502702702703 37 118
"BER_6035" 12 86.658 0.973685393258427 89 13.88 2.31333333333333 6 129
"BER_7758" 17 67.475 0.681565656565657 99 12.316 1.36844444444444 9 60
"ROW_2745" 18 83.484 0.592085106382979 141 0.5 0.5 1 59
"ROW_7798" 11 69.323 0.517335820895522 134 37.874 0.70137037037037 54 188
"ROW_8357" 12 148.54 0.690883720930233 215 37.281 1.43388461538462 26 173
"ROW_9492" 15 62.513 0.618940594059406 101 8.518 1.7036 5 38
"SOD_3542" 2 73.416 0.517014084507042 142 33.986 0.84965 40 149
"SOD_4483" 5 67.304 0.666376237623762 101 1.83 0.366 5 63
"SOD_4736" 9 6.23 1.03833333333333 6 15.36 2.19428571428571 7 2
"SOD_8445" 8 147.642 0.946423076923077 156 20.857 0.579361111111111 36 184
"SOD_8924" 11 70.644 0.872148148148148 81 8.67 2.89 3 75
"SOD_9527" 12 88.9 0.815596330275229 109 6.537 0.933857142857143 7 124
"SOD_9854" 17 116.77 0.638087431693989 183 31.388 0.697511111111111 45 214
"SOD_9858" 13 91.884 0.806 114 0.529 0.529 1 57
"WAR_1130" 9 191.224 0.960924623115578 199 137.188 1.98823188405797 69 172
"WAR_2535" 3 101.282 0.698496551724138 145 2.14 2.14 1 152
"WAR_3090" 3 203.606 0.709428571428571 287 30.84 1.40181818181818 22 70
"WAR_3528" 6 72.969 1.01345833333333 72 33.997 1.35988 25 7
"WAR_4995" 9 121.159 0.802377483443709 151 108.249 2.706225 40 40
"WAR_5613" 6 45.437 0.841425925925926 54 7.976 1.994 4 58
"WAR_5959" 9 102.743 0.728673758865248 141 24 2.4 10 70
"WAR_9398" 6 238.083 0.90525855513308 263 81.019 1.65344897959184 49 52
"WAR_9427" 9 103.218 0.758955882352941 136 3.147 0.78675 4 87
