"filename" "age_mo_round" "CV_cum_dur" "CV_mean" "CV_count" "CNV_cum_dur" "CNV_mean" "CNV_count" "CTC_count"
"BER_0396_008820_008940" 15 7.557 0.687 11 4.711 2.3555 2 2
"BER_0396_014520_014640" 15 4.83 0.805 6 13.152 1.46133333333333 9 4
"BER_0396_033660_033780" 15 29.476 1.2815652173913 23 7.348 2.44933333333333 3 19
"BER_1196_033480_033600" 9 19.341 0.805875 24 2.942 2.942 1 7
"BER_1618_017400_017520" 7 13.616 0.756444444444444 18 11.889 1.69842857142857 7 3
"BER_1844_013740_013860" 10 6.146 1.2292 5 1.092 0.546 2 5
"BER_1844_018120_018240" 10 5.735 1.91166666666667 3 6.561 3.2805 2 10
"BER_1844_020340_020460" 10 6.62 2.20666666666667 3 6.96 6.96 1 3
"BER_1844_029940_030060" 10 4.498 1.1245 4 3.317 3.317 1 6
"BER_1844_031620_031740" 10 9.952 1.65866666666667 6 39.361 4.37344444444444 9 23
"BER_2927_013500_013620" 13 9.67 1.61166666666667 6 7.61 1.522 5 4
"BER_2927_014160_014280" 13 13.083 0.9345 14 1.354 1.354 1 26
"BER_2927_025080_025200" 13 24.529 1.22645 20 0.994 0.331333333333333 3 16
"BER_2927_026160_026280" 13 2.08 0.693333333333333 3 3.75 0.9375 4 9
"BER_2927_026460_026580" 13 7.912 0.7912 10 3.462 1.154 3 11
"BER_2927_030120_030240" 13 9.063 0.697153846153846 13 1.529 1.529 1 14
"BER_2927_044340_044460" 13 3.957 0.6595 6 1.565 1.565 1 8
"BER_3749_009540_009660" 14 3.38 1.69 2 23.24 3.87333333333333 6 0
"BER_3749_034680_034800" 14 20.46 1.364 15 45.13 4.513 10 17
"BER_3895_013440_013560" 8 10.968 0.783428571428571 14 75.029 2.67960714285714 28 48
"BER_3895_014940_015060" 8 8.534 0.656461538461538 13 3.396 0.566 6 26
"BER_3895_021660_021780" 8 0.73 0.73 1 0.94 0.94 1 1
"BER_3895_027120_027240" 8 0.66 0.33 2 3.296 1.648 2 0
"BER_5750_027060_027180" 7 4.196 0.8392 5 68.322 2.62776923076923 26 25
"BER_5750_029340_029460" 7 4.601 0.4601 10 9.311 3.10366666666667 3 4
"BER_5750_029760_029880" 7 18.108 1.06517647058824 17 17.307 2.8845 6 6
"BER_5750_030420_030540" 7 14.355 1.02535714285714 14 2.926 1.463 2 3
"BER_6035_010680_010800" 12 14.273 0.679666666666667 21 13.88 2.31333333333333 6 44
"BER_7758_003780_003900" 17 14.732 0.54562962962963 27 1.477 0.7385 2 5
"BER_7758_010740_010860" 17 4.231 0.528875 8 4.713 2.3565 2 12
"BER_7758_012180_012300" 17 9.559 1.36557142857143 7 2.918 2.918 1 13
"BER_7758_038460_038580" 17 19.938 0.712071428571429 28 3.208 0.802 4 18
"ROW_2745_014700_014820" 18 11.072 0.503272727272727 22 0.5 0.5 1 12
"ROW_7798_009660_009780" 11 1.54 0.77 2 0.753 0.753 1 1
"ROW_7798_017880_018000" 11 7.8 0.65 12 4.604 0.9208 5 34
"ROW_7798_019560_019680" 11 6.94 0.43375 16 8.814 0.4407 20 34
"ROW_7798_030780_030900" 11 14.328 0.7164 20 18.297 1.30692857142857 14 32
"ROW_7798_033240_033360" 11 4.77 0.366923076923077 13 1.778 0.889 2 28
"ROW_7798_044580_044700" 11 16.556 0.473028571428571 35 0.292 0.292 1 30
"ROW_7798_050580_050700" 11 13.915 0.496964285714286 28 3.336 0.303272727272727 11 16
"ROW_8357_006900_007020" 12 11.862 0.847285714285714 14 23.637 1.68835714285714 14 37
"ROW_8357_007620_007740" 12 28.096 0.685268292682927 41 9.817 1.9634 5 0
"ROW_8357_012660_012780" 12 9.019 0.409954545454545 22 0.093 0.093 1 20
"ROW_8357_020220_020340" 12 23.13 1.10142857142857 21 0.69 0.69 1 29
"ROW_8357_027960_028080" 12 4.298 0.286533333333333 15 0.168 0.168 1 10
"ROW_8357_030300_030420" 12 3.639 0.7278 5 1.4 0.7 2 0
"ROW_8357_041400_041520" 12 24.777 0.799258064516129 31 1.476 0.738 2 29
"ROW_9492_011100_011220" 15 7.736 0.967 8 0.328 0.328 1 7
"ROW_9492_011340_011460" 15 5.638 0.512545454545455 11 7.458 2.486 3 4
"ROW_9492_027960_028080" 15 12.718 0.578090909090909 22 0.732 0.732 1 4
"SOD_3542_006360_006480" 2 5.423 0.451916666666667 12 3.952 0.3952 10 24
"SOD_3542_018180_018300" 2 26.745 0.514326923076923 52 29.475 1.01637931034483 29 48
"SOD_3542_020700_020820" 2 19.519 0.697107142857143 28 0.559 0.559 1 17
"SOD_4483_002700_002820" 5 22.397 0.722483870967742 31 0.476 0.238 2 30
"SOD_4483_003120_003240" 5 6.848 0.3424 20 0.426 0.426 1 16
"SOD_4483_005280_005400" 5 23.303 1.05922727272727 22 0.928 0.464 2 3
"SOD_4736_013800_013920" 9 6.23 1.03833333333333 6 15.36 2.19428571428571 7 1
"SOD_8445_011700_011820" 8 7.344 1.224 6 0.277 0.277 1 10
"SOD_8445_012900_013020" 8 16.988 0.772181818181818 22 3.11 0.345555555555556 9 37
"SOD_8445_017580_017700" 8 16.85 1.053125 16 1.367 0.34175 4 26
"SOD_8445_021960_022080" 8 8.04 0.804 10 13.675 0.719736842105263 19 36
