item,identification error rate %,total,correct,correct %,false alarm,false alarm %,missed detection,missed detection %,confusion,confusion %
BER_0396_005220_005340.rttm,95.96,27.04,19.13,70.73,18.03,66.70,3.21,11.88,4.70,17.39
BER_0396_008100_008220.rttm,99.21,32.67,8.64,26.44,8.38,25.64,17.99,55.08,6.04,18.48
BER_0396_008820_008940.rttm,95.95,70.83,12.53,17.69,9.66,13.64,39.74,56.10,18.56,26.21
BER_0396_010140_010260.rttm,85.35,46.64,14.21,30.47,7.38,15.82,18.19,39.00,14.24,30.53
BER_0396_011160_011280.rttm,37.16,24.31,20.75,85.34,5.47,22.50,1.64,6.76,1.92,7.91
BER_0396_012900_013020.rttm,111.65,84.51,4.38,5.18,14.22,16.83,27.34,32.36,52.79,62.47
BER_0396_013680_013800.rttm,118.40,59.92,4.73,7.89,15.75,26.29,28.23,47.11,26.97,45.00
BER_0396_014520_014640.rttm,106.85,75.73,15.61,20.62,20.80,27.47,21.21,28.01,38.90,51.37
BER_0396_021840_021960.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_0396_022920_023040.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_0396_024120_024240.rttm,107.11,18.55,11.10,59.85,12.42,66.96,0.75,4.03,6.70,36.12
BER_0396_024840_024960.rttm,95.02,41.23,15.81,38.34,13.75,33.35,7.43,18.02,17.99,43.64
BER_0396_033660_033780.rttm,48.34,47.23,33.21,70.31,8.81,18.65,3.62,7.67,10.40,22.02
BER_0396_037380_037500.rttm,133.08,51.29,20.25,39.49,37.22,72.57,8.80,17.15,22.24,43.36
BER_0396_040500_040620.rttm,165.24,15.16,0.50,3.31,10.39,68.55,8.84,58.30,5.82,38.38
BER_1196_002760_002880.rttm,189.16,17.32,7.98,46.08,23.43,135.24,3.85,22.20,5.49,31.72
BER_1196_007500_007620.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1196_011160_011280.rttm,169.89,48.27,0.00,0.00,33.74,69.89,5.86,12.15,42.40,87.85
BER_1196_013680_013800.rttm,57.49,107.51,53.92,50.16,8.22,7.65,12.91,12.01,40.67,37.83
BER_1196_014760_014880.rttm,69.47,88.38,34.65,39.20,7.67,8.68,29.37,33.23,24.36,27.57
BER_1196_015660_015780.rttm,94.39,74.18,9.19,12.40,5.03,6.78,40.99,55.26,23.99,32.35
BER_1196_016140_016260.rttm,73.80,108.00,31.01,28.71,2.72,2.51,29.54,27.36,47.44,43.93
BER_1196_021240_021360.rttm,93.00,104.49,10.53,10.07,3.22,3.08,73.20,70.06,20.76,19.87
BER_1196_022560_022680.rttm,85.60,83.01,20.63,24.85,8.67,10.45,33.24,40.05,29.14,35.10
BER_1196_023820_023940.rttm,91.73,50.54,9.30,18.40,5.12,10.13,26.43,52.29,14.81,29.31
BER_1196_024960_025080.rttm,125.33,38.32,12.40,32.35,22.10,57.68,16.70,43.59,9.22,24.06
BER_1196_032880_033000.rttm,559.46,10.32,0.14,1.35,47.57,460.81,3.31,32.04,6.88,66.61
BER_1196_033480_033600.rttm,169.99,32.65,10.05,30.79,32.91,100.78,4.80,14.70,17.80,54.51
BER_1196_034740_034860.rttm,113.94,28.44,17.83,62.68,21.79,76.63,4.89,17.21,5.72,20.11
BER_1196_039000_039120.rttm,165.18,42.18,14.04,33.28,41.53,98.46,9.37,22.22,18.77,44.51
BER_1618_003480_003600.rttm,101.32,39.16,17.77,45.39,18.29,46.71,2.22,5.67,19.17,48.94
BER_1618_007620_007740.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1618_009000_009120.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1618_013200_013320.rttm,100.00,0.00,0.00,,1.80,,0.00,,0.00,
BER_1618_017400_017520.rttm,76.56,94.57,27.86,29.46,5.69,6.02,39.53,41.80,27.18,28.74
BER_1618_023520_023640.rttm,100.00,0.00,0.00,,31.23,,0.00,,0.00,
BER_1618_023820_023940.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1618_024180_024300.rttm,100.00,0.00,0.00,,33.13,,0.00,,0.00,
BER_1618_031620_031740.rttm,74.63,70.85,32.34,45.65,14.37,20.28,15.89,22.42,22.62,31.93
BER_1618_041040_041160.rttm,80.88,92.57,33.44,36.12,15.74,17.00,12.76,13.79,46.37,50.09
BER_1618_043620_043740.rttm,100.00,0.00,0.00,,60.48,,0.00,,0.00,
BER_1618_047700_047820.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1618_050520_050640.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1618_051240_051360.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1618_053820_053940.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1844_002580_002700.rttm,109.22,44.47,0.66,1.48,4.76,10.70,40.73,91.59,3.08,6.93
BER_1844_009060_009180.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1844_010560_010680.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1844_012120_012240.rttm,108.54,11.06,0.00,0.00,0.94,8.54,3.80,34.34,7.26,65.66
BER_1844_013200_013320.rttm,76.69,41.85,14.55,34.77,4.80,11.47,19.65,46.95,7.65,18.27
BER_1844_013740_013860.rttm,76.08,90.52,25.83,28.54,4.18,4.62,37.03,40.91,27.66,30.56
BER_1844_018120_018240.rttm,86.31,60.34,11.20,18.56,2.94,4.86,34.43,57.05,14.72,24.39
BER_1844_018960_019080.rttm,90.81,43.74,8.91,20.36,4.89,11.17,17.46,39.91,17.38,39.72
BER_1844_020340_020460.rttm,110.65,22.69,5.16,22.76,7.58,33.41,5.86,25.84,11.66,51.40
BER_1844_028320_028440.rttm,221.10,19.79,2.23,11.27,26.19,132.37,6.31,31.88,11.25,56.85
BER_1844_029940_030060.rttm,104.45,36.15,6.75,18.68,8.36,23.13,14.45,39.97,14.94,41.34
BER_1844_030660_030780.rttm,381.19,23.44,0.00,0.00,65.90,281.19,0.65,2.76,22.79,97.24
BER_1844_031620_031740.rttm,125.13,80.54,11.07,13.75,31.31,38.88,1.92,2.39,67.54,83.86
BER_1844_034080_034200.rttm,93.35,72.31,20.53,28.40,15.72,21.75,24.95,34.51,26.82,37.09
BER_1844_041880_042000.rttm,90.57,64.60,15.58,24.11,9.48,14.68,18.79,29.09,30.23,46.80
BER_2927_012000_012120.rttm,176.06,35.61,14.91,41.87,42.00,117.93,1.49,4.18,19.21,53.95
BER_2927_013500_013620.rttm,89.87,81.71,20.96,25.65,12.69,15.52,11.53,14.11,49.22,60.24
BER_2927_014160_014280.rttm,69.77,83.22,35.03,42.09,9.87,11.87,11.01,13.23,37.18,44.68
BER_2927_019980_020100.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_2927_023820_023940.rttm,73.34,88.92,29.34,32.99,5.63,6.33,17.20,19.35,42.38,47.66
BER_2927_025080_025200.rttm,80.73,54.17,24.60,45.42,14.17,26.15,11.05,20.40,18.52,34.18
BER_2927_026160_026280.rttm,65.35,93.06,44.02,47.30,11.77,12.65,8.81,9.47,40.23,43.23
BER_2927_026460_026580.rttm,78.13,80.23,29.74,37.06,12.19,15.20,7.28,9.08,43.21,53.86
BER_2927_027180_027300.rttm,80.92,80.57,24.81,30.80,9.44,11.71,22.46,27.88,33.30,41.33
BER_2927_030120_030240.rttm,66.81,77.95,36.49,46.82,10.62,13.62,14.33,18.38,27.13,34.81
BER_2927_037440_037560.rttm,112.84,19.20,1.39,7.21,3.85,20.05,15.59,81.20,2.23,11.59
BER_2927_044340_044460.rttm,200.35,28.66,5.16,18.01,33.92,118.36,12.24,42.70,11.26,39.29
BER_2927_053160_053280.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_2927_054900_055020.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_2927_056400_056520.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_3749_004140_004260.rttm,46.66,111.32,64.33,57.79,4.95,4.45,1.88,1.69,45.11,40.52
BER_3749_004620_004740.rttm,81.61,75.44,28.47,37.74,14.59,19.34,9.16,12.14,37.81,50.12
BER_3749_005520_005640.rttm,70.42,82.93,34.89,42.07,10.36,12.49,6.32,7.63,41.72,50.31
BER_3749_007860_007980.rttm,114.69,12.75,0.00,0.00,1.87,14.69,9.79,76.79,2.96,23.21
BER_3749_009540_009660.rttm,35.88,26.62,19.07,71.66,2.00,7.53,1.17,4.41,6.37,23.93
BER_3749_009720_009840.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_3749_011280_011400.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_3749_011640_011760.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_3749_017640_017760.rttm,76.61,67.68,31.48,46.52,15.65,23.13,14.12,20.87,22.07,32.61
BER_3749_019920_020040.rttm,92.75,70.67,19.43,27.50,14.31,20.25,18.93,26.79,32.31,45.72
BER_3749_021240_021360.rttm,282.94,42.41,0.00,0.00,77.59,182.94,0.00,0.00,42.41,100.00
BER_3749_026400_026520.rttm,152.03,78.93,0.00,0.00,41.07,52.03,0.00,0.00,78.93,100.00
BER_3749_028920_029040.rttm,213.47,35.10,10.66,30.38,50.50,143.85,0.93,2.66,23.51,66.96
BER_3749_034680_034800.rttm,60.25,89.40,50.47,56.45,14.93,16.70,5.74,6.42,33.19,37.13
BER_3749_043560_043680.rttm,40.20,53.49,37.17,69.49,5.18,9.69,7.81,14.59,8.52,15.92
BER_3895_003780_003900.rttm,96.22,3.18,0.36,11.34,0.24,7.56,2.82,88.66,0.00,0.00
BER_3895_006120_006240.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_3895_009300_009420.rttm,170.01,44.28,11.79,26.62,42.78,96.62,4.55,10.28,27.94,63.10
BER_3895_012180_012300.rttm,71.95,101.18,36.09,35.67,7.71,7.62,18.95,18.73,46.13,45.60
BER_3895_013020_013140.rttm,70.94,94.16,34.41,36.55,7.05,7.49,20.15,21.40,39.59,42.05
BER_3895_013440_013560.rttm,43.76,104.63,66.45,63.51,7.61,7.27,3.33,3.18,34.85,33.31
BER_3895_014940_015060.rttm,78.95,93.12,40.81,43.83,21.21,22.78,6.63,7.12,45.67,49.05
BER_3895_021660_021780.rttm,113.43,69.62,26.99,38.77,36.34,52.20,7.12,10.23,35.50,51.00
BER_3895_027120_027240.rttm,116.08,52.90,3.28,6.21,11.79,22.29,19.66,37.17,29.95,56.62
BER_3895_030120_030240.rttm,51.89,11.69,10.16,86.93,4.54,38.82,1.53,13.07,0.00,0.00
BER_3895_030480_030600.rttm,102.41,28.54,19.23,67.38,19.92,69.79,3.58,12.55,5.73,20.07
BER_3895_033060_033180.rttm,1190.40,1.79,1.65,92.08,21.19,1182.48,0.14,7.92,0.00,0.00
BER_3895_037560_037680.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_3895_043560_043680.rttm,59.96,76.65,47.28,61.68,16.59,21.64,5.53,7.22,23.84,31.10
BER_3895_047220_047340.rttm,333.53,31.29,1.11,3.55,74.18,237.08,0.97,3.10,29.21,93.35
BER_5750_004860_004980.rttm,68.30,67.93,25.60,37.68,4.06,5.98,20.20,29.73,22.14,32.59
BER_5750_006420_006540.rttm,103.31,91.85,24.29,26.45,27.33,29.76,2.22,2.41,65.34,71.14
BER_5750_008100_008220.rttm,81.63,109.68,30.47,27.79,10.32,9.41,0.00,0.00,79.20,72.21
BER_5750_010560_010680.rttm,65.17,102.87,52.96,51.48,17.13,16.66,0.00,0.00,49.91,48.52
BER_5750_022500_022620.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_5750_027060_027180.rttm,41.55,90.56,61.86,68.31,8.93,9.86,9.60,10.59,19.11,21.10
BER_5750_029340_029460.rttm,56.44,25.71,17.26,67.14,6.06,23.58,2.07,8.07,6.38,24.80
BER_5750_029760_029880.rttm,99.41,77.82,28.89,37.12,28.43,36.53,11.25,14.46,37.68,48.42
BER_5750_030120_030240.rttm,182.91,46.73,12.42,26.57,51.16,109.48,2.47,5.28,31.85,68.15
