item,detection error rate %,total,false alarm,false alarm %,miss,miss %
BER_0396_005220_005340.rttm,60.20,3.26,1.15,35.38,0.81,24.82
BER_0396_008100_008220.rttm,71.72,12.11,0.91,7.50,7.78,64.22
BER_0396_008820_008940.rttm,131.29,5.48,5.03,91.77,2.17,39.52
BER_0396_010140_010260.rttm,13.77,1.67,0.00,0.00,0.23,13.77
BER_0396_011160_011280.rttm,28.04,24.31,3.25,13.38,3.57,14.66
BER_0396_012900_013020.rttm,210.91,1.12,1.86,166.82,0.49,44.10
BER_0396_013680_013800.rttm,69.50,4.12,0.09,2.21,2.78,67.30
BER_0396_014520_014640.rttm,87.36,12.22,7.45,60.97,3.22,26.39
BER_0396_021840_021960.rttm,0.00,0.00,0.00,,0.00,
BER_0396_022920_023040.rttm,0.00,0.00,0.00,,0.00,
BER_0396_024120_024240.rttm,74.01,15.74,4.82,30.61,6.83,43.40
BER_0396_024840_024960.rttm,72.91,20.05,1.39,6.93,13.23,65.98
BER_0396_033660_033780.rttm,35.74,35.28,5.23,14.81,7.39,20.93
BER_0396_037380_037500.rttm,100.75,6.39,2.72,42.56,3.72,58.19
BER_0396_040500_040620.rttm,100.00,1.27,0.00,0.00,1.27,100.00
BER_1196_002760_002880.rttm,55.88,12.12,0.35,2.86,6.42,53.02
BER_1196_007500_007620.rttm,0.00,0.00,0.00,,0.00,
BER_1196_011160_011280.rttm,100.00,48.27,0.00,0.00,48.27,100.00
BER_1196_013680_013800.rttm,165.29,0.92,0.70,76.17,0.82,89.12
BER_1196_014760_014880.rttm,160.89,4.59,5.50,119.73,1.89,41.16
BER_1196_015660_015780.rttm,75.62,4.88,1.23,25.19,2.46,50.43
BER_1196_016140_016260.rttm,534.78,0.32,1.40,434.78,0.32,100.00
BER_1196_021240_021360.rttm,406.11,1.37,5.03,366.30,0.55,39.81
BER_1196_022560_022680.rttm,109.55,7.16,5.58,77.93,2.27,31.62
BER_1196_023820_023940.rttm,64.38,10.00,1.36,13.64,5.07,50.74
BER_1196_024960_025080.rttm,58.80,14.46,4.96,34.29,3.54,24.52
BER_1196_032880_033000.rttm,109.65,9.55,1.06,11.11,9.41,98.54
BER_1196_033480_033600.rttm,77.02,22.10,1.32,5.95,15.71,71.07
BER_1196_034740_034860.rttm,70.34,20.87,8.12,38.93,6.55,31.41
BER_1196_039000_039120.rttm,100.00,1.61,0.00,0.00,1.61,100.00
BER_1618_003480_003600.rttm,137.38,3.35,1.61,48.10,2.99,89.28
BER_1618_007620_007740.rttm,0.00,0.00,0.00,,0.00,
BER_1618_009000_009120.rttm,0.00,0.00,0.00,,0.00,
BER_1618_013200_013320.rttm,0.00,0.00,0.00,,0.00,
BER_1618_017400_017520.rttm,107.48,13.79,9.42,68.30,5.40,39.18
BER_1618_023520_023640.rttm,0.00,0.00,0.00,,0.00,
BER_1618_023820_023940.rttm,0.00,0.00,0.00,,0.00,
BER_1618_024180_024300.rttm,0.00,0.00,0.00,,0.00,
BER_1618_031620_031740.rttm,88.76,7.10,2.40,33.83,3.90,54.93
BER_1618_041040_041160.rttm,147.08,5.97,3.93,65.73,4.86,81.35
BER_1618_043620_043740.rttm,0.00,0.00,0.00,,0.00,
BER_1618_047700_047820.rttm,0.00,0.00,0.00,,0.00,
BER_1618_050520_050640.rttm,0.00,0.00,0.00,,0.00,
BER_1618_051240_051360.rttm,0.00,0.00,0.00,,0.00,
BER_1618_053820_053940.rttm,0.00,0.00,0.00,,0.00,
BER_1844_002580_002700.rttm,71.43,2.31,0.00,0.00,1.65,71.43
BER_1844_009060_009180.rttm,0.00,0.00,0.00,,0.00,
BER_1844_010560_010680.rttm,0.00,0.00,0.00,,0.00,
BER_1844_012120_012240.rttm,100.00,11.06,0.00,0.00,11.06,100.00
BER_1844_013200_013320.rttm,0.00,0.00,0.00,,0.00,
BER_1844_013740_013860.rttm,128.94,3.45,1.00,28.94,3.45,100.00
BER_1844_018120_018240.rttm,128.88,6.56,3.45,52.55,5.01,76.32
BER_1844_018960_019080.rttm,100.00,1.05,0.00,0.00,1.05,100.00
BER_1844_020340_020460.rttm,83.12,10.13,1.19,11.70,7.24,71.42
BER_1844_028320_028440.rttm,159.78,5.59,3.34,59.78,5.59,100.00
BER_1844_029940_030060.rttm,100.00,6.39,0.00,0.00,6.39,100.00
BER_1844_030660_030780.rttm,100.00,2.00,0.00,0.00,2.00,100.00
BER_1844_031620_031740.rttm,100.92,31.59,1.68,5.33,30.20,95.58
BER_1844_034080_034200.rttm,0.00,0.00,0.00,,0.00,
BER_1844_041880_042000.rttm,130.62,11.37,4.06,35.66,10.80,94.95
BER_2927_012000_012120.rttm,252.66,1.48,3.53,237.83,0.22,14.83
BER_2927_013500_013620.rttm,372.01,5.18,15.46,298.46,3.81,73.55
BER_2927_014160_014280.rttm,119.21,6.32,4.34,68.71,3.19,50.50
BER_2927_019980_020100.rttm,0.00,0.00,0.00,,0.00,
BER_2927_023820_023940.rttm,100.00,3.22,0.00,0.00,3.22,100.00
BER_2927_025080_025200.rttm,72.07,22.60,1.75,7.73,14.54,64.33
BER_2927_026160_026280.rttm,106.72,4.80,1.11,23.07,4.01,83.65
BER_2927_026460_026580.rttm,93.48,4.08,1.04,25.55,2.77,67.93
BER_2927_027180_027300.rttm,120.29,13.19,9.95,75.41,5.92,44.88
BER_2927_030120_030240.rttm,83.71,6.30,3.36,53.29,1.92,30.43
BER_2927_037440_037560.rttm,102.99,2.01,0.42,20.90,1.65,82.09
BER_2927_044340_044460.rttm,100.00,4.45,0.00,0.00,4.45,100.00
BER_2927_053160_053280.rttm,0.00,0.00,0.00,,0.00,
BER_2927_054900_055020.rttm,0.00,0.00,0.00,,0.00,
BER_2927_056400_056520.rttm,0.00,0.00,0.00,,0.00,
BER_3749_004140_004260.rttm,98.91,5.52,4.34,78.59,1.12,20.32
BER_3749_004620_004740.rttm,100.00,0.76,0.00,0.00,0.76,100.00
BER_3749_005520_005640.rttm,75.31,2.43,0.00,0.00,1.83,75.31
BER_3749_007860_007980.rttm,151.72,1.16,0.60,51.72,1.16,100.00
BER_3749_009540_009660.rttm,28.85,26.62,0.14,0.51,7.55,28.34
BER_3749_009720_009840.rttm,0.00,0.00,0.00,,0.00,
BER_3749_011280_011400.rttm,0.00,0.00,0.00,,0.00,
BER_3749_011640_011760.rttm,0.00,0.00,0.00,,0.00,
BER_3749_017640_017760.rttm,83.48,4.47,1.79,39.99,1.94,43.48
BER_3749_019920_020040.rttm,82.54,18.78,0.97,5.14,14.53,77.40
BER_3749_021240_021360.rttm,0.00,0.00,0.00,,0.00,
BER_3749_026400_026520.rttm,100.00,13.17,0.00,0.00,13.17,100.00
BER_3749_028920_029040.rttm,100.00,4.68,0.00,0.00,4.68,100.00
BER_3749_034680_034800.rttm,32.24,59.49,2.63,4.43,16.55,27.81
BER_3749_043560_043680.rttm,100.00,2.92,0.00,0.00,2.92,100.00
BER_3895_003780_003900.rttm,96.22,3.18,0.24,7.56,2.82,88.66
BER_3895_006120_006240.rttm,0.00,0.00,0.00,,0.00,
BER_3895_009300_009420.rttm,86.45,5.68,1.33,23.41,3.58,63.03
BER_3895_012180_012300.rttm,119.31,1.05,0.40,38.34,0.85,80.98
BER_3895_013020_013140.rttm,140.80,2.25,1.37,60.75,1.80,80.04
BER_3895_013440_013560.rttm,42.30,59.18,19.19,32.43,5.84,9.88
BER_3895_014940_015060.rttm,116.82,4.02,1.24,30.81,3.46,86.01
BER_3895_021660_021780.rttm,100.00,1.67,0.00,0.00,1.67,100.00
BER_3895_027120_027240.rttm,100.00,3.96,0.00,0.00,3.96,100.00
BER_3895_030120_030240.rttm,45.05,11.69,3.74,31.98,1.53,13.07
BER_3895_030480_030600.rttm,64.98,28.54,9.24,32.37,9.31,32.62
BER_3895_033060_033180.rttm,331.03,1.79,5.79,323.10,0.14,7.92
BER_3895_037560_037680.rttm,0.00,0.00,0.00,,0.00,
BER_3895_043560_043680.rttm,182.95,5.35,8.39,156.90,1.39,26.06
BER_3895_047220_047340.rttm,506.18,1.26,5.44,430.72,0.95,75.46
BER_5750_004860_004980.rttm,101.93,13.18,3.15,23.88,10.28,78.05
BER_5750_006420_006540.rttm,170.05,2.85,2.00,70.05,2.85,100.00
BER_5750_008100_008220.rttm,100.00,0.36,0.00,0.00,0.36,100.00
BER_5750_010560_010680.rttm,139.95,14.80,9.22,62.31,11.49,77.64
BER_5750_022500_022620.rttm,0.00,0.00,0.00,,0.00,
BER_5750_027060_027180.rttm,22.56,67.00,3.91,5.84,11.20,16.72
BER_5750_029340_029460.rttm,58.43,13.60,3.31,24.34,4.64,34.08
BER_5750_029760_029880.rttm,81.69,23.99,2.67,11.13,16.92,70.56
BER_5750_030120_030240.rttm,111.39,12.03,3.19,26.51,10.21,84.87
BER_5750_030420_030540.rttm,99.56,12.80,0.99,7.75,11.75,91.81
BER_5750_034560_034680.rttm,0.00,0.00,0.00,,0.00,
BER_5750_038520_038640.rttm,0.00,0.00,0.00,,0.00,
BER_5750_039300_039420.rttm,0.00,0.00,0.00,,0.00,
BER_5750_039840_039960.rttm,0.00,0.00,0.00,,0.00,
BER_5750_040800_040920.rttm,0.00,0.00,0.00,,0.00,
BER_6035_008160_008280.rttm,72.52,2.71,0.56,20.80,1.40,51.72
BER_6035_010680_010800.rttm,73.06,19.48,7.27,37.33,6.96,35.73
BER_6035_013920_014040.rttm,104.66,3.09,0.75,24.20,2.48,80.47
BER_6035_018600_018720.rttm,0.00,0.00,0.00,,0.00,
BER_6035_019380_019500.rttm,0.00,0.00,0.00,,0.00,
BER_6035_021240_021360.rttm,0.00,0.00,0.00,,0.00,
BER_6035_022140_022260.rttm,0.00,0.00,0.00,,0.00,
BER_6035_026940_027060.rttm,74.26,14.97,0.34,2.29,10.77,71.96
BER_6035_027780_027900.rttm,109.74,8.76,3.52,40.19,6.10,69.56
BER_6035_030300_030420.rttm,72.47,12.73,5.53,43.40,3.70,29.07
BER_6035_030840_030960.rttm,80.96,5.04,0.72,14.28,3.36,66.67
BER_6035_037980_038100.rttm,0.00,0.00,0.00,,0.00,
BER_6035_041460_041580.rttm,0.00,0.00,0.00,,0.00,
BER_6035_045540_045660.rttm,0.00,0.00,0.00,,0.00,
BER_6035_049440_049560.rttm,0.00,0.00,0.00,,0.00,
BER_7758_003780_003900.rttm,65.27,16.01,5.81,36.30,4.64,28.97
BER_7758_004740_004860.rttm,100.00,0.00,0.65,,0.00,
BER_7758_010440_010560.rttm,94.85,4.00,0.20,4.92,3.60,89.93
BER_7758_010740_010860.rttm,98.77,6.20,0.86,13.91,5.26,84.87
BER_7758_012180_012300.rttm,91.22,9.68,0.89,9.25,7.93,81.97
BER_7758_019140_019260.rttm,133.26,2.19,1.32,60.14,1.60,73.12
BER_7758_021540_021660.rttm,0.00,0.00,0.00,,0.00,
BER_7758_026700_026820.rttm,0.00,0.00,0.00,,0.00,
BER_7758_027600_027720.rttm,0.00,0.00,0.00,,0.00,
BER_7758_027960_028080.rttm,0.00,0.00,0.00,,0.00,
BER_7758_029940_030060.rttm,94.13,11.76,2.53,21.51,8.54,72.62
BER_7758_031380_031500.rttm,0.00,0.00,0.00,,0.00,
BER_7758_032520_032640.rttm,0.00,0.00,0.00,,0.00,
BER_7758_034260_034380.rttm,0.00,0.00,0.00,,0.00,
BER_7758_038460_038580.rttm,68.53,19.54,5.04,25.80,8.35,42.73
C01_20170706_12840.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_16440.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_20040.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_2040.rttm,56.60,10.59,1.19,11.26,4.80,45.34
C01_20170706_23640.rttm,100.00,3.60,0.00,0.00,3.60,100.00
C01_20170706_27240.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_30840.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_34440.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_38040.rttm,100.00,0.00,0.60,,0.00,
C01_20170706_41640.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_45240.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_48840.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_52440.rttm,66.66,9.69,0.00,0.00,6.46,66.66
C01_20170706_56040.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_5640.rttm,100.00,2.13,0.00,0.00,2.13,100.00
C01_20170706_9240.rttm,394.87,1.05,3.10,294.87,1.05,100.00
C01_20170718_12840.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_16440.rttm,100.00,1.27,0.00,0.00,1.27,100.00
C01_20170718_20040.rttm,86.73,13.19,0.40,3.03,11.04,83.70
C01_20170718_2040.rttm,119.14,5.83,2.30,39.42,4.65,79.72
C01_20170718_23640.rttm,89.58,16.32,0.87,5.33,13.75,84.25
C01_20170718_27240.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_30840.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_34440.rttm,46.00,8.72,0.63,7.24,3.38,38.76
C01_20170718_38040.rttm,100.00,0.00,3.57,,0.00,
C01_20170718_41640.rttm,43.44,2.27,0.16,7.26,0.82,36.18
