item,detection error rate %,total,false alarm,false alarm %,miss,miss %
BER_0396_005220_005340.rttm,0.00,0.00,0.00,,0.00,
BER_0396_008100_008220.rttm,0.00,0.00,0.00,,0.00,
BER_0396_008820_008940.rttm,96.64,58.25,5.33,9.15,50.96,87.48
BER_0396_010140_010260.rttm,100.00,9.99,0.00,0.00,9.99,100.00
BER_0396_011160_011280.rttm,0.00,0.00,0.00,,0.00,
BER_0396_012900_013020.rttm,100.06,68.70,1.08,1.57,67.66,98.49
BER_0396_013680_013800.rttm,100.00,48.02,0.00,0.00,48.02,100.00
BER_0396_014520_014640.rttm,97.65,52.87,0.00,0.00,51.63,97.65
BER_0396_021840_021960.rttm,0.00,0.00,0.00,,0.00,
BER_0396_022920_023040.rttm,0.00,0.00,0.00,,0.00,
BER_0396_024120_024240.rttm,100.00,0.00,1.22,,0.00,
BER_0396_024840_024960.rttm,0.00,0.00,0.00,,0.00,
BER_0396_033660_033780.rttm,0.00,0.00,0.00,,0.00,
BER_0396_037380_037500.rttm,0.00,0.00,0.00,,0.00,
BER_0396_040500_040620.rttm,0.00,0.00,0.00,,0.00,
BER_1196_002760_002880.rttm,0.00,0.00,0.00,,0.00,
BER_1196_007500_007620.rttm,0.00,0.00,0.00,,0.00,
BER_1196_011160_011280.rttm,100.00,0.00,71.36,,0.00,
BER_1196_013680_013800.rttm,50.21,78.51,8.80,11.21,30.62,39.00
BER_1196_014760_014880.rttm,98.07,27.00,5.35,19.81,21.13,78.26
BER_1196_015660_015780.rttm,103.08,42.57,4.36,10.24,39.52,92.84
BER_1196_016140_016260.rttm,98.40,34.35,3.17,9.23,30.63,89.17
BER_1196_021240_021360.rttm,103.32,62.28,2.40,3.85,61.95,99.47
BER_1196_022560_022680.rttm,113.10,21.98,3.63,16.52,21.23,96.59
BER_1196_023820_023940.rttm,100.00,16.18,0.00,0.00,16.18,100.00
BER_1196_024960_025080.rttm,131.67,10.01,4.05,40.46,9.13,91.21
BER_1196_032880_033000.rttm,100.00,0.00,43.65,,0.00,
BER_1196_033480_033600.rttm,695.58,3.85,25.35,658.44,1.43,37.14
BER_1196_034740_034860.rttm,0.00,0.00,0.00,,0.00,
BER_1196_039000_039120.rttm,243.24,11.17,27.17,243.24,0.00,0.00
BER_1618_003480_003600.rttm,0.00,0.00,0.00,,0.00,
BER_1618_007620_007740.rttm,0.00,0.00,0.00,,0.00,
BER_1618_009000_009120.rttm,0.00,0.00,0.00,,0.00,
BER_1618_013200_013320.rttm,0.00,0.00,0.00,,0.00,
BER_1618_017400_017520.rttm,99.54,39.26,1.11,2.83,37.97,96.71
BER_1618_023520_023640.rttm,100.00,0.00,31.23,,0.00,
BER_1618_023820_023940.rttm,0.00,0.00,0.00,,0.00,
BER_1618_024180_024300.rttm,100.00,0.00,33.13,,0.00,
BER_1618_031620_031740.rttm,0.00,0.00,0.00,,0.00,
BER_1618_041040_041160.rttm,0.00,0.00,0.00,,0.00,
BER_1618_043620_043740.rttm,100.00,0.00,59.17,,0.00,
BER_1618_047700_047820.rttm,0.00,0.00,0.00,,0.00,
BER_1618_050520_050640.rttm,0.00,0.00,0.00,,0.00,
BER_1618_051240_051360.rttm,0.00,0.00,0.00,,0.00,
BER_1618_053820_053940.rttm,0.00,0.00,0.00,,0.00,
BER_1844_002580_002700.rttm,0.00,0.00,0.00,,0.00,
BER_1844_009060_009180.rttm,0.00,0.00,0.00,,0.00,
BER_1844_010560_010680.rttm,0.00,0.00,0.00,,0.00,
BER_1844_012120_012240.rttm,0.00,0.00,0.00,,0.00,
BER_1844_013200_013320.rttm,0.00,0.00,0.00,,0.00,
BER_1844_013740_013860.rttm,79.86,41.56,0.44,1.06,32.75,78.80
BER_1844_018120_018240.rttm,0.00,0.00,0.00,,0.00,
BER_1844_018960_019080.rttm,104.19,20.98,4.92,23.45,16.94,80.74
BER_1844_020340_020460.rttm,0.00,0.00,0.00,,0.00,
BER_1844_028320_028440.rttm,100.00,0.00,28.77,,0.00,
BER_1844_029940_030060.rttm,100.00,0.00,3.52,,0.00,
BER_1844_030660_030780.rttm,100.00,0.00,88.69,,0.00,
BER_1844_031620_031740.rttm,1547.80,5.23,80.95,1547.80,0.00,0.00
BER_1844_034080_034200.rttm,100.00,0.00,3.80,,0.00,
BER_1844_041880_042000.rttm,100.00,0.00,1.24,,0.00,
BER_2927_012000_012120.rttm,0.00,0.00,0.00,,0.00,
BER_2927_013500_013620.rttm,0.00,0.00,0.00,,0.00,
BER_2927_014160_014280.rttm,0.00,0.00,0.00,,0.00,
BER_2927_019980_020100.rttm,0.00,0.00,0.00,,0.00,
BER_2927_023820_023940.rttm,100.00,0.00,2.06,,0.00,
BER_2927_025080_025200.rttm,0.00,0.00,0.00,,0.00,
BER_2927_026160_026280.rttm,100.00,6.85,0.00,0.00,6.85,100.00
BER_2927_026460_026580.rttm,100.00,4.54,0.00,0.00,4.54,100.00
BER_2927_027180_027300.rttm,0.00,0.00,0.00,,0.00,
BER_2927_030120_030240.rttm,100.00,0.00,1.14,,0.00,
BER_2927_037440_037560.rttm,100.00,2.25,0.00,0.00,2.25,100.00
BER_2927_044340_044460.rttm,100.00,0.00,34.42,,0.00,
BER_2927_053160_053280.rttm,0.00,0.00,0.00,,0.00,
BER_2927_054900_055020.rttm,0.00,0.00,0.00,,0.00,
BER_2927_056400_056520.rttm,0.00,0.00,0.00,,0.00,
BER_3749_004140_004260.rttm,0.00,0.00,0.00,,0.00,
BER_3749_004620_004740.rttm,100.00,0.00,1.32,,0.00,
BER_3749_005520_005640.rttm,100.00,0.00,3.47,,0.00,
BER_3749_007860_007980.rttm,0.00,0.00,0.00,,0.00,
BER_3749_009540_009660.rttm,0.00,0.00,0.00,,0.00,
BER_3749_009720_009840.rttm,0.00,0.00,0.00,,0.00,
BER_3749_011280_011400.rttm,0.00,0.00,0.00,,0.00,
BER_3749_011640_011760.rttm,0.00,0.00,0.00,,0.00,
BER_3749_017640_017760.rttm,100.00,0.38,0.00,0.00,0.38,100.00
BER_3749_019920_020040.rttm,0.00,0.00,0.00,,0.00,
BER_3749_021240_021360.rttm,100.00,0.00,120.00,,0.00,
BER_3749_026400_026520.rttm,100.00,0.00,120.00,,0.00,
BER_3749_028920_029040.rttm,0.00,0.00,0.00,,0.00,
BER_3749_034680_034800.rttm,0.00,0.00,0.00,,0.00,
BER_3749_043560_043680.rttm,0.00,0.00,0.00,,0.00,
BER_3895_003780_003900.rttm,0.00,0.00,0.00,,0.00,
BER_3895_006120_006240.rttm,0.00,0.00,0.00,,0.00,
BER_3895_009300_009420.rttm,100.00,19.42,0.00,0.00,19.42,100.00
BER_3895_012180_012300.rttm,0.00,0.00,0.00,,0.00,
BER_3895_013020_013140.rttm,0.00,0.00,0.00,,0.00,
BER_3895_013440_013560.rttm,0.00,0.00,0.00,,0.00,
BER_3895_014940_015060.rttm,0.00,0.00,0.00,,0.00,
BER_3895_021660_021780.rttm,118.83,59.32,36.28,61.16,34.21,57.67
BER_3895_027120_027240.rttm,100.00,0.00,1.98,,0.00,
BER_3895_030120_030240.rttm,0.00,0.00,0.00,,0.00,
BER_3895_030480_030600.rttm,100.00,0.00,1.32,,0.00,
BER_3895_033060_033180.rttm,100.00,0.00,3.26,,0.00,
BER_3895_037560_037680.rttm,0.00,0.00,0.00,,0.00,
BER_3895_043560_043680.rttm,100.00,0.00,2.35,,0.00,
BER_3895_047220_047340.rttm,143.71,16.61,7.39,44.49,16.48,99.22
BER_5750_004860_004980.rttm,100.00,0.00,1.00,,0.00,
BER_5750_006420_006540.rttm,0.00,0.00,0.00,,0.00,
BER_5750_008100_008220.rttm,0.00,0.00,0.00,,0.00,
BER_5750_010560_010680.rttm,0.00,0.00,0.00,,0.00,
BER_5750_022500_022620.rttm,0.00,0.00,0.00,,0.00,
BER_5750_027060_027180.rttm,0.00,0.00,0.00,,0.00,
BER_5750_029340_029460.rttm,0.00,0.00,0.00,,0.00,
BER_5750_029760_029880.rttm,100.00,8.95,0.00,0.00,8.95,100.00
BER_5750_030120_030240.rttm,100.00,0.82,0.00,0.00,0.82,100.00
BER_5750_030420_030540.rttm,0.00,0.00,0.00,,0.00,
BER_5750_034560_034680.rttm,0.00,0.00,0.00,,0.00,
BER_5750_038520_038640.rttm,0.00,0.00,0.00,,0.00,
BER_5750_039300_039420.rttm,0.00,0.00,0.00,,0.00,
BER_5750_039840_039960.rttm,0.00,0.00,0.00,,0.00,
BER_5750_040800_040920.rttm,0.00,0.00,0.00,,0.00,
BER_6035_008160_008280.rttm,0.00,0.00,0.00,,0.00,
BER_6035_010680_010800.rttm,0.00,0.00,0.00,,0.00,
BER_6035_013920_014040.rttm,100.00,0.00,1.00,,0.00,
BER_6035_018600_018720.rttm,0.00,0.00,0.00,,0.00,
BER_6035_019380_019500.rttm,0.00,0.00,0.00,,0.00,
BER_6035_021240_021360.rttm,0.00,0.00,0.00,,0.00,
BER_6035_022140_022260.rttm,0.00,0.00,0.00,,0.00,
BER_6035_026940_027060.rttm,0.00,0.00,0.00,,0.00,
BER_6035_027780_027900.rttm,0.00,0.00,0.00,,0.00,
BER_6035_030300_030420.rttm,0.00,0.00,0.00,,0.00,
BER_6035_030840_030960.rttm,0.00,0.00,0.00,,0.00,
BER_6035_037980_038100.rttm,0.00,0.00,0.00,,0.00,
BER_6035_041460_041580.rttm,0.00,0.00,0.00,,0.00,
BER_6035_045540_045660.rttm,0.00,0.00,0.00,,0.00,
BER_6035_049440_049560.rttm,0.00,0.00,0.00,,0.00,
BER_7758_003780_003900.rttm,100.00,0.00,1.37,,0.00,
BER_7758_004740_004860.rttm,100.00,0.00,2.11,,0.00,
BER_7758_010440_010560.rttm,100.00,0.00,106.73,,0.00,
BER_7758_010740_010860.rttm,100.00,0.00,0.82,,0.00,
BER_7758_012180_012300.rttm,0.00,0.00,0.00,,0.00,
