item,detection error rate %,total,false alarm,false alarm %,miss,miss %
BER_0396_005220_005340.rttm,0.00,0.00,0.00,,0.00,
BER_0396_008100_008220.rttm,0.00,0.00,0.00,,0.00,
BER_0396_008820_008940.rttm,0.00,0.00,0.00,,0.00,
BER_0396_010140_010260.rttm,100.00,0.00,12.29,,0.00,
BER_0396_011160_011280.rttm,0.00,0.00,0.00,,0.00,
BER_0396_012900_013020.rttm,100.00,0.00,16.49,,0.00,
BER_0396_013680_013800.rttm,100.00,0.00,21.67,,0.00,
BER_0396_014520_014640.rttm,100.00,0.00,10.94,,0.00,
BER_0396_021840_021960.rttm,0.00,0.00,0.00,,0.00,
BER_0396_022920_023040.rttm,0.00,0.00,0.00,,0.00,
BER_0396_024120_024240.rttm,0.00,0.00,0.00,,0.00,
BER_0396_024840_024960.rttm,100.00,0.00,3.03,,0.00,
BER_0396_033660_033780.rttm,0.00,0.00,0.00,,0.00,
BER_0396_037380_037500.rttm,62.50,28.28,1.52,5.37,16.16,57.14
BER_0396_040500_040620.rttm,109.38,8.11,0.88,10.86,7.99,98.52
BER_1196_002760_002880.rttm,100.00,0.00,2.28,,0.00,
BER_1196_007500_007620.rttm,0.00,0.00,0.00,,0.00,
BER_1196_011160_011280.rttm,0.00,0.00,0.00,,0.00,
BER_1196_013680_013800.rttm,100.00,0.00,1.01,,0.00,
BER_1196_014760_014880.rttm,100.00,0.00,1.38,,0.00,
BER_1196_015660_015780.rttm,0.00,0.00,0.00,,0.00,
BER_1196_016140_016260.rttm,0.00,0.00,0.00,,0.00,
BER_1196_021240_021360.rttm,0.00,0.00,0.00,,0.00,
BER_1196_022560_022680.rttm,0.00,0.00,0.00,,0.00,
BER_1196_023820_023940.rttm,0.00,0.00,0.00,,0.00,
BER_1196_024960_025080.rttm,0.00,0.00,0.00,,0.00,
BER_1196_032880_033000.rttm,0.00,0.00,0.00,,0.00,
BER_1196_033480_033600.rttm,0.00,0.00,0.00,,0.00,
BER_1196_034740_034860.rttm,0.00,0.00,0.00,,0.00,
BER_1196_039000_039120.rttm,0.00,0.00,0.00,,0.00,
BER_1618_003480_003600.rttm,0.00,0.00,0.00,,0.00,
BER_1618_007620_007740.rttm,0.00,0.00,0.00,,0.00,
BER_1618_009000_009120.rttm,0.00,0.00,0.00,,0.00,
BER_1618_013200_013320.rttm,0.00,0.00,0.00,,0.00,
BER_1618_017400_017520.rttm,0.00,0.00,0.00,,0.00,
BER_1618_023520_023640.rttm,0.00,0.00,0.00,,0.00,
BER_1618_023820_023940.rttm,0.00,0.00,0.00,,0.00,
BER_1618_024180_024300.rttm,0.00,0.00,0.00,,0.00,
BER_1618_031620_031740.rttm,58.43,7.94,1.91,24.09,2.73,34.34
BER_1618_041040_041160.rttm,77.16,23.26,0.71,3.07,17.23,74.09
BER_1618_043620_043740.rttm,0.00,0.00,0.00,,0.00,
BER_1618_047700_047820.rttm,0.00,0.00,0.00,,0.00,
BER_1618_050520_050640.rttm,0.00,0.00,0.00,,0.00,
BER_1618_051240_051360.rttm,0.00,0.00,0.00,,0.00,
BER_1618_053820_053940.rttm,0.00,0.00,0.00,,0.00,
BER_1844_002580_002700.rttm,0.00,0.00,0.00,,0.00,
BER_1844_009060_009180.rttm,0.00,0.00,0.00,,0.00,
BER_1844_010560_010680.rttm,0.00,0.00,0.00,,0.00,
BER_1844_012120_012240.rttm,0.00,0.00,0.00,,0.00,
BER_1844_013200_013320.rttm,66.89,36.44,2.49,6.82,21.89,60.06
BER_1844_013740_013860.rttm,90.03,25.17,11.20,44.50,11.46,45.53
BER_1844_018120_018240.rttm,86.30,31.47,1.19,3.79,25.96,82.50
BER_1844_018960_019080.rttm,100.00,9.14,0.00,0.00,9.14,100.00
BER_1844_020340_020460.rttm,100.00,0.97,0.00,0.00,0.97,100.00
BER_1844_028320_028440.rttm,0.00,0.00,0.00,,0.00,
BER_1844_029940_030060.rttm,85.13,21.54,2.39,11.11,15.95,74.02
BER_1844_030660_030780.rttm,100.00,16.05,0.00,0.00,16.05,100.00
BER_1844_031620_031740.rttm,100.00,8.42,0.00,0.00,8.42,100.00
BER_1844_034080_034200.rttm,86.00,28.19,0.43,1.53,23.81,84.47
BER_1844_041880_042000.rttm,100.00,1.02,0.00,0.00,1.02,100.00
BER_2927_012000_012120.rttm,0.00,0.00,0.00,,0.00,
BER_2927_013500_013620.rttm,0.00,0.00,0.00,,0.00,
BER_2927_014160_014280.rttm,100.00,0.00,10.98,,0.00,
BER_2927_019980_020100.rttm,0.00,0.00,0.00,,0.00,
BER_2927_023820_023940.rttm,100.00,0.00,29.50,,0.00,
BER_2927_025080_025200.rttm,100.00,0.00,3.33,,0.00,
BER_2927_026160_026280.rttm,100.00,0.00,3.84,,0.00,
BER_2927_026460_026580.rttm,100.00,0.00,7.18,,0.00,
BER_2927_027180_027300.rttm,100.00,0.00,0.69,,0.00,
BER_2927_030120_030240.rttm,0.00,0.00,0.00,,0.00,
BER_2927_037440_037560.rttm,0.00,0.00,0.00,,0.00,
BER_2927_044340_044460.rttm,0.00,0.00,0.00,,0.00,
BER_2927_053160_053280.rttm,0.00,0.00,0.00,,0.00,
BER_2927_054900_055020.rttm,0.00,0.00,0.00,,0.00,
BER_2927_056400_056520.rttm,0.00,0.00,0.00,,0.00,
BER_3749_004140_004260.rttm,73.87,43.67,20.61,47.18,11.66,26.69
BER_3749_004620_004740.rttm,93.58,35.57,18.69,52.55,14.59,41.03
BER_3749_005520_005640.rttm,102.37,39.63,24.16,60.96,16.41,41.40
BER_3749_007860_007980.rttm,100.00,2.02,0.00,0.00,2.02,100.00
BER_3749_009540_009660.rttm,0.00,0.00,0.00,,0.00,
BER_3749_009720_009840.rttm,0.00,0.00,0.00,,0.00,
BER_3749_011280_011400.rttm,0.00,0.00,0.00,,0.00,
BER_3749_011640_011760.rttm,0.00,0.00,0.00,,0.00,
BER_3749_017640_017760.rttm,88.17,17.02,7.93,46.60,7.08,41.57
BER_3749_019920_020040.rttm,69.99,32.26,2.04,6.32,20.54,63.67
BER_3749_021240_021360.rttm,100.00,42.41,0.00,0.00,42.41,100.00
BER_3749_026400_026520.rttm,100.00,47.83,0.00,0.00,47.83,100.00
BER_3749_028920_029040.rttm,69.41,26.13,1.58,6.06,16.55,63.35
BER_3749_034680_034800.rttm,100.00,3.89,0.00,0.00,3.89,100.00
BER_3749_043560_043680.rttm,100.00,0.00,1.00,,0.00,
BER_3895_003780_003900.rttm,0.00,0.00,0.00,,0.00,
BER_3895_006120_006240.rttm,0.00,0.00,0.00,,0.00,
BER_3895_009300_009420.rttm,0.00,0.00,0.00,,0.00,
BER_3895_012180_012300.rttm,0.00,0.00,0.00,,0.00,
BER_3895_013020_013140.rttm,0.00,0.00,0.00,,0.00,
BER_3895_013440_013560.rttm,0.00,0.00,0.00,,0.00,
BER_3895_014940_015060.rttm,0.00,0.00,0.00,,0.00,
BER_3895_021660_021780.rttm,100.00,0.00,8.73,,0.00,
BER_3895_027120_027240.rttm,100.00,0.00,2.52,,0.00,
BER_3895_030120_030240.rttm,0.00,0.00,0.00,,0.00,
BER_3895_030480_030600.rttm,0.00,0.00,0.00,,0.00,
BER_3895_033060_033180.rttm,0.00,0.00,0.00,,0.00,
BER_3895_037560_037680.rttm,0.00,0.00,0.00,,0.00,
BER_3895_043560_043680.rttm,82.48,15.34,4.34,28.26,8.32,54.22
BER_3895_047220_047340.rttm,100.00,0.00,12.29,,0.00,
BER_5750_004860_004980.rttm,0.00,0.00,0.00,,0.00,
BER_5750_006420_006540.rttm,90.04,9.34,1.22,13.12,7.18,76.93
BER_5750_008100_008220.rttm,100.00,0.00,6.59,,0.00,
BER_5750_010560_010680.rttm,100.00,0.00,3.02,,0.00,
BER_5750_022500_022620.rttm,0.00,0.00,0.00,,0.00,
BER_5750_027060_027180.rttm,0.00,0.00,0.00,,0.00,
BER_5750_029340_029460.rttm,0.00,0.00,0.00,,0.00,
BER_5750_029760_029880.rttm,0.00,0.00,0.00,,0.00,
BER_5750_030120_030240.rttm,0.00,0.00,0.00,,0.00,
BER_5750_030420_030540.rttm,0.00,0.00,0.00,,0.00,
BER_5750_034560_034680.rttm,0.00,0.00,0.00,,0.00,
BER_5750_038520_038640.rttm,0.00,0.00,0.00,,0.00,
BER_5750_039300_039420.rttm,0.00,0.00,0.00,,0.00,
BER_5750_039840_039960.rttm,0.00,0.00,0.00,,0.00,
BER_5750_040800_040920.rttm,0.00,0.00,0.00,,0.00,
BER_6035_008160_008280.rttm,104.63,15.21,6.17,40.58,9.74,64.05
BER_6035_010680_010800.rttm,66.54,12.22,0.63,5.12,7.50,61.42
BER_6035_013920_014040.rttm,1445.45,3.29,46.55,1415.35,0.99,30.10
BER_6035_018600_018720.rttm,0.00,0.00,0.00,,0.00,
BER_6035_019380_019500.rttm,0.00,0.00,0.00,,0.00,
BER_6035_021240_021360.rttm,0.00,0.00,0.00,,0.00,
BER_6035_022140_022260.rttm,0.00,0.00,0.00,,0.00,
BER_6035_026940_027060.rttm,70.72,14.60,3.67,25.13,6.66,45.60
BER_6035_027780_027900.rttm,108.74,12.70,4.55,35.88,9.25,72.87
BER_6035_030300_030420.rttm,124.91,10.20,2.54,24.91,10.20,100.00
BER_6035_030840_030960.rttm,100.00,10.11,0.00,0.00,10.11,100.00
BER_6035_037980_038100.rttm,0.00,0.00,0.00,,0.00,
BER_6035_041460_041580.rttm,0.00,0.00,0.00,,0.00,
BER_6035_045540_045660.rttm,0.00,0.00,0.00,,0.00,
BER_6035_049440_049560.rttm,0.00,0.00,0.00,,0.00,
BER_7758_003780_003900.rttm,0.00,0.00,0.00,,0.00,
BER_7758_004740_004860.rttm,100.00,0.00,2.00,,0.00,
BER_7758_010440_010560.rttm,0.00,0.00,0.00,,0.00,
BER_7758_010740_010860.rttm,0.00,0.00,0.00,,0.00,
