item,detection error rate %,total,false alarm,false alarm %,miss,miss %
BER_0396_005220_005340.rttm,0.00,0.00,0.00,,0.00,
BER_0396_008100_008220.rttm,100.00,0.00,0.80,,0.00,
BER_0396_008820_008940.rttm,0.00,0.00,0.00,,0.00,
BER_0396_010140_010260.rttm,0.00,0.00,0.00,,0.00,
BER_0396_011160_011280.rttm,0.00,0.00,0.00,,0.00,
BER_0396_012900_013020.rttm,100.00,0.00,0.60,,0.00,
BER_0396_013680_013800.rttm,0.00,0.00,0.00,,0.00,
BER_0396_014520_014640.rttm,100.00,0.00,1.68,,0.00,
BER_0396_021840_021960.rttm,0.00,0.00,0.00,,0.00,
BER_0396_022920_023040.rttm,0.00,0.00,0.00,,0.00,
BER_0396_024120_024240.rttm,100.00,0.00,2.92,,0.00,
BER_0396_024840_024960.rttm,0.00,0.00,0.00,,0.00,
BER_0396_033660_033780.rttm,100.00,0.00,4.31,,0.00,
BER_0396_037380_037500.rttm,100.00,3.30,0.00,0.00,3.30,100.00
BER_0396_040500_040620.rttm,0.00,0.00,0.00,,0.00,
BER_1196_002760_002880.rttm,66.54,5.20,0.55,10.58,2.91,55.96
BER_1196_007500_007620.rttm,0.00,0.00,0.00,,0.00,
BER_1196_011160_011280.rttm,100.00,0.00,4.78,,0.00,
BER_1196_013680_013800.rttm,362.31,1.99,5.24,263.32,1.97,98.99
BER_1196_014760_014880.rttm,100.00,0.00,0.80,,0.00,
BER_1196_015660_015780.rttm,792.47,0.93,7.16,769.89,0.21,22.58
BER_1196_016140_016260.rttm,100.00,0.00,3.33,,0.00,
BER_1196_021240_021360.rttm,331.11,2.70,6.57,243.33,2.37,87.78
BER_1196_022560_022680.rttm,120.55,20.29,14.46,71.27,10.00,49.29
BER_1196_023820_023940.rttm,167.40,9.51,8.48,89.17,7.44,78.23
BER_1196_024960_025080.rttm,263.64,2.86,4.68,163.64,2.86,100.00
BER_1196_032880_033000.rttm,628.57,0.77,4.07,528.57,0.77,100.00
BER_1196_033480_033600.rttm,1457.52,1.13,15.34,1357.52,1.13,100.00
BER_1196_034740_034860.rttm,107.79,7.57,4.11,54.29,4.05,53.50
BER_1196_039000_039120.rttm,87.08,22.14,0.02,0.09,19.26,86.99
BER_1618_003480_003600.rttm,81.87,17.82,1.52,8.53,13.07,73.34
BER_1618_007620_007740.rttm,0.00,0.00,0.00,,0.00,
BER_1618_009000_009120.rttm,0.00,0.00,0.00,,0.00,
BER_1618_013200_013320.rttm,100.00,0.00,0.80,,0.00,
BER_1618_017400_017520.rttm,113.56,11.58,6.93,59.84,6.22,53.71
BER_1618_023520_023640.rttm,0.00,0.00,0.00,,0.00,
BER_1618_023820_023940.rttm,0.00,0.00,0.00,,0.00,
BER_1618_024180_024300.rttm,0.00,0.00,0.00,,0.00,
BER_1618_031620_031740.rttm,125.99,12.58,4.08,32.43,11.77,93.56
BER_1618_041040_041160.rttm,99.91,10.71,3.18,29.69,7.52,70.21
BER_1618_043620_043740.rttm,100.00,0.00,1.31,,0.00,
BER_1618_047700_047820.rttm,0.00,0.00,0.00,,0.00,
BER_1618_050520_050640.rttm,0.00,0.00,0.00,,0.00,
BER_1618_051240_051360.rttm,0.00,0.00,0.00,,0.00,
BER_1618_053820_053940.rttm,0.00,0.00,0.00,,0.00,
BER_1844_002580_002700.rttm,0.00,0.00,0.00,,0.00,
BER_1844_009060_009180.rttm,0.00,0.00,0.00,,0.00,
BER_1844_010560_010680.rttm,0.00,0.00,0.00,,0.00,
BER_1844_012120_012240.rttm,100.00,0.00,3.39,,0.00,
BER_1844_013200_013320.rttm,100.00,0.00,0.86,,0.00,
BER_1844_013740_013860.rttm,100.00,0.00,4.84,,0.00,
BER_1844_018120_018240.rttm,100.00,0.00,7.60,,0.00,
BER_1844_018960_019080.rttm,100.00,0.00,10.56,,0.00,
BER_1844_020340_020460.rttm,100.00,0.00,4.35,,0.00,
BER_1844_028320_028440.rttm,100.00,0.00,3.60,,0.00,
BER_1844_029940_030060.rttm,100.00,0.00,6.94,,0.00,
BER_1844_030660_030780.rttm,0.00,0.00,0.00,,0.00,
BER_1844_031620_031740.rttm,100.00,0.00,10.30,,0.00,
BER_1844_034080_034200.rttm,100.00,0.00,4.04,,0.00,
BER_1844_041880_042000.rttm,100.00,0.00,7.31,,0.00,
BER_2927_012000_012120.rttm,250.71,1.40,2.37,169.29,1.14,81.43
BER_2927_013500_013620.rttm,96.46,44.02,5.91,13.43,36.55,83.03
BER_2927_014160_014280.rttm,119.95,4.01,0.80,19.95,4.01,100.00
BER_2927_019980_020100.rttm,0.00,0.00,0.00,,0.00,
BER_2927_023820_023940.rttm,101.66,5.43,0.45,8.29,5.07,93.37
BER_2927_025080_025200.rttm,511.34,0.97,3.99,411.34,0.97,100.00
BER_2927_026160_026280.rttm,130.43,13.57,7.63,56.23,10.07,74.21
BER_2927_026460_026580.rttm,109.60,14.89,1.78,11.95,14.54,97.65
BER_2927_027180_027300.rttm,104.90,15.11,4.24,28.06,11.61,76.84
BER_2927_030120_030240.rttm,76.11,16.45,3.20,19.45,9.32,56.66
BER_2927_037440_037560.rttm,0.00,0.00,0.00,,0.00,
BER_2927_044340_044460.rttm,100.00,0.00,4.22,,0.00,
BER_2927_053160_053280.rttm,0.00,0.00,0.00,,0.00,
BER_2927_054900_055020.rttm,0.00,0.00,0.00,,0.00,
BER_2927_056400_056520.rttm,0.00,0.00,0.00,,0.00,
BER_3749_004140_004260.rttm,0.00,0.00,0.00,,0.00,
BER_3749_004620_004740.rttm,0.00,0.00,0.00,,0.00,
BER_3749_005520_005640.rttm,0.00,0.00,0.00,,0.00,
BER_3749_007860_007980.rttm,0.00,0.00,0.00,,0.00,
BER_3749_009540_009660.rttm,0.00,0.00,0.00,,0.00,
BER_3749_009720_009840.rttm,0.00,0.00,0.00,,0.00,
BER_3749_011280_011400.rttm,0.00,0.00,0.00,,0.00,
BER_3749_011640_011760.rttm,0.00,0.00,0.00,,0.00,
BER_3749_017640_017760.rttm,0.00,0.00,0.00,,0.00,
BER_3749_019920_020040.rttm,0.00,0.00,0.00,,0.00,
BER_3749_021240_021360.rttm,0.00,0.00,0.00,,0.00,
BER_3749_026400_026520.rttm,0.00,0.00,0.00,,0.00,
BER_3749_028920_029040.rttm,123.72,2.53,0.60,23.72,2.53,100.00
BER_3749_034680_034800.rttm,100.00,0.00,2.89,,0.00,
BER_3749_043560_043680.rttm,100.00,0.00,5.71,,0.00,
BER_3895_003780_003900.rttm,0.00,0.00,0.00,,0.00,
BER_3895_006120_006240.rttm,0.00,0.00,0.00,,0.00,
BER_3895_009300_009420.rttm,100.00,2.41,0.00,0.00,2.41,100.00
BER_3895_012180_012300.rttm,999.55,2.21,20.30,918.55,1.79,81.00
BER_3895_013020_013140.rttm,165.90,19.15,18.08,94.41,13.69,71.49
BER_3895_013440_013560.rttm,100.00,0.00,4.35,,0.00,
