item,detection error rate %,total,false alarm,false alarm %,miss,miss %
BER_0396_005220_005340.rttm,100.00,0.00,18.46,,0.00,
BER_0396_008100_008220.rttm,272.14,3.59,7.73,215.32,2.04,56.82
BER_0396_008820_008940.rttm,333.92,6.81,17.86,262.26,4.88,71.66
BER_0396_010140_010260.rttm,2669.23,0.26,6.68,2569.23,0.26,100.00
BER_0396_011160_011280.rttm,100.00,0.00,4.14,,0.00,
BER_0396_012900_013020.rttm,803.50,6.29,46.97,746.74,3.57,56.76
BER_0396_013680_013800.rttm,516.67,3.96,19.89,502.27,0.57,14.39
BER_0396_014520_014640.rttm,692.55,5.77,35.17,609.53,4.79,83.02
BER_0396_021840_021960.rttm,0.00,0.00,0.00,,0.00,
BER_0396_022920_023040.rttm,0.00,0.00,0.00,,0.00,
BER_0396_024120_024240.rttm,100.00,0.00,10.05,,0.00,
BER_0396_024840_024960.rttm,1777.27,1.32,23.01,1743.18,0.45,34.09
BER_0396_033660_033780.rttm,542.21,1.54,6.81,442.21,1.54,100.00
BER_0396_037380_037500.rttm,1876.51,2.98,53.93,1809.73,1.99,66.78
BER_0396_040500_040620.rttm,3692.11,0.38,13.65,3592.11,0.38,100.00
BER_1196_002760_002880.rttm,100.00,0.00,25.74,,0.00,
BER_1196_007500_007620.rttm,0.00,0.00,0.00,,0.00,
BER_1196_011160_011280.rttm,0.00,0.00,0.00,,0.00,
BER_1196_013680_013800.rttm,161.79,22.95,17.87,77.86,19.26,83.92
BER_1196_014760_014880.rttm,109.03,24.47,9.54,38.99,17.14,70.04
BER_1196_015660_015780.rttm,197.40,12.71,14.78,116.29,10.31,81.12
BER_1196_016140_016260.rttm,79.30,61.55,9.26,15.04,39.55,64.26
BER_1196_021240_021360.rttm,103.79,32.94,9.16,27.81,25.03,75.99
BER_1196_022560_022680.rttm,127.12,27.84,10.64,38.22,24.75,88.90
BER_1196_023820_023940.rttm,198.20,7.76,9.49,122.29,5.89,75.90
BER_1196_024960_025080.rttm,5648.39,0.31,17.20,5548.39,0.31,100.00
BER_1196_032880_033000.rttm,100.00,0.00,1.90,,0.00,
BER_1196_033480_033600.rttm,4655.56,0.18,8.38,4655.56,0.00,0.00
BER_1196_034740_034860.rttm,100.00,0.00,13.42,,0.00,
BER_1196_039000_039120.rttm,3410.00,1.00,33.10,3310.00,1.00,100.00
BER_1618_003480_003600.rttm,770.32,4.11,29.27,712.17,2.39,58.15
BER_1618_007620_007740.rttm,0.00,0.00,0.00,,0.00,
BER_1618_009000_009120.rttm,0.00,0.00,0.00,,0.00,
BER_1618_013200_013320.rttm,0.00,0.00,0.00,,0.00,
BER_1618_017400_017520.rttm,142.98,16.17,12.09,74.77,11.03,68.21
BER_1618_023520_023640.rttm,0.00,0.00,0.00,,0.00,
BER_1618_023820_023940.rttm,0.00,0.00,0.00,,0.00,
BER_1618_024180_024300.rttm,0.00,0.00,0.00,,0.00,
BER_1618_031620_031740.rttm,359.56,7.74,23.26,300.52,4.57,59.04
BER_1618_041040_041160.rttm,238.95,25.21,52.43,207.97,7.81,30.98
BER_1618_043620_043740.rttm,0.00,0.00,0.00,,0.00,
BER_1618_047700_047820.rttm,0.00,0.00,0.00,,0.00,
BER_1618_050520_050640.rttm,0.00,0.00,0.00,,0.00,
BER_1618_051240_051360.rttm,0.00,0.00,0.00,,0.00,
BER_1618_053820_053940.rttm,0.00,0.00,0.00,,0.00,
BER_1844_002580_002700.rttm,100.00,0.00,7.84,,0.00,
BER_1844_009060_009180.rttm,0.00,0.00,0.00,,0.00,
BER_1844_010560_010680.rttm,0.00,0.00,0.00,,0.00,
BER_1844_012120_012240.rttm,100.00,0.00,4.82,,0.00,
BER_1844_013200_013320.rttm,16400.00,0.02,3.26,16300.00,0.02,100.00
BER_1844_013740_013860.rttm,142.67,15.42,9.89,64.14,12.11,78.53
BER_1844_018120_018240.rttm,130.41,10.36,5.41,52.22,8.10,78.19
BER_1844_018960_019080.rttm,303.96,2.78,6.78,243.88,1.67,60.07
BER_1844_020340_020460.rttm,431.59,3.45,13.71,397.39,1.18,34.20
BER_1844_028320_028440.rttm,100.00,0.00,0.85,,0.00,
BER_1844_029940_030060.rttm,362.71,2.36,6.20,262.71,2.36,100.00
BER_1844_030660_030780.rttm,100.00,0.60,0.00,0.00,0.60,100.00
BER_1844_031620_031740.rttm,88.17,17.92,2.33,13.00,13.47,75.17
BER_1844_034080_034200.rttm,300.75,11.94,29.56,247.57,6.35,53.18
BER_1844_041880_042000.rttm,196.79,15.90,21.94,137.99,9.35,58.81
BER_2927_012000_012120.rttm,751.55,7.10,49.05,690.85,4.31,60.70
BER_2927_013500_013620.rttm,243.33,17.91,34.36,191.85,9.22,51.48
BER_2927_014160_014280.rttm,204.39,13.44,17.63,131.18,9.84,73.21
BER_2927_019980_020100.rttm,0.00,0.00,0.00,,0.00,
BER_2927_023820_023940.rttm,129.36,13.52,5.65,41.79,11.84,87.57
BER_2927_025080_025200.rttm,526.98,3.15,14.90,473.02,1.70,53.97
BER_2927_026160_026280.rttm,185.47,20.99,29.66,141.31,9.27,44.16
BER_2927_026460_026580.rttm,179.13,19.17,22.02,114.87,12.32,64.27
BER_2927_027180_027300.rttm,244.98,11.45,20.74,181.14,7.31,63.84
BER_2927_030120_030240.rttm,377.44,7.80,25.12,322.05,4.32,55.38
BER_2927_037440_037560.rttm,1696.77,0.31,4.95,1596.77,0.31,100.00
BER_2927_044340_044460.rttm,557.01,1.07,4.89,457.01,1.07,100.00
BER_2927_053160_053280.rttm,0.00,0.00,0.00,,0.00,
BER_2927_054900_055020.rttm,0.00,0.00,0.00,,0.00,
BER_2927_056400_056520.rttm,0.00,0.00,0.00,,0.00,
BER_3749_004140_004260.rttm,111.18,28.63,13.10,45.76,18.73,65.42
BER_3749_004620_004740.rttm,350.94,9.56,26.35,275.63,7.20,75.31
BER_3749_005520_005640.rttm,175.65,19.34,22.96,118.72,11.01,56.93
BER_3749_007860_007980.rttm,100.00,0.00,4.23,,0.00,
BER_3749_009540_009660.rttm,100.00,0.00,8.24,,0.00,
BER_3749_009720_009840.rttm,0.00,0.00,0.00,,0.00,
BER_3749_011280_011400.rttm,0.00,0.00,0.00,,0.00,
BER_3749_011640_011760.rttm,0.00,0.00,0.00,,0.00,
BER_3749_017640_017760.rttm,281.24,9.81,21.93,223.55,5.66,57.70
BER_3749_019920_020040.rttm,416.65,10.27,35.52,345.86,7.27,70.79
BER_3749_021240_021360.rttm,0.00,0.00,0.00,,0.00,
BER_3749_026400_026520.rttm,100.00,7.01,0.00,0.00,7.01,100.00
BER_3749_028920_029040.rttm,4049.15,1.77,70.99,4010.73,0.68,38.42
BER_3749_034680_034800.rttm,604.35,7.59,42.44,559.16,3.43,45.19
BER_3749_043560_043680.rttm,209.29,1.83,2.60,142.08,1.23,67.21
BER_3895_003780_003900.rttm,0.00,0.00,0.00,,0.00,
BER_3895_006120_006240.rttm,0.00,0.00,0.00,,0.00,
BER_3895_009300_009420.rttm,5809.48,1.16,67.39,5809.48,0.00,0.00
BER_3895_012180_012300.rttm,89.97,40.36,15.67,38.83,20.64,51.14
BER_3895_013020_013140.rttm,143.33,20.91,20.14,96.32,9.83,47.01
BER_3895_013440_013560.rttm,112.54,30.61,16.93,55.31,17.52,57.24
