item,identification error rate %,total,correct,correct %,false alarm,false alarm %,missed detection,missed detection %,confusion,confusion %
BER_0396_005220_005340.rttm,95.82,27.06,19.15,70.77,18.02,66.59,3.22,11.90,4.69,17.33
BER_0396_008100_008220.rttm,99.30,32.67,8.62,26.39,8.39,25.68,18.01,55.13,6.04,18.49
BER_0396_008820_008940.rttm,198.81,12.59,5.52,43.84,17.96,142.65,2.42,19.22,4.65,36.93
BER_0396_010140_010260.rttm,81.35,36.67,14.22,38.78,7.38,20.13,8.22,22.42,14.23,38.81
BER_0396_011160_011280.rttm,37.21,24.32,20.74,85.28,5.47,22.49,1.65,6.78,1.93,7.94
BER_0396_012900_013020.rttm,469.15,14.78,1.76,11.91,56.32,381.06,1.83,12.38,11.19,75.71
BER_0396_013680_013800.rttm,395.55,11.91,3.19,26.78,38.39,322.33,2.85,23.93,5.87,49.29
BER_0396_014520_014640.rttm,258.93,22.89,15.62,68.24,52.00,227.17,0.81,3.54,6.46,28.22
BER_0396_021840_021960.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_0396_022920_023040.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_0396_024120_024240.rttm,103.88,18.57,11.09,59.72,11.81,63.60,1.38,7.43,6.10,32.85
BER_0396_024840_024960.rttm,94.93,41.23,15.82,38.37,13.73,33.30,7.41,17.97,18.00,43.66
BER_0396_033660_033780.rttm,48.31,47.20,33.22,70.38,8.82,18.69,3.60,7.63,10.38,21.99
BER_0396_037380_037500.rttm,133.05,51.32,20.26,39.48,37.22,72.53,8.82,17.19,22.24,43.34
BER_0396_040500_040620.rttm,165.17,15.16,0.50,3.30,10.38,68.47,8.83,58.25,5.83,38.46
BER_1196_002760_002880.rttm,189.25,17.31,7.98,46.10,23.43,135.36,3.84,22.18,5.49,31.72
BER_1196_007500_007620.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1196_011160_011280.rttm,100.52,48.29,0.00,0.00,0.25,0.52,43.76,90.62,4.53,9.38
BER_1196_013680_013800.rttm,128.08,29.02,13.79,47.52,21.94,75.60,4.84,16.68,10.39,35.80
BER_1196_014760_014880.rttm,62.71,61.38,29.76,48.48,6.87,11.19,12.79,20.84,18.83,30.68
BER_1196_015660_015780.rttm,113.35,31.62,8.77,27.74,12.99,41.08,13.80,43.64,9.05,28.62
BER_1196_016140_016260.rttm,69.81,73.63,33.24,45.14,11.01,14.95,10.36,14.07,30.03,40.79
BER_1196_021240_021360.rttm,96.75,42.18,9.77,23.16,8.40,19.91,18.81,44.59,13.60,32.24
BER_1196_022560_022680.rttm,78.66,61.01,29.23,47.91,16.21,26.57,23.16,37.96,8.62,14.13
BER_1196_023820_023940.rttm,96.16,34.36,8.64,25.15,7.32,21.30,12.45,36.23,13.27,38.62
BER_1196_024960_025080.rttm,132.65,28.30,11.51,40.67,20.75,73.32,10.26,36.25,6.53,23.07
BER_1196_032880_033000.rttm,150.63,10.33,0.14,1.36,5.37,51.98,4.76,46.08,5.43,52.57
