item,detection error rate %,total,false alarm,false alarm %,miss,miss %
BER_0396_005220_005340.rttm,43.01,23.78,3.12,13.13,7.10,29.88
BER_0396_008100_008220.rttm,113.05,16.97,4.97,29.30,14.21,83.75
BER_0396_008820_008940.rttm,100.00,0.30,0.00,0.00,0.30,100.00
BER_0396_010140_010260.rttm,70.01,33.76,2.65,7.84,20.99,62.17
BER_0396_011160_011280.rttm,0.00,0.00,0.00,,0.00,
BER_0396_012900_013020.rttm,100.00,8.76,0.00,0.00,8.76,100.00
BER_0396_013680_013800.rttm,126.60,3.99,1.06,26.60,3.99,100.00
BER_0396_014520_014640.rttm,101.96,4.90,4.48,91.43,0.52,10.52
BER_0396_021840_021960.rttm,0.00,0.00,0.00,,0.00,
BER_0396_022920_023040.rttm,0.00,0.00,0.00,,0.00,
BER_0396_024120_024240.rttm,25.85,2.81,0.11,3.92,0.62,21.93
BER_0396_024840_024960.rttm,80.87,19.86,4.32,21.74,11.74,59.14
BER_0396_033660_033780.rttm,76.48,10.41,2.87,27.53,5.10,48.95
BER_0396_037380_037500.rttm,68.14,10.08,1.28,12.70,5.59,55.43
BER_0396_040500_040620.rttm,123.98,5.40,1.68,31.05,5.02,92.93
BER_1196_002760_002880.rttm,0.00,0.00,0.00,,0.00,
BER_1196_007500_007620.rttm,0.00,0.00,0.00,,0.00,
BER_1196_011160_011280.rttm,0.00,0.00,0.00,,0.00,
BER_1196_013680_013800.rttm,96.20,11.10,8.53,76.90,2.14,19.29
BER_1196_014760_014880.rttm,61.93,40.11,6.47,16.13,18.37,45.80
BER_1196_015660_015780.rttm,92.88,15.88,0.48,3.05,14.26,89.83
BER_1196_016140_016260.rttm,89.17,43.98,16.76,38.11,22.46,51.06
BER_1196_021240_021360.rttm,96.25,9.06,0.80,8.83,7.92,87.42
BER_1196_022560_022680.rttm,76.07,7.73,1.62,21.02,4.25,55.05
BER_1196_023820_023940.rttm,101.90,8.73,0.60,6.85,8.30,95.05
BER_1196_024960_025080.rttm,98.39,10.69,0.43,4.06,10.09,94.33
BER_1196_032880_033000.rttm,100.00,0.00,3.77,,0.00,
BER_1196_033480_033600.rttm,86.30,5.39,0.32,5.96,4.33,80.33
BER_1196_034740_034860.rttm,100.00,0.00,1.85,,0.00,
BER_1196_039000_039120.rttm,100.00,6.27,0.00,0.00,6.27,100.00
BER_1618_003480_003600.rttm,57.71,13.88,5.06,36.49,2.95,21.22
BER_1618_007620_007740.rttm,0.00,0.00,0.00,,0.00,
BER_1618_009000_009120.rttm,0.00,0.00,0.00,,0.00,
BER_1618_013200_013320.rttm,100.00,0.00,1.00,,0.00,
BER_1618_017400_017520.rttm,68.35,13.76,3.32,24.15,6.08,44.20
BER_1618_023520_023640.rttm,0.00,0.00,0.00,,0.00,
BER_1618_023820_023940.rttm,0.00,0.00,0.00,,0.00,
BER_1618_024180_024300.rttm,0.00,0.00,0.00,,0.00,
BER_1618_031620_031740.rttm,58.78,35.50,5.33,15.01,15.54,43.77
BER_1618_041040_041160.rttm,86.01,27.44,1.87,6.80,21.73,79.21
BER_1618_043620_043740.rttm,0.00,0.00,0.00,,0.00,
BER_1618_047700_047820.rttm,0.00,0.00,0.00,,0.00,
BER_1618_050520_050640.rttm,0.00,0.00,0.00,,0.00,
BER_1618_051240_051360.rttm,0.00,0.00,0.00,,0.00,
BER_1618_053820_053940.rttm,0.00,0.00,0.00,,0.00,
BER_1844_002580_002700.rttm,100.00,42.16,0.00,0.00,42.16,100.00
BER_1844_009060_009180.rttm,0.00,0.00,0.00,,0.00,
BER_1844_010560_010680.rttm,0.00,0.00,0.00,,0.00,
BER_1844_012120_012240.rttm,0.00,0.00,0.00,,0.00,
BER_1844_013200_013320.rttm,208.49,5.38,5.84,108.49,5.38,100.00
BER_1844_013740_013860.rttm,173.90,6.05,4.47,73.90,6.05,100.00
BER_1844_018120_018240.rttm,84.28,11.96,0.00,0.00,10.08,84.28
BER_1844_018960_019080.rttm,65.39,10.86,0.00,0.00,7.10,65.39
BER_1844_020340_020460.rttm,100.00,8.14,0.00,0.00,8.14,100.00
BER_1844_028320_028440.rttm,90.49,14.20,0.88,6.20,11.97,84.29
BER_1844_029940_030060.rttm,152.91,5.85,4.25,72.69,4.69,80.23
BER_1844_030660_030780.rttm,100.00,4.78,0.00,0.00,4.78,100.00
BER_1844_031620_031740.rttm,120.66,17.38,3.59,20.66,17.38,100.00
BER_1844_034080_034200.rttm,81.79,32.18,4.71,14.63,21.61,67.16
BER_1844_041880_042000.rttm,90.89,36.32,5.15,14.20,27.85,76.69
BER_2927_012000_012120.rttm,83.09,25.63,6.26,24.44,15.03,58.65
BER_2927_013500_013620.rttm,119.12,14.60,6.20,42.48,11.19,76.64
BER_2927_014160_014280.rttm,74.79,59.44,13.31,22.40,31.14,52.40
BER_2927_019980_020100.rttm,0.00,0.00,0.00,,0.00,
BER_2927_023820_023940.rttm,74.59,66.74,10.35,15.50,39.44,59.09
BER_2927_025080_025200.rttm,76.78,27.44,8.72,31.77,12.35,45.01
BER_2927_026160_026280.rttm,61.98,49.46,9.49,19.18,21.16,42.79
BER_2927_026460_026580.rttm,102.23,40.03,22.75,56.84,18.17,45.39
BER_2927_027180_027300.rttm,93.16,40.83,7.11,17.42,30.92,75.74
BER_2927_030120_030240.rttm,65.06,47.42,4.93,10.40,25.92,54.66
BER_2927_037440_037560.rttm,97.81,14.63,0.70,4.82,13.60,92.99
BER_2927_044340_044460.rttm,84.82,23.14,1.65,7.13,17.97,77.69
BER_2927_053160_053280.rttm,0.00,0.00,0.00,,0.00,
BER_2927_054900_055020.rttm,0.00,0.00,0.00,,0.00,
BER_2927_056400_056520.rttm,0.00,0.00,0.00,,0.00,
BER_3749_004140_004260.rttm,82.04,33.52,12.01,35.82,15.49,46.21
BER_3749_004620_004740.rttm,103.06,29.53,6.04,20.44,24.40,82.62
BER_3749_005520_005640.rttm,94.24,21.53,1.49,6.92,18.80,87.32
BER_3749_007860_007980.rttm,100.00,9.57,0.00,0.00,9.57,100.00
BER_3749_009540_009660.rttm,0.00,0.00,0.00,,0.00,
BER_3749_009720_009840.rttm,0.00,0.00,0.00,,0.00,
BER_3749_011280_011400.rttm,0.00,0.00,0.00,,0.00,
BER_3749_011640_011760.rttm,0.00,0.00,0.00,,0.00,
BER_3749_017640_017760.rttm,75.65,36.00,6.09,16.91,21.15,58.74
BER_3749_019920_020040.rttm,181.11,9.38,8.08,86.18,8.90,94.93
BER_3749_021240_021360.rttm,0.00,0.00,0.00,,0.00,
BER_3749_026400_026520.rttm,100.00,10.92,0.00,0.00,10.92,100.00
BER_3749_028920_029040.rttm,100.00,0.00,0.83,,0.00,
BER_3749_034680_034800.rttm,82.60,18.44,0.16,0.85,15.07,81.76
BER_3749_043560_043680.rttm,33.97,48.74,4.39,9.01,12.17,24.96
BER_3895_003780_003900.rttm,0.00,0.00,0.00,,0.00,
BER_3895_006120_006240.rttm,0.00,0.00,0.00,,0.00,
BER_3895_009300_009420.rttm,59.46,16.06,2.01,12.51,7.54,46.96
BER_3895_012180_012300.rttm,103.06,57.55,17.50,30.40,41.82,72.66
BER_3895_013020_013140.rttm,80.00,51.84,7.05,13.61,34.42,66.39
BER_3895_013440_013560.rttm,113.00,14.84,1.97,13.27,14.80,99.73
BER_3895_014940_015060.rttm,72.01,75.42,11.18,14.83,43.12,57.18
BER_3895_021660_021780.rttm,400.19,7.87,26.17,332.58,5.32,67.61
BER_3895_027120_027240.rttm,768.97,0.87,5.82,668.97,0.87,100.00
BER_3895_030120_030240.rttm,0.00,0.00,0.00,,0.00,
BER_3895_030480_030600.rttm,100.00,0.00,4.79,,0.00,
BER_3895_033060_033180.rttm,100.00,0.00,0.62,,0.00,
BER_3895_037560_037680.rttm,0.00,0.00,0.00,,0.00,
BER_3895_043560_043680.rttm,56.63,36.42,16.24,44.60,4.38,12.03
BER_3895_047220_047340.rttm,100.00,0.00,21.04,,0.00,
BER_5750_004860_004980.rttm,59.04,28.57,2.44,8.55,14.43,50.49
BER_5750_006420_006540.rttm,86.15,48.46,6.30,12.99,35.46,73.17
BER_5750_008100_008220.rttm,102.47,75.37,5.71,7.58,71.51,94.88
BER_5750_010560_010680.rttm,77.13,38.07,6.86,18.01,22.50,59.12
BER_5750_022500_022620.rttm,0.00,0.00,0.00,,0.00,
BER_5750_027060_027180.rttm,91.66,18.05,1.87,10.37,14.67,81.28
BER_5750_029340_029460.rttm,77.45,8.44,4.40,52.10,2.14,25.35
BER_5750_029760_029880.rttm,498.43,1.78,7.60,427.28,1.27,71.15
BER_5750_030120_030240.rttm,88.84,14.87,3.06,20.57,10.15,68.27
BER_5750_030420_030540.rttm,171.12,3.75,3.45,91.90,2.97,79.22
BER_5750_034560_034680.rttm,0.00,0.00,0.00,,0.00,
BER_5750_038520_038640.rttm,0.00,0.00,0.00,,0.00,
BER_5750_039300_039420.rttm,0.00,0.00,0.00,,0.00,
BER_5750_039840_039960.rttm,0.00,0.00,0.00,,0.00,
BER_5750_040800_040920.rttm,0.00,0.00,0.00,,0.00,
BER_6035_008160_008280.rttm,105.16,18.38,0.97,5.30,18.35,99.86
BER_6035_010680_010800.rttm,87.76,34.85,4.78,13.71,25.80,74.05
BER_6035_013920_014040.rttm,87.56,70.85,9.14,12.91,52.89,74.65
BER_6035_018600_018720.rttm,0.00,0.00,0.00,,0.00,
BER_6035_019380_019500.rttm,0.00,0.00,0.00,,0.00,
BER_6035_021240_021360.rttm,0.00,0.00,0.00,,0.00,
BER_6035_022140_022260.rttm,0.00,0.00,0.00,,0.00,
BER_6035_026940_027060.rttm,77.16,38.51,3.34,8.67,26.38,68.49
BER_6035_027780_027900.rttm,74.63,40.24,4.95,12.29,25.09,62.34
BER_6035_030300_030420.rttm,63.99,26.87,4.49,16.70,12.71,47.29
BER_6035_030840_030960.rttm,98.11,49.25,0.03,0.07,48.28,98.04
BER_6035_037980_038100.rttm,0.00,0.00,0.00,,0.00,
BER_6035_041460_041580.rttm,0.00,0.00,0.00,,0.00,
BER_6035_045540_045660.rttm,0.00,0.00,0.00,,0.00,
BER_6035_049440_049560.rttm,0.00,0.00,0.00,,0.00,
BER_7758_003780_003900.rttm,62.57,3.20,0.41,12.84,1.59,49.73
BER_7758_004740_004860.rttm,65.85,27.31,6.69,24.50,11.29,41.35
BER_7758_010440_010560.rttm,0.00,0.00,0.00,,0.00,
BER_7758_010740_010860.rttm,78.57,11.45,0.29,2.52,8.71,76.05
BER_7758_012180_012300.rttm,97.47,11.62,0.42,3.60,10.91,93.87
BER_7758_019140_019260.rttm,58.78,67.07,6.88,10.26,32.54,48.51
BER_7758_021540_021660.rttm,0.00,0.00,0.00,,0.00,
BER_7758_026700_026820.rttm,0.00,0.00,0.00,,0.00,
BER_7758_027600_027720.rttm,0.00,0.00,0.00,,0.00,
BER_7758_027960_028080.rttm,0.00,0.00,0.00,,0.00,
BER_7758_029940_030060.rttm,100.00,0.00,4.40,,0.00,
BER_7758_031380_031500.rttm,0.00,0.00,0.00,,0.00,
BER_7758_032520_032640.rttm,0.00,0.00,0.00,,0.00,
BER_7758_034260_034380.rttm,0.00,0.00,0.00,,0.00,
BER_7758_038460_038580.rttm,89.40,16.60,2.54,15.30,12.30,74.10
C01_20170706_12840.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_16440.rttm,100.00,2.53,0.00,0.00,2.53,100.00
C01_20170706_20040.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_2040.rttm,81.28,11.11,1.64,14.75,7.39,66.53
C01_20170706_23640.rttm,100.00,0.00,0.81,,0.00,
C01_20170706_27240.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_30840.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_34440.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_38040.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_41640.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_45240.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_48840.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_52440.rttm,100.00,0.00,5.30,,0.00,
C01_20170706_56040.rttm,100.00,0.42,0.00,0.00,0.42,100.00
C01_20170706_5640.rttm,62.05,2.09,0.10,4.93,1.19,57.12
C01_20170706_9240.rttm,288.70,2.13,4.88,229.18,1.27,59.52
C01_20170718_12840.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_16440.rttm,82.02,1.52,0.36,23.87,0.88,58.14
C01_20170718_20040.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_2040.rttm,129.77,4.76,2.69,56.47,3.49,73.30
C01_20170718_23640.rttm,0.00,0.00,0.00,,0.00,
