item,detection error rate %,total,false alarm,false alarm %,miss,miss %
BER_0396_005220_005340.rttm,100.00,0.00,18.46,,0.00,
BER_0396_008100_008220.rttm,272.51,3.59,7.73,215.61,2.04,56.90
BER_0396_008820_008940.rttm,1201.89,1.80,19.79,1101.89,1.80,100.00
BER_0396_010140_010260.rttm,645.75,1.22,6.68,545.75,1.22,100.00
BER_0396_011160_011280.rttm,100.00,0.00,4.14,,0.00,
BER_0396_012900_013020.rttm,1403.13,3.64,48.56,1334.12,2.51,69.01
BER_0396_013680_013800.rttm,1167.97,1.84,21.44,1167.97,0.00,0.00
BER_0396_014520_014640.rttm,1487.46,2.60,36.10,1389.19,2.55,98.27
BER_0396_021840_021960.rttm,0.00,0.00,0.00,,0.00,
BER_0396_022920_023040.rttm,0.00,0.00,0.00,,0.00,
BER_0396_024120_024240.rttm,100.00,0.00,10.05,,0.00,
BER_0396_024840_024960.rttm,1773.32,1.32,23.01,1739.15,0.45,34.16
BER_0396_033660_033780.rttm,541.06,1.54,6.81,441.06,1.54,100.00
BER_0396_037380_037500.rttm,1731.10,3.25,53.95,1660.99,2.28,70.10
BER_0396_040500_040620.rttm,3692.11,0.38,13.65,3592.11,0.38,100.00
BER_1196_002760_002880.rttm,100.00,0.00,25.74,,0.00,
BER_1196_007500_007620.rttm,0.00,0.00,0.00,,0.00,
BER_1196_011160_011280.rttm,0.00,0.00,0.00,,0.00,
BER_1196_013680_013800.rttm,323.36,7.83,19.52,249.44,5.78,73.92
BER_1196_014760_014880.rttm,140.02,16.48,11.73,71.19,11.34,68.83
BER_1196_015660_015780.rttm,263.73,7.55,14.77,195.58,5.15,68.15
BER_1196_016140_016260.rttm,127.12,28.75,19.53,67.92,17.02,59.20
BER_1196_021240_021360.rttm,217.05,11.05,15.00,135.80,8.97,81.25
BER_1196_022560_022680.rttm,256.60,6.19,11.71,189.30,4.16,67.31
BER_1196_023820_023940.rttm,749.94,1.67,11.12,664.28,1.43,85.66
BER_1196_024960_025080.rttm,5525.87,0.32,17.20,5425.87,0.32,100.00
BER_1196_032880_033000.rttm,100.00,0.00,1.90,,0.00,
BER_1196_033480_033600.rttm,4708.99,0.18,8.38,4708.99,0.00,0.00
BER_1196_034740_034860.rttm,100.00,0.00,13.42,,0.00,
BER_1196_039000_039120.rttm,100.00,0.00,33.10,,0.00,
BER_1618_003480_003600.rttm,768.30,4.12,29.26,710.24,2.39,58.06
BER_1618_007620_007740.rttm,0.00,0.00,0.00,,0.00,
BER_1618_009000_009120.rttm,0.00,0.00,0.00,,0.00,
BER_1618_013200_013320.rttm,0.00,0.00,0.00,,0.00,
BER_1618_017400_017520.rttm,172.70,10.45,12.41,118.83,5.63,53.87
BER_1618_023520_023640.rttm,0.00,0.00,0.00,,0.00,
BER_1618_023820_023940.rttm,0.00,0.00,0.00,,0.00,
BER_1618_024180_024300.rttm,0.00,0.00,0.00,,0.00,
BER_1618_031620_031740.rttm,359.58,7.75,23.27,300.35,4.59,59.23
BER_1618_041040_041160.rttm,238.72,25.23,52.41,207.76,7.81,30.95
BER_1618_043620_043740.rttm,0.00,0.00,0.00,,0.00,
BER_1618_047700_047820.rttm,0.00,0.00,0.00,,0.00,
BER_1618_050520_050640.rttm,0.00,0.00,0.00,,0.00,
BER_1618_051240_051360.rttm,0.00,0.00,0.00,,0.00,
BER_1618_053820_053940.rttm,0.00,0.00,0.00,,0.00,
BER_1844_002580_002700.rttm,100.00,0.00,7.84,,0.00,
BER_1844_009060_009180.rttm,0.00,0.00,0.00,,0.00,
BER_1844_010560_010680.rttm,0.00,0.00,0.00,,0.00,
BER_1844_012120_012240.rttm,100.00,0.00,4.82,,0.00,
BER_1844_013200_013320.rttm,10966.67,0.03,3.26,10866.67,0.03,100.00
BER_1844_013740_013860.rttm,783.83,1.79,12.71,711.25,1.30,72.58
BER_1844_018120_018240.rttm,130.45,10.36,5.41,52.25,8.10,78.20
BER_1844_018960_019080.rttm,525.22,1.70,7.57,443.99,1.39,81.23
BER_1844_020340_020460.rttm,431.59,3.45,13.71,397.39,1.18,34.20
BER_1844_028320_028440.rttm,100.00,0.00,0.85,,0.00,
BER_1844_029940_030060.rttm,361.93,2.37,6.20,261.93,2.37,100.00
BER_1844_030660_030780.rttm,100.00,0.61,0.00,0.00,0.61,100.00
BER_1844_031620_031740.rttm,88.15,17.92,2.33,12.99,13.47,75.16
BER_1844_034080_034200.rttm,300.90,11.94,29.56,247.71,6.35,53.20
BER_1844_041880_042000.rttm,197.02,15.89,21.95,138.17,9.35,58.85
BER_2927_012000_012120.rttm,751.85,7.10,49.05,691.15,4.31,60.70
BER_2927_013500_013620.rttm,243.12,17.92,34.34,191.71,9.21,51.41
BER_2927_014160_014280.rttm,204.15,13.46,17.62,130.95,9.85,73.21
BER_2927_019980_020100.rttm,0.00,0.00,0.00,,0.00,
BER_2927_023820_023940.rttm,129.40,13.52,5.65,41.80,11.85,87.60
BER_2927_025080_025200.rttm,527.13,3.15,14.90,473.25,1.70,53.88
BER_2927_026160_026280.rttm,210.56,18.39,30.85,167.82,7.86,42.74
BER_2927_026460_026580.rttm,213.62,16.65,23.89,143.51,11.67,70.11
BER_2927_027180_027300.rttm,245.26,11.44,20.74,181.42,7.30,63.84
BER_2927_030120_030240.rttm,376.23,7.82,25.11,320.88,4.33,55.34
BER_2927_037440_037560.rttm,1696.77,0.31,4.95,1596.77,0.31,100.00
BER_2927_044340_044460.rttm,555.73,1.07,4.89,455.73,1.07,100.00
BER_2927_053160_053280.rttm,0.00,0.00,0.00,,0.00,
BER_2927_054900_055020.rttm,0.00,0.00,0.00,,0.00,
BER_2927_056400_056520.rttm,0.00,0.00,0.00,,0.00,
BER_3749_004140_004260.rttm,111.28,28.61,13.11,45.84,18.72,65.44
BER_3749_004620_004740.rttm,350.57,9.58,26.35,275.21,7.22,75.36
BER_3749_005520_005640.rttm,175.59,19.34,22.96,118.69,11.01,56.90
BER_3749_007860_007980.rttm,100.00,0.00,4.23,,0.00,
BER_3749_009540_009660.rttm,100.00,0.00,8.24,,0.00,
BER_3749_009720_009840.rttm,0.00,0.00,0.00,,0.00,
BER_3749_011280_011400.rttm,0.00,0.00,0.00,,0.00,
