item,identification error rate %,total,correct,correct %,false alarm,false alarm %,missed detection,missed detection %,confusion,confusion %
BER_0396_005220_005340.rttm,42.67,27.04,19.13,70.73,3.62,13.40,7.26,26.86,0.65,2.41
BER_0396_008100_008220.rttm,85.47,36.25,8.73,24.09,3.47,9.56,25.95,71.58,1.57,4.33
BER_0396_008820_008940.rttm,51.98,12.57,7.19,57.18,1.15,9.15,5.38,42.82,0.00,0.00
BER_0396_010140_010260.rttm,70.93,36.66,14.21,38.77,3.56,9.70,11.06,30.18,11.38,31.05
BER_0396_011160_011280.rttm,28.04,24.31,20.75,85.34,3.25,13.38,3.57,14.66,0.00,0.00
BER_0396_012900_013020.rttm,188.99,14.77,2.39,16.21,15.54,105.21,10.72,72.61,1.65,11.18
BER_0396_013680_013800.rttm,273.72,11.89,1.35,11.34,22.01,185.06,9.73,81.80,0.81,6.85
BER_0396_014520_014640.rttm,99.95,23.74,18.03,75.96,18.02,75.91,3.83,16.15,1.87,7.89
BER_0396_021840_021960.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_0396_022920_023040.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_0396_024120_024240.rttm,69.09,18.55,11.10,59.85,5.37,28.94,4.97,26.77,2.48,13.38
BER_0396_024840_024960.rttm,69.22,42.55,15.39,36.16,2.29,5.38,21.17,49.76,5.99,14.08
BER_0396_033660_033780.rttm,41.10,48.78,34.75,71.25,6.02,12.35,9.19,18.84,4.83,9.91
BER_0396_037380_037500.rttm,65.06,54.54,21.56,39.53,2.50,4.58,32.24,59.11,0.74,1.36
BER_0396_040500_040620.rttm,108.79,15.54,0.78,5.03,2.15,13.83,14.63,94.13,0.13,0.84
BER_1196_002760_002880.rttm,68.69,17.32,7.98,46.08,2.56,14.77,8.72,50.34,0.62,3.59
BER_1196_007500_007620.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1196_011160_011280.rttm,100.52,48.27,0.00,0.00,0.25,0.52,43.74,90.61,4.53,9.39
BER_1196_013680_013800.rttm,73.18,31.82,15.26,47.94,6.72,21.13,13.99,43.95,2.58,8.10
BER_1196_014760_014880.rttm,61.62,66.05,30.68,46.45,5.33,8.07,32.80,49.65,2.57,3.90
BER_1196_015660_015780.rttm,91.94,32.82,7.42,22.61,4.78,14.55,23.97,73.03,1.43,4.36
BER_1196_016140_016260.rttm,63.54,77.35,34.39,44.46,6.19,8.00,40.52,52.39,2.44,3.15
BER_1196_021240_021360.rttm,80.61,43.95,9.90,22.53,1.38,3.13,30.63,69.69,3.42,7.79
BER_1196_022560_022680.rttm,71.03,64.46,29.16,45.24,10.49,16.27,34.61,53.70,0.69,1.06
BER_1196_023820_023940.rttm,85.77,35.93,9.02,25.12,3.91,10.89,21.97,61.15,4.94,13.74
BER_1196_024960_025080.rttm,91.60,28.32,11.52,40.68,9.14,32.27,15.87,56.03,0.93,3.29
BER_1196_032880_033000.rttm,134.28,10.32,0.14,1.35,3.68,35.63,4.96,48.06,5.22,50.59
BER_1196_033480_033600.rttm,102.49,28.98,7.45,25.72,8.18,28.21,12.73,43.91,8.80,30.37
BER_1196_034740_034860.rttm,79.67,28.44,17.83,62.68,12.05,42.35,8.57,30.12,2.05,7.19
BER_1196_039000_039120.rttm,90.84,31.01,2.87,9.25,0.03,0.10,28.14,90.75,0.00,0.00
BER_1618_003480_003600.rttm,66.61,43.28,18.44,42.60,3.99,9.21,23.03,53.20,1.81,4.19
BER_1618_007620_007740.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1618_009000_009120.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1618_013200_013320.rttm,100.00,0.00,0.00,,1.80,,0.00,,0.00,
BER_1618_017400_017520.rttm,65.09,65.64,28.70,43.73,5.79,8.82,30.33,46.20,6.61,10.07
BER_1618_023520_023640.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1618_023820_023940.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1618_024180_024300.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1618_031620_031740.rttm,63.09,79.07,32.55,41.17,3.37,4.26,39.52,49.99,6.99,8.84
BER_1618_041040_041160.rttm,83.70,120.42,21.40,17.77,1.78,1.47,96.48,80.12,2.54,2.11
BER_1618_043620_043740.rttm,100.00,0.00,0.00,,1.31,,0.00,,0.00,
BER_1618_047700_047820.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1618_050520_050640.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1618_051240_051360.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1618_053820_053940.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1844_002580_002700.rttm,98.52,44.47,0.66,1.48,0.00,0.00,43.81,98.52,0.00,0.00
BER_1844_009060_009180.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1844_010560_010680.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
BER_1844_012120_012240.rttm,100.03,11.06,0.00,0.00,0.00,0.03,7.68,69.39,3.39,30.61
BER_1844_013200_013320.rttm,72.72,41.88,14.55,34.75,3.13,7.47,21.27,50.79,6.06,14.46
BER_1844_013740_013860.rttm,68.28,49.10,20.15,41.05,4.58,9.32,18.45,37.59,10.49,21.37
BER_1844_018120_018240.rttm,84.66,70.70,11.82,16.72,0.98,1.38,50.50,71.42,8.38,11.86
BER_1844_018960_019080.rttm,126.28,22.95,3.76,16.39,9.79,42.66,18.42,80.26,0.77,3.36
BER_1844_020340_020460.rttm,84.46,26.14,4.07,15.59,0.01,0.05,17.73,67.80,4.34,16.61
BER_1844_028320_028440.rttm,107.49,19.79,2.23,11.27,3.71,18.76,13.45,67.97,4.11,20.76
