item,detection error rate %,total,false alarm,false alarm %,miss,miss %
BER_0396_005220_005340.rttm,42.86,23.80,3.10,13.03,7.10,29.83
BER_0396_008100_008220.rttm,97.03,20.56,3.56,17.32,16.39,79.72
BER_0396_008820_008940.rttm,100.00,0.30,0.00,0.00,0.30,100.00
BER_0396_010140_010260.rttm,71.03,35.00,2.64,7.54,22.22,63.49
BER_0396_011160_011280.rttm,0.00,0.00,0.00,,0.00,
BER_0396_012900_013020.rttm,100.00,10.14,0.00,0.00,10.14,100.00
BER_0396_013680_013800.rttm,126.57,3.99,1.06,26.57,3.99,100.00
BER_0396_014520_014640.rttm,90.10,5.76,4.15,72.05,1.04,18.06
BER_0396_021840_021960.rttm,0.00,0.00,0.00,,0.00,
BER_0396_022920_023040.rttm,0.00,0.00,0.00,,0.00,
BER_0396_024120_024240.rttm,25.98,2.81,0.11,3.91,0.62,22.06
BER_0396_024840_024960.rttm,80.41,21.18,4.14,19.55,12.89,60.86
BER_0396_033660_033780.rttm,79.40,11.94,2.86,23.95,6.62,55.44
BER_0396_037380_037500.rttm,65.19,10.83,1.00,9.23,6.06,55.96
BER_0396_040500_040620.rttm,122.45,5.79,1.68,29.02,5.41,93.44
BER_1196_002760_002880.rttm,0.00,0.00,0.00,,0.00,
BER_1196_007500_007620.rttm,0.00,0.00,0.00,,0.00,
BER_1196_011160_011280.rttm,0.00,0.00,0.00,,0.00,
BER_1196_013680_013800.rttm,62.02,17.30,5.46,31.56,5.27,30.46
BER_1196_014760_014880.rttm,59.36,56.57,2.61,4.61,30.97,54.75
BER_1196_015660_015780.rttm,94.98,22.70,0.48,2.11,21.08,92.86
BER_1196_016140_016260.rttm,61.50,72.54,5.18,7.14,39.43,54.36
BER_1196_021240_021360.rttm,96.72,10.38,0.80,7.71,9.24,89.02
BER_1196_022560_022680.rttm,69.16,9.21,1.13,12.27,5.24,56.89
BER_1196_023820_023940.rttm,101.81,9.41,0.60,6.38,8.98,95.43
BER_1196_024960_025080.rttm,98.32,10.69,0.43,4.02,10.08,94.29
BER_1196_032880_033000.rttm,100.00,0.00,3.77,,0.00,
BER_1196_033480_033600.rttm,86.25,5.38,0.32,5.95,4.32,80.30
BER_1196_034740_034860.rttm,100.00,0.00,1.85,,0.00,
BER_1196_039000_039120.rttm,100.00,6.27,0.00,0.00,6.27,100.00
BER_1618_003480_003600.rttm,44.75,17.99,3.03,16.84,5.02,27.90
BER_1618_007620_007740.rttm,0.00,0.00,0.00,,0.00,
BER_1618_009000_009120.rttm,0.00,0.00,0.00,,0.00,
BER_1618_013200_013320.rttm,100.00,0.00,1.00,,0.00,
BER_1618_017400_017520.rttm,76.41,21.79,2.93,13.45,13.72,62.96
BER_1618_023520_023640.rttm,0.00,0.00,0.00,,0.00,
BER_1618_023820_023940.rttm,0.00,0.00,0.00,,0.00,
BER_1618_024180_024300.rttm,0.00,0.00,0.00,,0.00,
BER_1618_031620_031740.rttm,50.73,40.29,2.72,6.75,17.72,43.98
BER_1618_041040_041160.rttm,90.51,44.80,1.66,3.71,38.89,86.81
BER_1618_043620_043740.rttm,0.00,0.00,0.00,,0.00,
BER_1618_047700_047820.rttm,0.00,0.00,0.00,,0.00,
BER_1618_050520_050640.rttm,0.00,0.00,0.00,,0.00,
BER_1618_051240_051360.rttm,0.00,0.00,0.00,,0.00,
BER_1618_053820_053940.rttm,0.00,0.00,0.00,,0.00,
BER_1844_002580_002700.rttm,100.00,42.17,0.00,0.00,42.17,100.00
BER_1844_009060_009180.rttm,0.00,0.00,0.00,,0.00,
BER_1844_010560_010680.rttm,0.00,0.00,0.00,,0.00,
BER_1844_012120_012240.rttm,0.00,0.00,0.00,,0.00,
BER_1844_013200_013320.rttm,207.75,5.42,5.84,107.75,5.42,100.00
BER_1844_013740_013860.rttm,169.20,6.46,4.47,69.20,6.46,100.00
BER_1844_018120_018240.rttm,91.57,22.31,0.00,0.00,20.43,91.57
BER_1844_018960_019080.rttm,70.09,12.57,0.00,0.00,8.81,70.09
BER_1844_020340_020460.rttm,100.00,11.59,0.00,0.00,11.59,100.00
BER_1844_028320_028440.rttm,90.49,14.19,0.88,6.20,11.96,84.28
BER_1844_029940_030060.rttm,128.14,8.21,3.86,47.02,6.66,81.12
BER_1844_030660_030780.rttm,100.00,5.39,0.00,0.00,5.39,100.00
BER_1844_031620_031740.rttm,112.27,29.25,3.59,12.27,29.25,100.00
BER_1844_034080_034200.rttm,71.05,43.18,1.39,3.22,29.29,67.83
BER_1844_041880_042000.rttm,80.61,52.19,1.75,3.35,40.32,77.26
BER_2927_012000_012120.rttm,70.73,29.11,4.17,14.32,16.42,56.41
BER_2927_013500_013620.rttm,103.73,22.79,5.23,22.95,18.41,80.78
BER_2927_014160_014280.rttm,66.13,72.90,8.46,11.60,39.75,54.53
BER_2927_019980_020100.rttm,0.00,0.00,0.00,,0.00,
BER_2927_023820_023940.rttm,61.14,80.26,3.23,4.02,45.84,57.11
BER_2927_025080_025200.rttm,74.07,30.58,7.94,25.96,14.71,48.10
BER_2927_026160_026280.rttm,55.86,65.97,4.33,6.56,32.52,49.30
BER_2927_026460_026580.rttm,66.93,56.10,13.03,23.23,24.52,43.71
BER_2927_027180_027300.rttm,89.59,52.06,5.80,11.14,40.84,78.45
BER_2927_030120_030240.rttm,61.70,53.39,2.99,5.60,29.95,56.10
BER_2927_037440_037560.rttm,97.79,14.94,0.70,4.69,13.91,93.11
BER_2927_044340_044460.rttm,78.65,24.21,0.82,3.39,18.22,75.26
BER_2927_053160_053280.rttm,0.00,0.00,0.00,,0.00,
BER_2927_054900_055020.rttm,0.00,0.00,0.00,,0.00,
BER_2927_056400_056520.rttm,0.00,0.00,0.00,,0.00,
BER_3749_004140_004260.rttm,53.14,50.92,3.09,6.07,23.97,47.07
BER_3749_004620_004740.rttm,89.98,38.61,3.65,9.45,31.09,80.52
BER_3749_005520_005640.rttm,96.69,37.45,1.49,3.98,34.72,92.71
BER_3749_007860_007980.rttm,100.00,9.57,0.00,0.00,9.57,100.00
BER_3749_009540_009660.rttm,0.00,0.00,0.00,,0.00,
BER_3749_009720_009840.rttm,0.00,0.00,0.00,,0.00,
BER_3749_011280_011400.rttm,0.00,0.00,0.00,,0.00,
BER_3749_011640_011760.rttm,0.00,0.00,0.00,,0.00,
BER_3749_017640_017760.rttm,72.47,43.45,4.49,10.33,27.00,62.14
BER_3749_019920_020040.rttm,141.05,13.74,7.10,51.67,12.28,89.37
BER_3749_021240_021360.rttm,0.00,0.00,0.00,,0.00,
BER_3749_026400_026520.rttm,100.00,13.30,0.00,0.00,13.30,100.00
BER_3749_028920_029040.rttm,100.00,0.00,0.83,,0.00,
BER_3749_034680_034800.rttm,86.19,25.49,0.00,0.00,21.97,86.19
BER_3749_043560_043680.rttm,35.61,50.57,4.20,8.31,13.81,27.31
BER_3895_003780_003900.rttm,0.00,0.00,0.00,,0.00,
BER_3895_006120_006240.rttm,0.00,0.00,0.00,,0.00,
BER_3895_009300_009420.rttm,59.41,16.04,2.01,12.53,7.52,46.88
BER_3895_012180_012300.rttm,72.90,97.91,3.35,3.42,68.03,69.48
BER_3895_013020_013140.rttm,76.95,71.84,3.96,5.51,51.32,71.44
BER_3895_013440_013560.rttm,95.58,45.45,0.00,0.00,43.44,95.58
BER_3895_014940_015060.rttm,67.19,89.12,7.12,7.99,52.76,59.20
BER_3895_021660_021780.rttm,357.41,8.64,25.48,294.91,5.40,62.50
BER_3895_027120_027240.rttm,768.97,0.87,5.82,668.97,0.87,100.00
BER_3895_030120_030240.rttm,0.00,0.00,0.00,,0.00,
BER_3895_030480_030600.rttm,100.00,0.00,4.79,,0.00,
BER_3895_033060_033180.rttm,100.00,0.00,0.62,,0.00,
BER_3895_037560_037680.rttm,0.00,0.00,0.00,,0.00,
BER_3895_043560_043680.rttm,44.21,47.00,11.03,23.47,9.75,20.74
BER_3895_047220_047340.rttm,100.00,0.00,21.04,,0.00,
BER_5750_004860_004980.rttm,59.93,33.82,1.52,4.49,18.75,55.44
BER_5750_006420_006540.rttm,71.63,62.46,0.79,1.26,43.95,70.37
BER_5750_008100_008220.rttm,91.25,109.33,0.00,0.00,99.76,91.25
BER_5750_010560_010680.rttm,76.63,86.60,1.09,1.26,65.27,75.37
BER_5750_022500_022620.rttm,0.00,0.00,0.00,,0.00,
BER_5750_027060_027180.rttm,93.25,23.57,1.83,7.76,20.15,85.49
BER_5750_029340_029460.rttm,77.58,9.99,4.23,42.34,3.52,35.24
BER_5750_029760_029880.rttm,173.01,7.93,6.95,87.64,6.77,85.37
BER_5750_030120_030240.rttm,88.94,15.73,3.02,19.20,10.97,69.74
BER_5750_030420_030540.rttm,150.31,4.91,3.35,68.23,4.03,82.08
BER_5750_034560_034680.rttm,0.00,0.00,0.00,,0.00,
BER_5750_038520_038640.rttm,0.00,0.00,0.00,,0.00,
BER_5750_039300_039420.rttm,0.00,0.00,0.00,,0.00,
BER_5750_039840_039960.rttm,0.00,0.00,0.00,,0.00,
BER_5750_040800_040920.rttm,0.00,0.00,0.00,,0.00,
BER_6035_008160_008280.rttm,96.52,28.71,0.00,0.00,27.71,96.52
BER_6035_010680_010800.rttm,87.34,43.30,4.17,9.63,33.65,77.71
BER_6035_013920_014040.rttm,80.74,81.08,5.74,7.08,59.72,73.66
BER_6035_018600_018720.rttm,0.00,0.00,0.00,,0.00,
BER_6035_019380_019500.rttm,0.00,0.00,0.00,,0.00,
BER_6035_021240_021360.rttm,0.00,0.00,0.00,,0.00,
BER_6035_022140_022260.rttm,0.00,0.00,0.00,,0.00,
BER_6035_026940_027060.rttm,74.57,46.76,1.79,3.83,33.08,70.74
BER_6035_027780_027900.rttm,69.67,45.04,3.22,7.15,28.16,62.52
BER_6035_030300_030420.rttm,63.46,30.79,3.70,12.02,15.84,51.45
BER_6035_030840_030960.rttm,98.30,55.31,0.03,0.05,54.34,98.25
BER_6035_037980_038100.rttm,0.00,0.00,0.00,,0.00,
BER_6035_041460_041580.rttm,0.00,0.00,0.00,,0.00,
BER_6035_045540_045660.rttm,0.00,0.00,0.00,,0.00,
BER_6035_049440_049560.rttm,0.00,0.00,0.00,,0.00,
BER_7758_003780_003900.rttm,64.71,3.40,0.41,12.06,1.79,52.65
BER_7758_004740_004860.rttm,54.09,30.21,4.42,14.63,11.92,39.46
BER_7758_010440_010560.rttm,0.00,0.00,0.00,,0.00,
BER_7758_010740_010860.rttm,82.77,14.22,0.29,2.04,11.48,80.73
BER_7758_012180_012300.rttm,97.99,14.42,0.42,2.91,13.71,95.08
BER_7758_019140_019260.rttm,56.33,68.15,5.83,8.55,32.56,47.78
BER_7758_021540_021660.rttm,0.00,0.00,0.00,,0.00,
BER_7758_026700_026820.rttm,0.00,0.00,0.00,,0.00,
BER_7758_027600_027720.rttm,0.00,0.00,0.00,,0.00,
BER_7758_027960_028080.rttm,0.00,0.00,0.00,,0.00,
BER_7758_029940_030060.rttm,100.00,0.00,4.40,,0.00,
BER_7758_031380_031500.rttm,0.00,0.00,0.00,,0.00,
BER_7758_032520_032640.rttm,0.00,0.00,0.00,,0.00,
BER_7758_034260_034380.rttm,0.00,0.00,0.00,,0.00,
BER_7758_038460_038580.rttm,81.19,20.20,1.52,7.52,14.88,73.66
C01_20170706_002040_002100.rttm,83.81,12.97,1.63,12.57,9.24,71.24
C01_20170706_005640_005700.rttm,61.72,2.09,0.10,4.78,1.19,56.94
