item,detection error rate %,total,false alarm,false alarm %,miss,miss %
BER_0396_005220_005340.rttm,0.00,0.00,0.00,,0.00,
BER_0396_008100_008220.rttm,100.00,0.00,0.80,,0.00,
BER_0396_008820_008940.rttm,0.00,0.00,0.00,,0.00,
BER_0396_010140_010260.rttm,0.00,0.00,0.00,,0.00,
BER_0396_011160_011280.rttm,0.00,0.00,0.00,,0.00,
BER_0396_012900_013020.rttm,100.00,0.00,0.60,,0.00,
BER_0396_013680_013800.rttm,0.00,0.00,0.00,,0.00,
BER_0396_014520_014640.rttm,100.00,0.00,1.68,,0.00,
BER_0396_021840_021960.rttm,0.00,0.00,0.00,,0.00,
BER_0396_022920_023040.rttm,0.00,0.00,0.00,,0.00,
BER_0396_024120_024240.rttm,100.00,0.00,2.92,,0.00,
BER_0396_024840_024960.rttm,0.00,0.00,0.00,,0.00,
BER_0396_033660_033780.rttm,100.00,0.00,4.31,,0.00,
BER_0396_037380_037500.rttm,100.00,3.30,0.00,0.00,3.30,100.00
BER_0396_040500_040620.rttm,0.00,0.00,0.00,,0.00,
BER_1196_002760_002880.rttm,66.64,5.20,0.55,10.61,2.92,56.03
BER_1196_007500_007620.rttm,0.00,0.00,0.00,,0.00,
BER_1196_011160_011280.rttm,100.00,0.00,4.78,,0.00,
BER_1196_013680_013800.rttm,97.11,8.23,2.51,30.50,5.48,66.61
BER_1196_014760_014880.rttm,175.83,1.06,0.80,75.83,1.06,100.00
BER_1196_015660_015780.rttm,225.64,2.55,5.54,217.51,0.21,8.13
BER_1196_016140_016260.rttm,100.00,0.00,3.33,,0.00,
BER_1196_021240_021360.rttm,91.84,23.26,2.50,10.75,18.86,81.09
BER_1196_022560_022680.rttm,76.11,41.64,7.40,17.77,24.29,58.34
BER_1196_023820_023940.rttm,123.12,13.92,6.88,49.45,10.25,73.66
BER_1196_024960_025080.rttm,254.25,3.03,4.68,154.25,3.03,100.00
BER_1196_032880_033000.rttm,627.89,0.77,4.07,527.89,0.77,100.00
BER_1196_033480_033600.rttm,1269.21,1.31,15.34,1169.21,1.31,100.00
BER_1196_034740_034860.rttm,107.98,7.57,4.12,54.38,4.06,53.60
BER_1196_039000_039120.rttm,87.72,23.13,0.03,0.13,20.26,87.59
BER_1618_003480_003600.rttm,81.53,21.45,1.15,5.38,16.34,76.15
BER_1618_007620_007740.rttm,0.00,0.00,0.00,,0.00,
BER_1618_009000_009120.rttm,0.00,0.00,0.00,,0.00,
BER_1618_013200_013320.rttm,100.00,0.00,0.80,,0.00,
BER_1618_017400_017520.rttm,104.39,18.35,6.55,35.69,12.61,68.70
BER_1618_023520_023640.rttm,0.00,0.00,0.00,,0.00,
BER_1618_023820_023940.rttm,0.00,0.00,0.00,,0.00,
BER_1618_024180_024300.rttm,0.00,0.00,0.00,,0.00,
BER_1618_031620_031740.rttm,119.78,16.54,4.08,24.67,15.73,95.10
BER_1618_041040_041160.rttm,87.03,14.66,2.23,15.23,10.53,71.80
BER_1618_043620_043740.rttm,100.00,0.00,1.31,,0.00,
BER_1618_047700_047820.rttm,0.00,0.00,0.00,,0.00,
BER_1618_050520_050640.rttm,0.00,0.00,0.00,,0.00,
BER_1618_051240_051360.rttm,0.00,0.00,0.00,,0.00,
BER_1618_053820_053940.rttm,0.00,0.00,0.00,,0.00,
BER_1844_002580_002700.rttm,0.00,0.00,0.00,,0.00,
BER_1844_009060_009180.rttm,0.00,0.00,0.00,,0.00,
BER_1844_010560_010680.rttm,0.00,0.00,0.00,,0.00,
BER_1844_012120_012240.rttm,100.00,0.00,3.39,,0.00,
BER_1844_013200_013320.rttm,100.00,0.00,0.86,,0.00,
BER_1844_013740_013860.rttm,100.00,0.00,4.84,,0.00,
BER_1844_018120_018240.rttm,100.00,0.00,7.60,,0.00,
BER_1844_018960_019080.rttm,100.00,0.00,10.56,,0.00,
BER_1844_020340_020460.rttm,100.00,0.00,4.35,,0.00,
BER_1844_028320_028440.rttm,100.00,0.00,3.60,,0.00,
BER_1844_029940_030060.rttm,100.00,0.00,6.94,,0.00,
BER_1844_030660_030780.rttm,0.00,0.00,0.00,,0.00,
BER_1844_031620_031740.rttm,100.00,0.00,10.30,,0.00,
BER_1844_034080_034200.rttm,100.00,0.00,4.04,,0.00,
BER_1844_041880_042000.rttm,100.00,0.00,7.31,,0.00,
BER_2927_012000_012120.rttm,81.88,7.12,0.67,9.41,5.16,72.46
BER_2927_013500_013620.rttm,96.07,59.56,5.52,9.27,51.70,86.80
BER_2927_014160_014280.rttm,109.30,8.60,0.80,9.30,8.60,100.00
BER_2927_019980_020100.rttm,0.00,0.00,0.00,,0.00,
BER_2927_023820_023940.rttm,101.04,8.67,0.45,5.19,8.31,95.85
BER_2927_025080_025200.rttm,431.40,1.20,3.99,331.40,1.20,100.00
BER_2927_026160_026280.rttm,112.77,20.61,6.88,33.39,16.36,79.38
BER_2927_026460_026580.rttm,106.96,20.65,1.78,8.64,20.30,98.32
BER_2927_027180_027300.rttm,104.60,16.14,4.24,26.27,12.64,78.33
BER_2927_030120_030240.rttm,73.87,21.82,2.31,10.60,13.80,63.26
BER_2927_037440_037560.rttm,0.00,0.00,0.00,,0.00,
BER_2927_044340_044460.rttm,100.00,0.00,4.22,,0.00,
BER_2927_053160_053280.rttm,0.00,0.00,0.00,,0.00,
BER_2927_054900_055020.rttm,0.00,0.00,0.00,,0.00,
BER_2927_056400_056520.rttm,0.00,0.00,0.00,,0.00,
BER_3749_004140_004260.rttm,0.00,0.00,0.00,,0.00,
BER_3749_004620_004740.rttm,0.00,0.00,0.00,,0.00,
BER_3749_005520_005640.rttm,0.00,0.00,0.00,,0.00,
BER_3749_007860_007980.rttm,0.00,0.00,0.00,,0.00,
BER_3749_009540_009660.rttm,0.00,0.00,0.00,,0.00,
BER_3749_009720_009840.rttm,0.00,0.00,0.00,,0.00,
BER_3749_011280_011400.rttm,0.00,0.00,0.00,,0.00,
BER_3749_011640_011760.rttm,0.00,0.00,0.00,,0.00,
BER_3749_017640_017760.rttm,0.00,0.00,0.00,,0.00,
BER_3749_019920_020040.rttm,0.00,0.00,0.00,,0.00,
BER_3749_021240_021360.rttm,0.00,0.00,0.00,,0.00,
BER_3749_026400_026520.rttm,0.00,0.00,0.00,,0.00,
BER_3749_028920_029040.rttm,123.72,2.53,0.60,23.72,2.53,100.00
BER_3749_034680_034800.rttm,100.00,0.00,2.89,,0.00,
BER_3749_043560_043680.rttm,100.00,0.00,5.71,,0.00,
BER_3895_003780_003900.rttm,0.00,0.00,0.00,,0.00,
BER_3895_006120_006240.rttm,0.00,0.00,0.00,,0.00,
BER_3895_009300_009420.rttm,100.00,2.40,0.00,0.00,2.40,100.00
BER_3895_012180_012300.rttm,288.66,8.89,18.75,210.87,6.92,77.80
BER_3895_013020_013140.rttm,122.02,31.01,15.19,48.96,22.66,73.06
BER_3895_013440_013560.rttm,100.00,0.00,4.35,,0.00,
