item,detection precision %,retrieved,relevant retrieved
BER_0396_005220_005340.rttm,84.62,23.40,19.80
BER_0396_008100_008220.rttm,74.80,13.77,10.30
BER_0396_008820_008940.rttm,86.21,8.34,7.19
BER_0396_010140_010260.rttm,87.82,29.15,25.60
BER_0396_011160_011280.rttm,86.42,24.00,20.74
BER_0396_012900_013020.rttm,20.68,19.58,4.05
BER_0396_013680_013800.rttm,8.94,24.17,2.16
BER_0396_014520_014640.rttm,52.47,37.93,19.90
BER_0396_021840_021960.rttm,100.00,0.00,0.00
BER_0396_022920_023040.rttm,100.00,0.00,0.00
BER_0396_024120_024240.rttm,71.66,18.95,13.58
BER_0396_024840_024960.rttm,90.41,23.67,21.40
BER_0396_033660_033780.rttm,86.80,45.61,39.59
BER_0396_037380_037500.rttm,89.96,24.80,22.31
BER_0396_040500_040620.rttm,29.74,3.06,0.91
BER_1196_002760_002880.rttm,77.06,11.16,8.60
BER_1196_007500_007620.rttm,100.00,0.00,0.00
BER_1196_011160_011280.rttm,94.77,4.78,4.53
BER_1196_013680_013800.rttm,72.60,24.56,17.83
BER_1196_014760_014880.rttm,86.19,38.59,33.26
BER_1196_015660_015780.rttm,64.93,13.63,8.85
BER_1196_016140_016260.rttm,85.59,43.02,36.82
BER_1196_021240_021360.rttm,90.61,14.70,13.32
BER_1196_022560_022680.rttm,73.94,40.33,29.82
BER_1196_023820_023940.rttm,78.06,17.87,13.95
BER_1196_024960_025080.rttm,57.57,21.59,12.43
BER_1196_032880_033000.rttm,59.29,9.04,5.36
BER_1196_033480_033600.rttm,66.52,24.43,16.25
BER_1196_034740_034860.rttm,62.22,31.92,19.86
BER_1196_039000_039120.rttm,99.31,2.90,2.88
BER_1618_003480_003600.rttm,83.54,24.24,20.25
BER_1618_007620_007740.rttm,100.00,0.00,0.00
BER_1618_009000_009120.rttm,100.00,0.00,0.00
BER_1618_013200_013320.rttm,0.00,1.80,0.00
BER_1618_017400_017520.rttm,85.89,41.10,35.30
BER_1618_023520_023640.rttm,100.00,0.00,0.00
BER_1618_023820_023940.rttm,100.00,0.00,0.00
BER_1618_024180_024300.rttm,100.00,0.00,0.00
BER_1618_031620_031740.rttm,92.12,42.91,39.53
BER_1618_041040_041160.rttm,93.12,25.72,23.95
BER_1618_043620_043740.rttm,0.00,1.31,0.00
BER_1618_047700_047820.rttm,100.00,0.00,0.00
BER_1618_050520_050640.rttm,100.00,0.00,0.00
BER_1618_051240_051360.rttm,100.00,0.00,0.00
BER_1618_053820_053940.rttm,100.00,0.00,0.00
BER_1844_002580_002700.rttm,100.00,0.66,0.66
BER_1844_009060_009180.rttm,100.00,0.00,0.00
BER_1844_010560_010680.rttm,100.00,0.00,0.00
BER_1844_012120_012240.rttm,100.00,3.39,3.39
BER_1844_013200_013320.rttm,86.82,23.74,20.61
