child_id gold_CH_cum_dur gold_CH_count gold_CV_cum_dur gold_CV_count gold_short_CV_count gold_CNV_cum_dur gold_CNV_count gold_short_CNV_count gold_CTC_count lena_CH_cum_dur lena_CH_count lena_CV_cum_dur lena_CV_count lena_short_CV_count lena_CNV_cum_dur lena_CNV_count lena_short_CNV_count lena_CTC_count gold_CH_mean gold_CV_mean gold_CNV_mean lena_CH_mean lena_CV_mean lena_CNV_mean
BER_0396 172.2 163 147.02 149 64 25.211 14 3 64 131.14 102 54.04 59 22 64.57 53 4 15 1.057 0.987 1.801 1.286 0.916 1.218
BER_1196 192.9 207 189.98 206 79 2.942 1 0 31 96.25 93 43.32 54 19 35.32 46 17 7 0.932 0.922 2.942 1.035 0.802 0.768
BER_1618 64.2 69 52.27 62 24 11.889 7 0 45 31.02 30 6.63 9 3 21.53 22 7 5 0.930 0.843 1.698 1.034 0.737 0.979
BER_1844 134.1 71 76.79 56 6 57.291 15 2 49 22.39 26 10.85 14 3 9.09 12 2 3 1.888 1.371 3.819 0.861 0.775 0.757
BER_2927 122.3 121 102.02 103 39 20.264 18 3 116 74.03 81 45.84 58 19 16.29 30 12 23 1.011 0.990 1.126 0.914 0.790 0.543
BER_3749 193.5 106 125.13 90 16 68.370 16 0 106 85.09 63 47.60 45 10 38.31 20 1 13 1.825 1.390 4.273 1.351 1.058 1.916
BER_3895 183.3 166 100.62 129 62 82.661 37 6 76 160.28 121 46.49 70 32 93.65 61 12 22 1.104 0.780 2.234 1.325 0.664 1.535
BER_5750 240.2 159 142.30 122 33 97.866 37 2 92 119.58 85 19.94 31 10 91.54 59 8 12 1.510 1.166 2.645 1.407 0.643 1.552
BER_6035 100.5 95 86.66 89 26 13.880 6 0 116 50.70 56 29.73 45 17 16.43 13 2 20 1.058 0.974 2.313 0.905 0.661 1.264
BER_7758 79.8 108 67.47 99 59 12.316 9 1 51 48.74 50 23.85 43 32 14.43 15 3 7 0.739 0.682 1.368 0.975 0.555 0.962
C01_20170706 27.8 46 16.49 26 15 8.800 15 10 7 21.74 21 1.58 4 3 16.77 18 1 2 0.605 0.634 0.587 1.035 0.395 0.932
C01_20170718 53.3 89 38.82 63 36 4.770 7 3 10 26.83 32 13.24 22 14 8.13 16 4 5 0.599 0.616 0.681 0.838 0.602 0.508
C04_20170707 90.5 151 77.95 129 84 7.450 13 10 10 67.59 62 46.68 63 30 6.48 6 1 12 0.600 0.604 0.573 1.090 0.741 1.080
C09_20170708 37.1 60 23.69 36 18 7.610 14 11 7 26.54 24 12.12 20 13 7.13 7 0 4 0.619 0.658 0.544 1.106 0.606 1.019
C10_20170709 127.2 225 74.25 128 96 40.840 75 65 3 102.36 78 39.81 51 19 51.18 35 4 13 0.565 0.580 0.545 1.312 0.781 1.462
C11_20170709 98.0 170 65.96 111 75 15.490 29 25 5 63.40 62 29.48 42 20 31.35 28 3 18 0.577 0.594 0.534 1.023 0.702 1.120
