filename gold_CV_cum_dur gold_CV_mean gold_CV_count gold_short_CV_count gold_CNV_cum_dur gold_CNV_mean gold_CNV_count gold_short_CNV_count gold_CH_cum_dur gold_CH_mean gold_CH_count gold_CTC_count gold_CTC_count_all lena_CH_count lena_CV_count lena_CNV_count lena_short_CV_count lena_short_CNV_count lena_CH_mean lena_CV_mean lena_CNV_mean lena_CH_cum_dur lena_CV_cum_dur lena_CNV_cum_dur lena_CTC_count child_id
BER_0396_005220_005340 3.256 0.543 6 4 0.000 0.000 0 0 3.256 0.543 6 9 9 4 2 2 2 0 0.900 0.455 1.000 3.60 0.91 2.00 1 BER_0396
BER_0396_008100_008220 15.696 0.785 20 10 0.000 0.000 0 0 15.696 0.785 20 13 13 5 5 0 0 0 1.168 1.168 0.000 5.84 5.84 0.00 1 BER_0396
BER_0396_008820_008940 7.557 0.687 11 7 4.711 2.356 2 0 12.268 0.944 13 2 2 8 4 4 1 1 1.042 1.317 0.655 8.34 5.27 2.62 0 BER_0396
BER_0396_010140_010260 1.670 1.670 1 0 0.000 0.000 0 0 1.670 1.670 1 1 1 1 1 0 0 0 1.440 1.440 0.000 1.44 1.44 0.00 1 BER_0396
BER_0396_011160_011280 24.313 1.520 16 5 0.000 0.000 0 0 24.313 1.520 16 0 0 15 7 10 3 0 1.680 1.264 1.268 25.20 8.85 12.68 0 BER_0396
BER_0396_012900_013020 4.634 1.159 4 0 0.000 0.000 0 0 4.634 1.159 4 0 0 3 3 0 0 0 0.830 0.830 0.000 2.49 2.49 0.00 2 BER_0396
BER_0396_013680_013800 7.906 1.129 7 3 0.000 0.000 0 0 7.906 1.129 7 0 0 2 1 1 0 0 1.615 2.220 1.010 3.23 2.22 1.01 1 BER_0396
BER_0396_014520_014640 4.830 0.805 6 3 13.152 1.461 9 3 17.982 1.199 15 1 0 13 2 12 0 1 1.265 0.805 1.171 16.44 1.61 14.05 0 BER_0396
BER_0396_021840_021960 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_0396
BER_0396_022920_023040 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_0396
BER_0396_024120_024240 15.743 0.875 18 10 0.000 0.000 0 0 15.743 0.875 18 1 1 13 13 4 5 1 1.284 0.800 0.555 16.69 10.40 2.22 1 BER_0396
BER_0396_024840_024960 21.372 1.018 21 6 0.000 0.000 0 0 21.372 1.018 21 9 9 10 10 2 6 0 0.821 0.591 0.720 8.21 5.91 1.44 4 BER_0396
BER_0396_033660_033780 29.476 1.282 23 4 7.348 2.449 3 0 36.824 1.416 26 15 19 24 9 15 4 1 1.428 0.781 1.721 34.27 7.03 25.82 3 BER_0396
BER_0396_037380_037500 9.303 0.775 12 8 0.000 0.000 0 0 9.303 0.775 12 12 12 4 2 3 1 0 1.347 1.035 0.910 5.39 2.07 2.73 1 BER_0396
BER_0396_040500_040620 1.268 0.317 4 4 0.000 0.000 0 0 1.268 0.317 4 1 1 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_0396
BER_1196_002760_002880 12.117 1.212 10 0 0.000 0.000 0 0 12.117 1.212 10 0 0 6 3 3 1 1 1.007 1.040 0.973 6.04 3.12 2.92 0 BER_1196
BER_1196_007500_007620 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1196
BER_1196_011160_011280 48.267 1.305 37 8 0.000 0.000 0 0 48.267 1.305 37 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1196
BER_1196_013680_013800 6.285 0.786 8 3 0.000 0.000 0 0 6.285 0.786 8 1 1 1 0 1 0 1 0.800 0.000 0.570 0.80 0.00 0.57 0 BER_1196
BER_1196_014760_014880 8.446 0.603 14 9 0.000 0.000 0 0 8.446 0.603 14 9 9 11 8 5 5 3 0.745 0.451 0.422 8.20 3.61 2.11 3 BER_1196
BER_1196_015660_015780 7.572 1.082 7 1 0.000 0.000 0 0 7.572 1.082 7 2 2 4 4 0 1 0 0.912 0.778 0.000 3.65 3.11 0.00 1 BER_1196
BER_1196_016140_016260 4.820 0.803 6 2 0.000 0.000 0 0 4.820 0.803 6 4 4 2 2 0 0 0 0.700 0.700 0.000 1.40 1.40 0.00 1 BER_1196
BER_1196_021240_021360 10.309 1.473 7 0 0.000 0.000 0 0 10.309 1.473 7 1 1 7 4 3 0 1 0.993 1.103 0.817 6.95 4.41 2.45 1 BER_1196
BER_1196_022560_022680 13.610 0.592 23 16 0.000 0.000 0 0 13.610 0.592 23 2 2 10 3 7 0 4 1.048 1.300 0.823 10.48 3.90 5.76 0 BER_1196
BER_1196_023820_023940 12.587 1.049 12 3 0.000 0.000 0 0 12.587 1.049 12 3 3 9 2 6 2 2 0.857 0.540 0.700 7.71 1.08 4.20 0 BER_1196
BER_1196_024960_025080 14.593 0.811 18 9 0.000 0.000 0 0 14.593 0.811 18 1 1 10 7 5 1 2 1.587 0.939 1.314 15.87 6.57 6.57 0 BER_1196
BER_1196_032880_033000 9.553 0.682 14 8 0.000 0.000 0 0 9.553 0.682 14 0 0 2 0 2 0 1 0.600 0.000 0.255 1.20 0.00 0.51 0 BER_1196
BER_1196_033480_033600 19.341 0.806 24 11 2.942 2.942 1 0 22.283 0.891 25 7 7 6 3 4 1 1 1.393 1.453 0.768 8.36 4.36 3.07 0 BER_1196
BER_1196_034740_034860 20.870 0.835 25 9 0.000 0.000 0 0 20.870 0.835 25 0 0 25 18 10 8 1 1.024 0.653 0.716 25.59 11.76 7.16 1 BER_1196
BER_1196_039000_039120 1.612 1.612 1 0 0.000 0.000 0 0 1.612 1.612 1 1 1 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1196
BER_1618_003480_003600 3.827 0.478 8 6 0.000 0.000 0 0 3.827 0.478 8 4 4 3 3 0 2 0 0.657 0.657 0.000 1.97 1.97 0.00 2 BER_1618
BER_1618_007620_007740 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1618
BER_1618_009000_009120 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1618
BER_1618_013200_013320 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1618
BER_1618_017400_017520 13.616 0.756 18 10 11.889 1.698 7 0 25.505 1.020 25 1 3 14 3 12 0 4 1.315 0.870 1.168 18.41 2.61 14.02 1 BER_1618
BER_1618_023520_023640 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1618
BER_1618_023820_023940 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1618
BER_1618_024180_024300 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1618
BER_1618_031620_031740 8.287 0.753 11 4 0.000 0.000 0 0 8.287 0.753 11 7 7 6 2 4 0 1 0.933 0.725 0.768 5.60 1.45 3.07 1 BER_1618
BER_1618_041040_041160 26.542 1.062 25 4 0.000 0.000 0 0 26.542 1.062 25 33 0 7 1 6 1 2 0.720 0.600 0.740 5.04 0.60 4.44 1 BER_1618
BER_1618_043620_043740 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1618
BER_1618_047700_047820 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1618
BER_1618_050520_050640 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1618
BER_1618_051240_051360 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1618
