"child_id" "age_mo_round" "CV_cum_dur" "CV_mean" "CV_count" "CNV_cum_dur" "CNV_mean" "CNV_count" "CTC_count"
"0396" 15 53.21 0.537474747474747 48 64.22 0.648686868686869 51 52
"1130" 9 73.71 0.511875 66 144.01 1.00006944444444 77 56
"1156" 25 160.72 0.939883040935673 142 30.67 0.179356725146199 29 51
"1196" 9 42.62 0.489885057471264 44 34.37 0.395057471264368 43 16
"1499" 32 98.33 0.642679738562091 111 31.8 0.207843137254902 42 14
"1618" 7 6.63 0.228620689655172 9 20.93 0.721724137931035 20 18
"1735" 21 74.25 0.61875 89 21.87 0.18225 31 57
"1768" 21 81.74 0.614586466165414 98 37.86 0.284661654135338 33 77
"1844" 10 10.85 0.434 14 8.49 0.3396 11 10
"2535" 3 17.67 0.299491525423729 28 38.62 0.654576271186441 31 51
"2745" 18 42.49 0.472111111111111 47 28.87 0.320777777777778 43 39
"2927" 13 45.56 0.599473684210526 53 14.08 0.185263157894737 24 58
"3090" 3 92.01 0.707769230769231 101 45.95 0.353461538461538 29 51
"3486" 31 92.3 0.904901960784314 84 20.36 0.199607843137255 18 17
"3528" 6 14.49 0.254210526315789 18 53.64 0.941052631578947 39 3
"3542" 2 43.79 0.540617283950617 49 54.59 0.673950617283951 32 46
"3634" 14 17.89 0.596333333333333 27 1.9 0.0633333333333333 3 6
"3749" 14 47.32 0.763225806451613 42 38.31 0.617903225806452 20 25
"3895" 8 44.28 0.41 57 90.5 0.837962962962963 50 51
"4483" 5 32.72 0.414177215189873 39 38.65 0.489240506329114 40 33
"4736" 9 24.93 0.408688524590164 29 25.99 0.426065573770492 32 24
"4995" 9 82.78 0.608676470588235 90 95.54 0.7025 45 21
"5613" 6 21.32 0.627058823529412 24 9.73 0.286176470588235 10 18
"5750" 7 18.17 0.252361111111111 25 85.19 1.18319444444444 47 30
"5959" 9 24.85 0.322727272727273 34 49.24 0.63948051948052 42 23
"6035" 12 29.73 0.530892857142857 43 16.43 0.293392857142857 13 49
"7758" 17 23.85 0.496875 34 14.19 0.295625 14 16
"7798" 11 47.06 0.4525 53 48.89 0.470096153846154 51 86
"8357" 12 53.5 0.486363636363636 73 29.16 0.265090909090909 37 35
"8445" 8 41.88 0.517037037037037 50 33.41 0.412469135802469 31 35
"8924" 11 70.46 0.640545454545455 72 33.18 0.301636363636364 38 53
"9398" 6 153.02 0.900117647058824 112 144.4 0.849411764705882 54 42
"9408" 27 8.81 0.629285714285714 10 2.9 0.207142857142857 4 3
"9427" 9 31.09 0.6218 37 11.98 0.2396 13 26
"9492" 15 27.6 0.501818181818182 31 32.18 0.585090909090909 24 16
"9527" 12 24.73 0.441607142857143 35 14.89 0.265892857142857 21 32
"9755" 3 26.44 0.455862068965517 32 31.26 0.538965517241379 26 31
"9801" 19 34.23 0.360315789473684 43 77.7 0.817894736842105 52 38
"9854" 17 38.31 0.497532467532468 45 19.25 0.25 32 41
"9858" 13 39.01 0.619206349206349 40 28.47 0.451904761904762 24 16
