"filename" "age_mo_round" "CV_cum_dur" "CV_mean" "CV_count" "CNV_cum_dur" "CNV_mean" "CNV_count" "CTC_count"
"0396_ 5220_ 5340" 15 0.91 0.2275 2 2 0.5 2 6
"0396_ 8100_ 8220" 15 5.24 1.31 4 0 0 0 3
"0396_ 8820_ 8940" 15 5.27 0.65875 4 2.62 0.3275 4 0
"0396_10140_10260" 15 1.44 1.44 1 0 0 0 2
"0396_11160_11280" 15 8.62 0.663076923076923 4 12.33 0.948461538461538 9 1
"0396_12900_13020" 15 2.49 0.83 3 0 0 0 4
"0396_13680_13800" 15 2.22 1.11 1 1.01 0.505 1 1
"0396_14520_14640" 15 1.61 0.123846153846154 2 14.05 1.08076923076923 11 11
"0396_24120_24240" 15 10.4 0.8 9 2.22 0.170769230769231 4 1
"0396_24840_24960" 15 5.91 0.591 8 1.44 0.144 2 9
"0396_33660_33780" 15 7.03 0.292916666666667 9 25.82 1.07583333333333 15 9
"0396_37380_37500" 15 2.07 0.5175 1 2.73 0.6825 3 5
"1130_ 2640_ 2760" 9 6.23 0.623 7 1.77 0.177 3 10
"1130_ 3000_ 3120" 9 3.59 0.132962962962963 6 37.47 1.38777777777778 21 18
"1130_ 7080_ 7200" 9 1.3 0.65 1 0.51 0.255 1 2
"1130_ 9120_ 9240" 9 3.74 0.374 6 5.32 0.532 4 3
"1130_11220_11340" 9 2.2 0.733333333333333 3 0 0 0 1
"1130_13260_13380" 9 9.54 0.353333333333333 4 68.54 2.53851851851852 23 3
"1130_21960_22080" 9 0.44 0.146666666666667 1 1.2 0.4 2 0
"1130_23580_23700" 9 33.62 1.24518518518519 23 2.24 0.082962962962963 3 4
"1130_26400_26520" 9 4.02 0.287142857142857 5 6 0.428571428571429 9 5
"1130_27660_27780" 9 1.89 0.63 3 0 0 0 4
"1130_37140_37260" 9 7.14 0.396666666666667 7 20.96 1.16444444444444 11 6
"1156_ 1980_ 2100" 25 44.14 1.47133333333333 30 0 0 0 1
"1156_10140_10260" 25 21.89 0.643823529411765 20 18.67 0.549117647058823 14 16
"1156_11580_11700" 25 47.11 1.20794871794872 38 0.51 0.0130769230769231 1 6
"1156_13140_13260" 25 6.75 0.84375 7 0.98 0.1225 1 7
"1156_19680_19800" 25 9.35 0.623333333333333 11 2.4 0.16 4 8
"1156_22260_22380" 25 7.17 0.796666666666667 8 0.6 0.0666666666666667 1 4
"1156_25800_25920" 25 9.52 0.732307692307692 11 1.57 0.120769230769231 2 1
"1156_34500_34620" 25 0 0 0 0.64 0.64 1 0
"1156_34860_34980" 25 2.18 0.436 3 0.83 0.166 2 0
"1156_38220_38340" 25 12.61 0.741764705882353 14 4.47 0.262941176470588 3 8
"1196_ 2760_ 2880" 9 3.12 0.52 3 2.92 0.486666666666667 3 0
"1196_13680_13800" 9 0 0 0 0.57 0.57 1 1
"1196_14760_14880" 9 3.61 0.328181818181818 6 2.11 0.191818181818182 5 8
"1196_15660_15780" 9 3.11 0.7775 4 0 0 0 2
"1196_16140_16260" 9 1.4 0.7 2 0 0 0 1
"1196_21240_21360" 9 4.41 0.63 4 2.45 0.35 3 1
"1196_22560_22680" 9 3.9 0.39 3 5.76 0.576 7 0
"1196_23820_23940" 9 0.6 0.0857142857142857 1 4.2 0.6 6 0
"1196_24960_25080" 9 6.57 0.657 5 6.57 0.657 5 0
"1196_32880_33000" 9 0 0 0 0.51 0.255 2 0
"1196_33480_33600" 9 4.36 0.726666666666667 2 3.07 0.511666666666667 4 0
"1196_34740_34860" 9 11.54 0.54952380952381 14 6.21 0.295714285714286 7 3
"1499_ 6120_ 6240" 32 6.37 0.49 6 7.17 0.551538461538462 7 1
"1499_ 7500_ 7620" 32 3.65 0.331818181818182 6 4.7 0.427272727272727 5 3
"1499_ 8580_ 8700" 32 17.47 0.727916666666667 22 1.56 0.065 2 2
"1499_10980_11100" 32 39.38 0.915813953488372 38 2.12 0.0493023255813953 5 2
"1499_12720_12840" 32 7.38 0.738 10 0 0 0 3
"1499_15420_15540" 32 0 0 0 0.79 0.395 2 0
"1499_17340_17460" 32 0 0 0 1.04 0.346666666666667 3 0
"1499_17820_17940" 32 1.68 0.42 3 1.3 0.325 1 0
"1499_20040_20160" 32 0.81 0.405 1 0.34 0.17 1 0
"1499_21660_21780" 32 5.52 0.613333333333333 8 0.81 0.09 1 1
"1499_23040_23160" 32 14.38 0.625217391304348 15 7.33 0.318695652173913 8 1
"1499_24300_24420" 32 0 0 0 0.71 0.71 1 0
"1499_25740_25860" 32 0.69 0.1725 1 2.13 0.5325 3 0
"1499_27540_27660" 32 1 0.25 1 1.8 0.45 3 1
"1618_ 3480_ 3600" 7 1.97 0.656666666666667 3 0 0 0 4
"1618_17400_17520" 7 2.61 0.200769230769231 3 13.42 1.03230769230769 10 5
"1618_31620_31740" 7 1.45 0.241666666666667 2 3.07 0.511666666666667 4 3
"1618_41040_41160" 7 0.6 0.0857142857142857 1 4.44 0.634285714285714 6 5
"1735_ 1920_ 2040" 21 22.06 0.760689655172414 29 0 0 0 10
"1735_10020_10140" 21 4.95 0.55 6 2.69 0.298888888888889 3 0
"1735_15060_15180" 21 11.62 0.774666666666667 13 1.28 0.0853333333333333 2 10
"1735_16800_16920" 21 4.33 0.721666666666667 4 0.97 0.161666666666667 2 1
"1735_17160_17280" 21 1.03 0.343333333333333 3 0 0 0 0
"1735_21480_21600" 21 3.17 0.7925 4 0 0 0 4
"1735_30120_30240" 21 3.9 0.78 4 0.4 0.08 1 2
"1735_31260_31380" 21 7.83 0.3915 10 8.67 0.4335 10 8
"1735_32340_32460" 21 13.52 0.643809523809524 13 5.67 0.27 8 16
"1735_39120_39240" 21 1.4 0.7 2 0 0 0 2
"1735_40620_40740" 21 0.44 0.0733333333333333 1 2.19 0.365 5 4
"1768_ 8100_ 8220" 21 13.72 0.807058823529412 10 13.06 0.768235294117647 7 15
"1768_ 9180_ 9300" 21 17.6 0.838095238095238 17 4.78 0.227619047619048 4 5
"1768_14220_14340" 21 0.61 0.61 1 0 0 0 2
"1768_16920_17040" 21 6.94 0.694 10 0 0 0 18
"1768_22440_22560" 21 6.7 0.352631578947368 9 12.53 0.659473684210526 10 5
"1768_23040_23160" 21 1.02 0.34 3 0 0 0 2
"1768_23400_23520" 21 0.27 0.27 1 0 0 0 2
"1768_30000_30120" 21 7.64 0.955 8 0 0 0 3
"1768_30300_30420" 21 4.37 0.485555555555556 5 2.07 0.23 4 0
"1768_32580_32700" 21 4.41 0.400909090909091 8 2.14 0.194545454545455 3 8
"1768_33540_33660" 21 15.7 0.560714285714286 21 3.28 0.117142857142857 5 6
"1768_35220_35340" 21 2.76 0.552 5 0 0 0 11
"1844_ 2580_ 2700" 10 0 0 0 0.66 0.66 1 0
"1844_13740_13860" 10 1 1 1 0 0 0 3
"1844_18120_18240" 10 0.85 0.17 1 3.47 0.694 4 1
"1844_20340_20460" 10 2.83 0.566 3 1.71 0.342 2 0
"1844_28320_28440" 10 0 0 0 2.04 0.68 3 1
