"filename" "gold1_CV_cum_dur" "gold1_CV_mean" "gold1_CV_count" "gold1_short_CV_count" "gold1_CNV_cum_dur" "gold1_CNV_mean" "gold1_CNV_count" "gold1_short_CNV_count" "gold1_CH_cum_dur" "gold1_CH_mean" "gold1_CH_count" "gold1_CTC_count" "gold2_CV_cum_dur" "gold2_CV_mean" "gold2_CV_count" "gold2_short_CV_count" "gold2_CNV_cum_dur" "gold2_CNV_mean" "gold2_CNV_count" "gold2_short_CNV_count" "gold2_CH_cum_dur" "gold2_CH_mean" "gold2_CH_count" "gold2_CTC_count" "child_id"
"BER_0396_011220_011280" 9.03 0.903 10 5 0 0 0 0 9.03 0.903 10 0 11.2 0.861538461538462 13 8 0 0 0 0 11.2 0.861538461538462 13 1 "BER_0396"
"BER_1196_034740_034800" 11.12 0.794285714285714 14 4 0 0 0 0 11.12 0.794285714285714 14 0 12.75 0.980769230769231 13 1 0 0 0 0 12.75 0.980769230769231 13 1 "BER_1196"
"BER_1618_031680_031740" 1.92 0.96 2 0 0 0 0 0 1.92 0.96 2 4 1.14 0.57 2 1 1.49 0.496666666666667 3 2 2.63 0.526 5 3 "BER_1618"
"BER_1844_030000_030060" 2.31 1.155 2 0 0 0 0 0 2.31 1.155 2 3 2.75 0.916666666666667 3 1 0 0 0 0 2.75 0.916666666666667 3 5 "BER_1844"
"BER_2927_026160_026220" 0.61 0.61 1 0 0.39 0.39 1 1 1 0.5 2 2 0.25 0.25 1 1 0.36 0.36 1 1 0.61 0.305 2 2 "BER_2927"
"BER_3749_004620_004680" 0.13 0.13 1 1 0 0 0 0 0.13 0.13 1 2 0 0 0 0 0 0 0 0 0 0 0 0 "BER_3749"
"BER_3895_043560_043620" 15.02 0.883529411764706 17 8 0 0 0 0 15.02 0.883529411764706 17 17 17.92 0.995555555555556 18 7 0 0 0 0 17.92 0.995555555555556 18 19 "BER_3895"
"BER_5750_030480_030540" 11.29 1.129 10 2 2.92 1.46 2 1 14.21 1.18416666666667 12 4 9.85 0.518421052631579 19 13 0.36 0.36 1 1 10.21 0.5105 20 13 "BER_5750"
"BER_6035_030360_030420" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "BER_6035"
"BER_7758_034320_034380" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "BER_7758"
"ROS_0790_014460_014520" 1.48 0.37 4 3 0.58 0.193333333333333 3 3 2.06 0.294285714285714 7 0 3.46 0.692 5 4 0 0 0 0 3.46 0.692 5 1 "ROS_0790"
"ROS_1299_004320_004380" 0.52 0.52 1 1 0 0 0 0 0.52 0.52 1 3 0.88 0.44 2 2 0 0 0 0 0.88 0.44 2 5 "ROS_1299"
"ROS_2534_004380_004440" 4.1 0.82 5 3 11.9 11.9 1 0 16 2.66666666666667 6 3 12.7 1.05833333333333 12 5 0 0 0 0 12.7 1.05833333333333 12 10 "ROS_2534"
