item,identification error rate %,total,correct,correct %,false alarm,false alarm %,missed detection,missed detection %,confusion,confusion %
BER_0396_011220_011280.rttm,27.57,9.03,9.00,99.67,2.46,27.24,0.03,0.33,0.00,0.00
BER_1196_034740_034800.rttm,97.82,60.63,1.60,2.64,0.28,0.46,40.80,67.29,18.23,30.07
BER_1618_031680_031740.rttm,34.34,48.98,34.60,70.64,2.44,4.98,5.72,11.68,8.66,17.68
BER_1844_030000_030060.rttm,27.52,20.17,17.52,86.86,2.90,14.38,2.19,10.86,0.46,2.28
BER_2927_026160_026220.rttm,22.97,49.49,38.15,77.09,0.03,0.06,6.76,13.66,4.58,9.25
BER_3749_004620_004680.rttm,38.81,48.62,30.38,62.48,0.63,1.30,7.08,14.56,11.16,22.95
BER_3895_043560_043620.rttm,34.34,43.54,34.98,80.34,6.39,14.68,2.54,5.83,6.02,13.83
BER_5750_030480_030540.rttm,84.04,40.17,7.74,19.27,1.33,3.31,24.30,60.49,8.13,20.24
BER_6035_030360_030420.rttm,150.32,21.88,12.04,55.03,23.05,105.35,2.17,9.92,7.67,35.05
BER_7758_034320_034380.rttm,18.10,51.59,48.52,94.05,6.27,12.15,3.07,5.95,0.00,0.00
ROS_0790_014460_014520.rttm,40.66,42.03,31.55,75.07,6.61,15.73,4.07,9.68,6.41,15.25
ROS_1299_004320_004380.rttm,153.48,33.88,6.72,19.83,24.84,73.32,0.25,0.74,26.91,79.43
ROS_2534_004380_004440.rttm,52.62,23.64,13.10,55.41,1.90,8.04,3.39,14.34,7.15,30.25
ROS_3510_004740_004800.rttm,43.56,13.98,11.78,84.26,3.89,27.83,1.28,9.16,0.92,6.58
ROS_6026_002100_002160.rttm,35.37,43.40,34.32,79.08,6.27,14.45,2.70,6.22,6.38,14.70
ROS_7903_002820_002880.rttm,66.80,117.82,39.12,33.20,0.00,0.00,73.53,62.41,5.17,4.39
ROS_8788_009120_009180.rttm,40.46,47.85,35.82,74.86,7.33,15.32,1.62,3.39,10.41,21.76
ROS_9051_014760_014820.rttm,72.24,13.94,12.67,90.89,8.80,63.13,1.27,9.11,0.00,0.00
ROS_9426_010860_010920.rttm,148.53,17.72,10.20,57.56,18.80,106.09,0.93,5.25,6.59,37.19
ROS_9909_010680_010740.rttm,103.84,43.00,13.44,31.26,15.09,35.09,1.20,2.79,28.36,65.95
ROW_1156_034560_034620.rttm,14.64,39.15,33.96,86.74,0.54,1.38,3.31,8.45,1.88,4.80
ROW_1735_015060_015120.rttm,14.55,37.94,34.04,89.72,1.62,4.27,2.58,6.80,1.32,3.48
ROW_1768_016980_017040.rttm,64.25,29.48,13.68,46.40,3.14,10.65,9.31,31.58,6.49,22.01
ROW_2745_020220_020280.rttm,63.69,3.69,2.80,75.88,1.46,39.57,0.43,11.65,0.46,12.47
ROW_3486_033120_033180.rttm,24.08,40.74,34.35,84.32,3.42,8.39,3.86,9.47,2.53,6.21
ROW_7798_019560_019620.rttm,38.19,41.29,32.73,79.27,7.21,17.46,2.34,5.67,6.22,15.06
ROW_8357_030300_030360.rttm,18.11,22.47,21.04,93.64,2.64,11.75,1.39,6.19,0.04,0.18
ROW_9408_033360_033420.rttm,67.37,24.82,12.18,49.07,4.08,16.44,4.97,20.02,7.67,30.90
ROW_9492_028020_028080.rttm,97.24,18.82,12.00,63.76,11.48,61.00,0.55,2.92,6.27,33.32
ROW_9801_036900_036960.rttm,100.03,33.27,12.87,38.68,12.88,38.71,0.12,0.36,20.28,60.96
SOD_1499_024300_024360.rttm,70.88,34.27,12.79,37.32,2.81,8.20,10.45,30.49,11.03,32.19
SOD_3542_006420_006480.rttm,59.91,49.54,21.91,44.23,2.05,4.14,16.42,33.14,11.21,22.63
SOD_3634_036120_036180.rttm,99.89,61.47,0.09,0.15,0.02,0.03,57.95,94.27,3.43,5.58
SOD_4483_006600_006660.rttm,64.05,29.12,15.90,54.60,5.43,18.65,6.50,22.32,6.72,23.08
SOD_4736_013800_013860.rttm,66.56,21.92,19.95,91.01,12.62,57.57,1.97,8.99,0.00,0.00
SOD_8445_017640_017700.rttm,24.10,41.29,35.61,86.24,4.27,10.34,2.33,5.64,3.35,8.11
SOD_8924_017340_017400.rttm,14.23,46.04,40.14,87.19,0.65,1.41,5.15,11.19,0.75,1.63
SOD_9527_020520_020580.rttm,110.88,25.93,14.03,54.11,16.85,64.98,0.44,1.70,11.46,44.20
SOD_9854_019440_019500.rttm,25.00,19.96,18.90,94.69,3.93,19.69,1.06,5.31,0.00,0.00
SOD_9858_002640_002700.rttm,78.72,0.94,0.94,100.00,0.74,78.72,0.00,0.00,0.00,0.00
TSE_0643_020364_020424.rttm,521.55,6.96,6.03,86.64,35.37,508.19,0.90,12.93,0.03,0.43
TSE_2109_029116_029176.rttm,101.10,2.72,2.10,77.21,2.13,78.31,0.62,22.79,0.00,0.00
TSE_2625_027365_027425.rttm,90.16,26.23,16.12,61.46,13.54,51.62,6.13,23.37,3.98,15.17
TSE_3026_005809_005869.rttm,32.83,21.17,17.17,81.11,2.95,13.93,3.98,18.80,0.02,0.09
TSE_6216_013922_013982.rttm,40.11,28.50,18.96,66.53,1.89,6.63,9.03,31.68,0.51,1.79
