item,detection error rate %,total,false alarm,false alarm %,miss,miss %
BER_0396_011220_011280.rttm,24.70,9.03,2.20,24.36,0.03,0.33
BER_1196_034740_034800.rttm,817.27,1.39,11.36,817.27,0.00,0.00
BER_1618_031680_031740.rttm,80.47,1.28,0.10,7.81,0.93,72.66
BER_1844_030000_030060.rttm,51.95,2.31,0.82,35.50,0.38,16.45
BER_2927_026160_026220.rttm,37.11,0.97,0.00,0.00,0.36,37.11
BER_3749_004620_004680.rttm,100.00,0.10,0.00,0.00,0.10,100.00
BER_3895_043560_043620.rttm,64.81,5.03,1.34,26.64,1.92,38.17
BER_5750_030480_030540.rttm,106.69,9.86,4.80,48.68,5.72,58.01
BER_6035_030360_030420.rttm,0.00,0.00,0.00,,0.00,
BER_7758_034320_034380.rttm,0.00,0.00,0.00,,0.00,
ROS_0790_014460_014520.rttm,200.00,0.80,0.91,113.75,0.69,86.25
ROS_1299_004320_004380.rttm,21.15,0.52,0.00,0.00,0.11,21.15
ROS_2534_004380_004440.rttm,27.48,13.50,0.79,5.85,2.92,21.63
ROS_3510_004740_004800.rttm,0.00,0.00,0.00,,0.00,
ROS_6026_002100_002160.rttm,0.00,0.00,0.00,,0.00,
ROS_7903_002820_002880.rttm,0.00,0.00,0.00,,0.00,
ROS_8788_009120_009180.rttm,62.20,12.30,0.73,5.93,6.92,56.26
ROS_9051_014760_014820.rttm,5.43,0.92,0.05,5.43,0.00,0.00
ROS_9426_010860_010920.rttm,37.39,8.96,0.83,9.26,2.52,28.12
ROS_9909_010680_010740.rttm,80.88,3.40,0.48,14.12,2.27,66.76
ROW_1156_034560_034620.rttm,0.00,0.00,0.00,,0.00,
ROW_1735_015060_015120.rttm,21.76,5.24,0.57,10.88,0.57,10.88
ROW_1768_016980_017040.rttm,5.43,4.97,0.23,4.63,0.04,0.80
ROW_2745_020220_020280.rttm,201.41,0.71,1.04,146.48,0.39,54.93
ROW_3486_033120_033180.rttm,0.00,0.00,0.00,,0.00,
ROW_7798_019560_019620.rttm,65.33,6.00,1.75,29.17,2.17,36.17
ROW_8357_030300_030360.rttm,46.09,1.28,0.39,30.47,0.20,15.62
ROW_9408_033360_033420.rttm,86.75,10.34,6.73,65.09,2.24,21.66
ROW_9492_028020_028080.rttm,203.52,3.41,4.92,144.28,2.02,59.24
ROW_9801_036900_036960.rttm,41.18,2.72,0.17,6.25,0.95,34.93
SOD_1499_024300_024360.rttm,226.12,1.34,2.05,152.99,0.98,73.13
SOD_3542_006420_006480.rttm,100.00,0.66,0.36,54.55,0.30,45.45
SOD_3634_036120_036180.rttm,7466.67,0.03,2.24,7466.67,0.00,0.00
SOD_4483_006600_006660.rttm,0.00,0.00,0.00,,0.00,
SOD_4736_013800_013860.rttm,14.82,21.59,1.23,5.70,1.97,9.12
SOD_8445_017640_017700.rttm,41.74,6.66,1.70,25.53,1.08,16.22
SOD_8924_017340_017400.rttm,0.00,0.00,0.00,,0.00,
SOD_9527_020520_020580.rttm,55.34,4.68,1.87,39.96,0.72,15.38
SOD_9854_019440_019500.rttm,0.00,0.00,0.00,,0.00,
SOD_9858_002640_002700.rttm,100.00,0.00,0.64,,0.00,
TSE_0643_020364_020424.rttm,100.00,0.00,0.18,,0.00,
TSE_2109_029116_029176.rttm,53.46,2.17,1.01,46.54,0.15,6.91
TSE_2625_027365_027425.rttm,100.00,0.00,0.62,,0.00,
TSE_3026_005809_005869.rttm,27.40,16.13,2.13,13.21,2.29,14.20
TSE_6216_013922_013982.rttm,0.00,0.00,0.00,,0.00,
TSE_7176_001701_001761.rttm,114.41,7.84,3.65,46.56,5.32,67.86
TSE_7220_030589_030649.rttm,1650.00,0.12,1.86,1550.00,0.12,100.00
TSE_7326_006918_006978.rttm,59.79,1.94,0.58,29.90,0.58,29.90
TSE_8179_001514_001574.rttm,0.00,0.00,0.00,,0.00,
TSE_8787_025505_025565.rttm,106.59,4.55,4.08,89.67,0.77,16.92
WAR_1130_023040_023100.rttm,51.16,0.43,0.00,0.00,0.22,51.16
WAR_2535_032640_032700.rttm,0.00,0.00,0.00,,0.00,
WAR_3090_047040_047100.rttm,0.00,0.00,0.00,,0.00,
WAR_3528_006660_006720.rttm,11.40,40.01,0.67,1.67,3.89,9.72
WAR_4995_026700_026760.rttm,11.48,45.57,2.48,5.44,2.75,6.03
WAR_5613_044460_044520.rttm,0.00,0.00,0.00,,0.00,
WAR_5959_022920_022980.rttm,0.00,0.00,0.00,,0.00,
WAR_9398_005100_005160.rttm,11.48,14.89,1.02,6.85,0.69,4.63
WAR_9427_056820_056880.rttm,38.53,7.76,0.93,11.98,2.06,26.55
WAR_9755_035340_035400.rttm,100.00,0.10,0.00,0.00,0.10,100.00
TOTAL,45.10,281.51,69.51,24.69,57.44,20.40
