item,detection recall %,relevant,relevant retrieved
BER_0396_011220_011280.rttm,89.57,11.03,9.88
BER_1196_034740_034800.rttm,94.55,11.74,11.10
BER_1618_031680_031740.rttm,14.86,0.74,0.11
BER_1844_030000_030060.rttm,83.55,2.31,1.93
BER_2927_026160_026220.rttm,30.35,2.01,0.61
BER_3749_004620_004680.rttm,0.00,0.21,0.00
BER_3895_043560_043620.rttm,61.83,5.03,3.11
BER_5750_030480_030540.rttm,41.30,10.17,4.20
BER_6035_030360_030420.rttm,100.00,0.00,0.00
BER_7758_034320_034380.rttm,100.00,0.00,0.00
ROS_0790_014460_014520.rttm,0.00,0.80,0.00
ROS_1299_004320_004380.rttm,78.85,0.52,0.41
ROS_2534_004380_004440.rttm,78.30,13.50,10.57
ROS_3510_004740_004800.rttm,100.00,0.00,0.00
ROS_6026_002100_002160.rttm,100.00,0.00,0.00
ROS_7903_002820_002880.rttm,100.00,0.00,0.00
ROS_8788_009120_009180.rttm,43.74,12.30,5.38
ROS_9051_014760_014820.rttm,100.00,0.92,0.92
ROS_9426_010860_010920.rttm,71.88,8.96,6.44
ROS_9909_010680_010740.rttm,25.59,3.40,0.87
ROW_1156_034560_034620.rttm,100.00,0.00,0.00
ROW_1735_015060_015120.rttm,88.25,4.85,4.28
ROW_1768_016980_017040.rttm,99.20,4.97,4.93
ROW_2745_020220_020280.rttm,100.00,0.31,0.31
ROW_3486_033120_033180.rttm,100.00,0.00,0.00
ROW_7798_019560_019620.rttm,68.67,6.00,4.12
ROW_8357_030300_030360.rttm,100.00,0.85,0.85
ROW_9408_033360_033420.rttm,84.64,10.87,9.20
ROW_9492_028020_028080.rttm,40.76,3.41,1.39
ROW_9801_036900_036960.rttm,65.07,2.72,1.77
SOD_1499_024300_024360.rttm,26.87,1.34,0.36
SOD_3542_006420_006480.rttm,54.55,0.66,0.36
SOD_3634_036120_036180.rttm,96.76,2.16,2.09
SOD_4483_006600_006660.rttm,100.00,0.00,0.00
SOD_4736_013800_013860.rttm,90.88,21.59,19.62
SOD_8445_017640_017700.rttm,83.78,6.66,5.58
SOD_8924_017340_017400.rttm,100.00,0.00,0.00
SOD_9527_020520_020580.rttm,84.62,4.68,3.96
SOD_9854_019440_019500.rttm,100.00,0.00,0.00
SOD_9858_002640_002700.rttm,100.00,0.00,0.00
TSE_0643_020364_020424.rttm,100.00,0.00,0.00
TSE_2109_029116_029176.rttm,93.09,2.17,2.02
TSE_2625_027365_027425.rttm,100.00,0.00,0.00
TSE_3026_005809_005869.rttm,85.80,16.13,13.84
TSE_6216_013922_013982.rttm,100.00,0.00,0.00
TSE_7176_001701_001761.rttm,32.14,7.84,2.52
TSE_7220_030589_030649.rttm,0.00,0.12,0.00
TSE_7326_006918_006978.rttm,70.10,1.94,1.36
TSE_8179_001514_001574.rttm,100.00,0.00,0.00
TSE_8787_025505_025565.rttm,83.08,4.55,3.78
WAR_1130_023040_023100.rttm,48.84,0.43,0.21
WAR_2535_032640_032700.rttm,100.00,0.00,0.00
WAR_3090_047040_047100.rttm,100.00,0.00,0.00
WAR_3528_006660_006720.rttm,89.72,40.26,36.12
WAR_4995_026700_026760.rttm,89.97,48.74,43.85
WAR_5613_044460_044520.rttm,100.00,0.00,0.00
WAR_5959_022920_022980.rttm,100.00,0.00,0.00
WAR_9398_005100_005160.rttm,94.74,15.01,14.22
WAR_9427_056820_056880.rttm,66.30,9.17,6.08
WAR_9755_035340_035400.rttm,0.00,0.90,0.00
TOTAL,78.93,301.97,238.35
