item,detection error rate %,total,false alarm,false alarm %,miss,miss %
BER_0396_011220_011280.rttm,100.00,0.00,0.26,,0.00,
BER_1196_034740_034800.rttm,0.00,0.00,0.00,,0.00,
BER_1618_031680_031740.rttm,43.81,28.37,5.69,20.06,6.74,23.76
BER_1844_030000_030060.rttm,43.42,0.76,0.09,11.84,0.24,31.58
BER_2927_026160_026220.rttm,27.71,31.40,3.86,12.29,4.84,15.41
BER_3749_004620_004680.rttm,21.08,20.59,2.24,10.88,2.10,10.20
BER_3895_043560_043620.rttm,28.60,17.66,1.17,6.63,3.88,21.97
BER_5750_030480_030540.rttm,161.97,3.76,4.66,123.94,1.43,38.03
BER_6035_030360_030420.rttm,67.37,15.08,4.17,27.65,5.99,39.72
BER_7758_034320_034380.rttm,0.00,0.00,0.00,,0.00,
ROS_0790_014460_014520.rttm,53.24,1.39,0.26,18.71,0.48,34.53
ROS_1299_004320_004380.rttm,81.51,25.36,0.18,0.71,20.49,80.80
ROS_2534_004380_004440.rttm,256.82,3.08,6.31,204.87,1.60,51.95
ROS_3510_004740_004800.rttm,0.00,0.00,0.00,,0.00,
ROS_6026_002100_002160.rttm,32.47,19.62,2.36,12.03,4.01,20.44
ROS_7903_002820_002880.rttm,100.00,0.00,3.83,,0.00,
ROS_8788_009120_009180.rttm,33.75,25.36,3.89,15.34,4.67,18.41
ROS_9051_014760_014820.rttm,115.56,3.60,3.16,87.78,1.00,27.78
ROS_9426_010860_010920.rttm,69.01,7.55,0.95,12.58,4.26,56.42
ROS_9909_010680_010740.rttm,93.11,17.85,0.48,2.69,16.14,90.42
ROW_1156_034560_034620.rttm,13.38,15.99,1.64,10.26,0.50,3.13
ROW_1735_015060_015120.rttm,0.00,0.00,0.00,,0.00,
ROW_1768_016980_017040.rttm,100.38,10.57,2.98,28.19,7.63,72.19
ROW_2745_020220_020280.rttm,40.27,2.98,0.70,23.49,0.50,16.78
ROW_3486_033120_033180.rttm,0.00,0.00,0.00,,0.00,
ROW_7798_019560_019620.rttm,42.18,32.55,4.53,13.92,9.20,28.26
ROW_8357_030300_030360.rttm,14.38,7.72,0.64,8.29,0.47,6.09
ROW_9408_033360_033420.rttm,117.17,3.67,4.20,114.44,0.10,2.72
ROW_9492_028020_028080.rttm,43.68,1.90,0.45,23.68,0.38,20.00
ROW_9801_036900_036960.rttm,65.89,28.70,1.10,3.83,17.81,62.06
SOD_1499_024300_024360.rttm,81.86,5.90,4.42,74.92,0.41,6.95
SOD_3542_006420_006480.rttm,72.54,27.68,8.37,30.24,11.71,42.30
SOD_3634_036120_036180.rttm,0.00,0.00,0.00,,0.00,
SOD_4483_006600_006660.rttm,47.12,22.73,4.38,19.27,6.33,27.85
SOD_4736_013800_013860.rttm,512.12,0.33,1.69,512.12,0.00,0.00
SOD_8445_017640_017700.rttm,25.63,30.47,4.26,13.98,3.55,11.65
SOD_8924_017340_017400.rttm,14.45,45.88,0.75,1.63,5.88,12.82
SOD_9527_020520_020580.rttm,63.97,19.01,1.22,6.42,10.94,57.55
SOD_9854_019440_019500.rttm,24.50,19.96,3.83,19.19,1.06,5.31
SOD_9858_002640_002700.rttm,10.64,0.94,0.10,10.64,0.00,0.00
TSE_0643_020364_020424.rttm,314.74,4.75,14.08,296.42,0.87,18.32
TSE_2109_029116_029176.rttm,289.09,0.55,1.12,203.64,0.47,85.45
TSE_2625_027365_027425.rttm,38.51,5.09,1.24,24.36,0.72,14.15
TSE_3026_005809_005869.rttm,50.60,5.04,0.84,16.67,1.71,33.93
TSE_6216_013922_013982.rttm,37.67,20.31,2.12,10.44,5.53,27.23
TSE_7176_001701_001761.rttm,351.35,1.85,5.98,323.24,0.52,28.11
TSE_7220_030589_030649.rttm,72.26,21.77,13.51,62.06,2.22,10.20
TSE_7326_006918_006978.rttm,16.25,4.00,0.26,6.50,0.39,9.75
TSE_8179_001514_001574.rttm,91.18,18.02,11.37,63.10,5.06,28.08
TSE_8787_025505_025565.rttm,65.57,11.53,2.74,23.76,4.82,41.80
WAR_1130_023040_023100.rttm,100.00,0.00,21.51,,0.00,
WAR_2535_032640_032700.rttm,32.08,37.59,3.25,8.65,8.81,23.44
WAR_3090_047040_047100.rttm,9.05,6.74,0.32,4.75,0.29,4.30
WAR_3528_006660_006720.rttm,0.00,0.00,0.00,,0.00,
WAR_4995_026700_026760.rttm,10.42,0.96,0.00,0.00,0.10,10.42
WAR_5613_044460_044520.rttm,55.43,16.58,5.06,30.52,4.13,24.91
WAR_5959_022920_022980.rttm,100.00,0.00,8.31,,0.00,
WAR_9398_005100_005160.rttm,0.00,0.00,0.00,,0.00,
WAR_9427_056820_056880.rttm,43.26,9.27,1.17,12.62,2.84,30.64
WAR_9755_035340_035400.rttm,0.00,0.00,0.00,,0.00,
TOTAL,56.53,662.46,181.70,27.43,192.82,29.11
