item,detection precision %,retrieved,relevant retrieved
0396_011220_011280.rttm,0.00,0.26,0.00
0643_020364_020424.rttm,21.60,17.96,3.88
0790_014460_014520.rttm,77.78,1.17,0.91
1130_023040_023100.rttm,0.00,21.51,0.00
1156_034560_034620.rttm,90.43,17.13,15.49
1196_034740_034800.rttm,100.00,0.00,0.00
1299_004320_004380.rttm,96.44,5.05,4.87
1499_024300_024360.rttm,55.40,9.91,5.49
1618_031680_031740.rttm,79.17,27.32,21.63
1735_015060_015120.rttm,100.00,0.00,0.00
1768_016980_017040.rttm,49.66,5.92,2.94
1844_030000_030060.rttm,85.25,0.61,0.52
2109_029116_029176.rttm,6.67,1.20,0.08
2534_004380_004440.rttm,19.00,7.79,1.48
2535_032640_032700.rttm,89.85,32.03,28.78
2625_027365_027425.rttm,77.90,5.61,4.37
2745_020220_020280.rttm,77.99,3.18,2.48
2927_026160_026220.rttm,87.31,30.42,26.56
3026_005809_005869.rttm,79.86,4.17,3.33
3090_047040_047100.rttm,95.27,6.77,6.45
3486_033120_033180.rttm,100.00,0.00,0.00
3510_004740_004800.rttm,100.00,0.00,0.00
3528_006660_006720.rttm,100.00,0.00,0.00
3542_006420_006480.rttm,65.61,24.34,15.97
3634_036120_036180.rttm,100.00,0.00,0.00
3749_004620_004680.rttm,89.19,20.73,18.49
3895_043560_043620.rttm,92.17,14.95,13.78
4483_006600_006660.rttm,78.92,20.78,16.40
4736_013800_013860.rttm,16.34,2.02,0.33
4995_026700_026760.rttm,100.00,0.86,0.86
5613_044460_044520.rttm,71.10,17.51,12.45
5750_030480_030540.rttm,33.33,6.99,2.33
5959_022920_022980.rttm,0.00,8.31,0.00
6026_002100_002160.rttm,86.87,17.97,15.61
6035_030360_030420.rttm,68.55,13.26,9.09
6216_013922_013982.rttm,87.46,16.90,14.78
7176_001701_001761.rttm,18.19,7.31,1.33
7220_030589_030649.rttm,59.13,33.06,19.55
7326_006918_006978.rttm,93.28,3.87,3.61
7758_034320_034380.rttm,100.00,0.00,0.00
7798_019560_019620.rttm,83.75,27.88,23.35
7903_002820_002880.rttm,0.00,3.83,0.00
8179_001514_001574.rttm,53.27,24.33,12.96
8357_030300_030360.rttm,91.89,7.89,7.25
8445_017640_017700.rttm,86.34,31.18,26.92
8787_025505_025565.rttm,71.01,9.45,6.71
8788_009120_009180.rttm,84.17,24.58,20.69
8924_017340_017400.rttm,98.16,40.75,40.00
9051_014760_014820.rttm,45.14,5.76,2.60
9398_005100_005160.rttm,100.00,0.00,0.00
9408_033360_033420.rttm,45.95,7.77,3.57
9426_010860_010920.rttm,77.59,4.24,3.29
9427_056820_056880.rttm,84.61,7.60,6.43
9492_028020_028080.rttm,77.16,1.97,1.52
9527_020520_020580.rttm,86.87,9.29,8.07
9755_035340_035400.rttm,100.00,0.00,0.00
9801_036900_036960.rttm,90.83,11.99,10.89
9854_019440_019500.rttm,83.15,22.73,18.90
9858_002640_002700.rttm,90.38,1.04,0.94
9909_010680_010740.rttm,78.08,2.19,1.71
TOTAL,72.10,651.34,469.64
