item,detection recall %,relevant,relevant retrieved
0396_011220_011280.rttm,100.00,0.00,0.00
0643_020364_020424.rttm,81.68,4.75,3.88
0790_014460_014520.rttm,65.47,1.39,0.91
1130_023040_023100.rttm,100.00,0.00,0.00
1156_034560_034620.rttm,96.87,15.99,15.49
1196_034740_034800.rttm,100.00,0.00,0.00
1299_004320_004380.rttm,19.20,25.36,4.87
1499_024300_024360.rttm,93.05,5.90,5.49
1618_031680_031740.rttm,76.24,28.37,21.63
1735_015060_015120.rttm,100.00,0.00,0.00
1768_016980_017040.rttm,27.81,10.57,2.94
1844_030000_030060.rttm,68.42,0.76,0.52
2109_029116_029176.rttm,14.55,0.55,0.08
2534_004380_004440.rttm,48.05,3.08,1.48
2535_032640_032700.rttm,76.56,37.59,28.78
2625_027365_027425.rttm,85.85,5.09,4.37
2745_020220_020280.rttm,83.22,2.98,2.48
2927_026160_026220.rttm,84.59,31.40,26.56
3026_005809_005869.rttm,66.07,5.04,3.33
3090_047040_047100.rttm,95.70,6.74,6.45
3486_033120_033180.rttm,100.00,0.00,0.00
3510_004740_004800.rttm,100.00,0.00,0.00
3528_006660_006720.rttm,100.00,0.00,0.00
3542_006420_006480.rttm,57.70,27.68,15.97
3634_036120_036180.rttm,100.00,0.00,0.00
3749_004620_004680.rttm,89.80,20.59,18.49
3895_043560_043620.rttm,78.03,17.66,13.78
4483_006600_006660.rttm,72.15,22.73,16.40
4736_013800_013860.rttm,100.00,0.33,0.33
4995_026700_026760.rttm,89.58,0.96,0.86
5613_044460_044520.rttm,75.09,16.58,12.45
5750_030480_030540.rttm,61.97,3.76,2.33
5959_022920_022980.rttm,100.00,0.00,0.00
6026_002100_002160.rttm,79.56,19.62,15.61
6035_030360_030420.rttm,60.28,15.08,9.09
6216_013922_013982.rttm,72.77,20.31,14.78
7176_001701_001761.rttm,71.89,1.85,1.33
7220_030589_030649.rttm,89.80,21.77,19.55
7326_006918_006978.rttm,90.25,4.00,3.61
7758_034320_034380.rttm,100.00,0.00,0.00
7798_019560_019620.rttm,71.74,32.55,23.35
7903_002820_002880.rttm,100.00,0.00,0.00
8179_001514_001574.rttm,71.92,18.02,12.96
8357_030300_030360.rttm,93.91,7.72,7.25
8445_017640_017700.rttm,88.35,30.47,26.92
8787_025505_025565.rttm,58.20,11.53,6.71
8788_009120_009180.rttm,81.59,25.36,20.69
8924_017340_017400.rttm,87.18,45.88,40.00
9051_014760_014820.rttm,72.22,3.60,2.60
9398_005100_005160.rttm,100.00,0.00,0.00
9408_033360_033420.rttm,97.28,3.67,3.57
9426_010860_010920.rttm,43.58,7.55,3.29
9427_056820_056880.rttm,69.36,9.27,6.43
9492_028020_028080.rttm,80.00,1.90,1.52
9527_020520_020580.rttm,42.45,19.01,8.07
9755_035340_035400.rttm,100.00,0.00,0.00
9801_036900_036960.rttm,37.94,28.70,10.89
9854_019440_019500.rttm,94.69,19.96,18.90
9858_002640_002700.rttm,100.00,0.94,0.94
9909_010680_010740.rttm,9.58,17.85,1.71
TOTAL,70.89,662.46,469.64
