item,detection recall %,relevant,relevant retrieved
0396_011220_011280.rttm,100.00,0.00,0.00
0643_020364_020424.rttm,100.00,0.00,0.00
0790_014460_014520.rttm,67.90,16.54,11.23
1130_023040_023100.rttm,34.02,0.97,0.33
1156_034560_034620.rttm,100.00,0.00,0.00
1196_034740_034800.rttm,100.00,0.00,0.00
1299_004320_004380.rttm,0.00,6.54,0.00
1499_024300_024360.rttm,100.00,0.00,0.00
1618_031680_031740.rttm,81.17,6.16,5.00
1735_015060_015120.rttm,90.74,11.45,10.39
1768_016980_017040.rttm,53.43,7.15,3.82
1844_030000_030060.rttm,90.07,16.82,15.15
2109_029116_029176.rttm,100.00,0.00,0.00
2534_004380_004440.rttm,0.00,4.48,0.00
2535_032640_032700.rttm,100.00,0.00,0.00
2625_027365_027425.rttm,100.00,0.00,0.00
2745_020220_020280.rttm,100.00,0.00,0.00
2927_026160_026220.rttm,100.00,0.00,0.00
3026_005809_005869.rttm,100.00,0.00,0.00
3090_047040_047100.rttm,100.00,0.00,0.00
3486_033120_033180.rttm,91.94,2.48,2.28
3510_004740_004800.rttm,83.85,5.76,4.83
3528_006660_006720.rttm,100.00,0.00,0.00
3542_006420_006480.rttm,0.00,1.61,0.00
3634_036120_036180.rttm,100.00,0.00,0.00
3749_004620_004680.rttm,84.16,20.89,17.58
3895_043560_043620.rttm,79.85,6.50,5.19
4483_006600_006660.rttm,100.00,0.00,0.00
4736_013800_013860.rttm,100.00,0.00,0.00
4995_026700_026760.rttm,100.00,0.00,0.00
5613_044460_044520.rttm,72.18,15.96,11.52
5750_030480_030540.rttm,100.00,0.00,0.00
5959_022920_022980.rttm,4.55,1.98,0.09
6026_002100_002160.rttm,76.20,15.00,11.43
6035_030360_030420.rttm,43.51,6.78,2.95
6216_013922_013982.rttm,53.73,7.78,4.18
7176_001701_001761.rttm,100.00,0.00,0.00
7220_030589_030649.rttm,0.00,9.50,0.00
7326_006918_006978.rttm,100.00,0.00,0.00
7758_034320_034380.rttm,100.00,0.00,0.00
7798_019560_019620.rttm,100.00,0.00,0.00
7903_002820_002880.rttm,100.00,0.00,0.00
8179_001514_001574.rttm,100.00,0.00,0.00
8357_030300_030360.rttm,100.00,0.00,0.00
8445_017640_017700.rttm,100.00,0.00,0.00
8787_025505_025565.rttm,68.64,9.28,6.37
8788_009120_009180.rttm,100.00,0.00,0.00
8924_017340_017400.rttm,100.00,0.00,0.00
9051_014760_014820.rttm,100.00,0.00,0.00
9398_005100_005160.rttm,100.00,0.00,0.00
9408_033360_033420.rttm,100.00,0.00,0.00
9426_010860_010920.rttm,100.00,0.00,0.00
9427_056820_056880.rttm,34.39,4.10,1.41
9492_028020_028080.rttm,100.00,0.00,0.00
9527_020520_020580.rttm,100.00,0.00,0.00
9755_035340_035400.rttm,79.56,10.57,8.41
9801_036900_036960.rttm,100.00,0.00,0.00
9854_019440_019500.rttm,100.00,0.00,0.00
9858_002640_002700.rttm,100.00,0.00,0.00
9909_010680_010740.rttm,9.04,4.98,0.45
TOTAL,63.44,193.28,122.61
