item,detection error rate %,total,false alarm,false alarm %,miss,miss %
BER_0396_011220_011280.rttm,0.00,0.00,0.00,,0.00,
BER_1196_034740_034800.rttm,2493.10,0.29,7.15,2465.52,0.08,27.59
BER_1618_031680_031740.rttm,69.19,10.16,1.12,11.02,5.91,58.17
BER_1844_030000_030060.rttm,0.00,0.00,0.00,,0.00,
BER_2927_026160_026220.rttm,30.25,4.33,0.04,0.92,1.27,29.33
BER_3749_004620_004680.rttm,0.00,0.00,0.00,,0.00,
BER_3895_043560_043620.rttm,105.72,3.32,2.82,84.94,0.69,20.78
BER_5750_030480_030540.rttm,100.00,21.40,0.00,0.00,21.40,100.00
BER_6035_030360_030420.rttm,100.00,0.00,16.13,,0.00,
BER_7758_034320_034380.rttm,0.00,0.00,0.00,,0.00,
ROS_0790_014460_014520.rttm,45.22,16.21,2.94,18.14,4.39,27.08
ROS_1299_004320_004380.rttm,0.00,0.00,0.00,,0.00,
ROS_2534_004380_004440.rttm,0.00,0.00,0.00,,0.00,
ROS_3510_004740_004800.rttm,44.50,7.46,2.05,27.48,1.27,17.02
ROS_6026_002100_002160.rttm,74.72,4.39,2.61,59.45,0.67,15.26
ROS_7903_002820_002880.rttm,0.00,0.00,0.00,,0.00,
ROS_8788_009120_009180.rttm,0.00,0.00,0.00,,0.00,
ROS_9051_014760_014820.rttm,17.04,4.46,0.55,12.33,0.21,4.71
ROS_9426_010860_010920.rttm,100.00,0.74,0.00,0.00,0.74,100.00
ROS_9909_010680_010740.rttm,99.87,7.55,0.88,11.66,6.66,88.21
ROW_1156_034560_034620.rttm,12.35,19.76,0.37,1.87,2.07,10.48
ROW_1735_015060_015120.rttm,15.66,16.03,0.68,4.24,1.83,11.42
ROW_1768_016980_017040.rttm,159.50,2.00,2.02,101.00,1.17,58.50
ROW_2745_020220_020280.rttm,0.00,0.00,0.00,,0.00,
ROW_3486_033120_033180.rttm,0.00,0.00,0.00,,0.00,
ROW_7798_019560_019620.rttm,0.00,0.00,0.00,,0.00,
ROW_8357_030300_030360.rttm,19.93,13.45,1.94,14.42,0.74,5.50
ROW_9408_033360_033420.rttm,100.00,8.86,0.00,0.00,8.86,100.00
ROW_9492_028020_028080.rttm,72.50,11.71,4.29,36.64,4.20,35.87
ROW_9801_036900_036960.rttm,261.62,1.85,3.20,172.97,1.64,88.65
SOD_1499_024300_024360.rttm,94.96,17.46,5.24,30.01,11.34,64.95
SOD_3542_006420_006480.rttm,196.81,2.82,2.73,96.81,2.82,100.00
SOD_3634_036120_036180.rttm,2016.67,0.06,1.21,2016.67,0.00,0.00
SOD_4483_006600_006660.rttm,102.26,2.65,2.71,102.26,0.00,0.00
SOD_4736_013800_013860.rttm,0.00,0.00,0.00,,0.00,
SOD_8445_017640_017700.rttm,0.00,0.00,0.00,,0.00,
SOD_8924_017340_017400.rttm,0.00,0.00,0.00,,0.00,
SOD_9527_020520_020580.rttm,0.00,0.00,0.00,,0.00,
SOD_9854_019440_019500.rttm,0.00,0.00,0.00,,0.00,
SOD_9858_002640_002700.rttm,0.00,0.00,0.00,,0.00,
TSE_0643_020364_020424.rttm,290.95,2.21,6.37,288.24,0.06,2.71
TSE_2109_029116_029176.rttm,0.00,0.00,0.00,,0.00,
TSE_2625_027365_027425.rttm,53.29,20.19,2.14,10.60,8.62,42.69
TSE_3026_005809_005869.rttm,0.00,0.00,0.00,,0.00,
TSE_6216_013922_013982.rttm,0.00,0.00,0.00,,0.00,
TSE_7176_001701_001761.rttm,78.15,25.31,6.81,26.91,12.97,51.24
TSE_7220_030589_030649.rttm,127.80,6.15,3.67,59.67,4.19,68.13
TSE_7326_006918_006978.rttm,0.00,0.00,0.00,,0.00,
TSE_8179_001514_001574.rttm,100.00,2.59,0.00,0.00,2.59,100.00
TSE_8787_025505_025565.rttm,60.50,7.19,1.68,23.37,2.67,37.13
WAR_1130_023040_023100.rttm,357.43,3.43,10.18,296.79,2.08,60.64
WAR_2535_032640_032700.rttm,0.00,0.00,0.00,,0.00,
WAR_3090_047040_047100.rttm,24.85,22.33,1.79,8.02,3.76,16.84
WAR_3528_006660_006720.rttm,0.00,0.00,0.00,,0.00,
WAR_4995_026700_026760.rttm,0.00,0.00,0.00,,0.00,
WAR_5613_044460_044520.rttm,76.92,1.95,0.07,3.59,1.43,73.33
WAR_5959_022920_022980.rttm,0.00,0.00,0.00,,0.00,
WAR_9398_005100_005160.rttm,0.00,0.00,0.00,,0.00,
WAR_9427_056820_056880.rttm,0.00,0.00,0.00,,0.00,
WAR_9755_035340_035400.rttm,46.18,3.27,0.04,1.22,1.47,44.95
TOTAL,77.78,271.58,93.43,34.40,117.80,43.38
