item,detection recall %,relevant,relevant retrieved
0396_011220_011280.rttm,100.00,0.00,0.00
0643_020364_020424.rttm,97.29,2.21,2.15
0790_014460_014520.rttm,75.20,16.21,12.19
1130_023040_023100.rttm,39.36,3.43,1.35
1156_034560_034620.rttm,89.52,19.76,17.69
1196_034740_034800.rttm,82.41,7.56,6.23
1299_004320_004380.rttm,100.00,0.00,0.00
1499_024300_024360.rttm,35.05,17.46,6.12
1618_031680_031740.rttm,37.44,10.07,3.77
1735_015060_015120.rttm,82.05,15.99,13.12
1768_016980_017040.rttm,41.50,2.00,0.83
1844_030000_030060.rttm,100.00,0.00,0.00
2109_029116_029176.rttm,100.00,0.00,0.00
2534_004380_004440.rttm,100.00,0.00,0.00
2535_032640_032700.rttm,100.00,0.00,0.00
2625_027365_027425.rttm,57.31,20.19,11.57
2745_020220_020280.rttm,100.00,0.00,0.00
2927_026160_026220.rttm,70.67,4.33,3.06
3026_005809_005869.rttm,100.00,0.00,0.00
3090_047040_047100.rttm,83.16,22.33,18.57
3486_033120_033180.rttm,100.00,0.00,0.00
3510_004740_004800.rttm,82.98,7.46,6.19
3528_006660_006720.rttm,100.00,0.00,0.00
3542_006420_006480.rttm,0.00,2.82,0.00
3634_036120_036180.rttm,70.83,1.68,1.19
3749_004620_004680.rttm,100.00,0.00,0.00
3895_043560_043620.rttm,79.22,3.32,2.63
4483_006600_006660.rttm,100.00,2.65,2.65
4736_013800_013860.rttm,100.00,0.00,0.00
4995_026700_026760.rttm,100.00,0.00,0.00
5613_044460_044520.rttm,26.67,1.95,0.52
5750_030480_030540.rttm,0.00,21.40,0.00
5959_022920_022980.rttm,100.00,0.00,0.00
6026_002100_002160.rttm,84.74,4.39,3.72
6035_030360_030420.rttm,100.00,0.00,0.00
6216_013922_013982.rttm,100.00,0.00,0.00
7176_001701_001761.rttm,48.76,25.31,12.34
7220_030589_030649.rttm,31.87,6.15,1.96
7326_006918_006978.rttm,100.00,0.00,0.00
7758_034320_034380.rttm,100.00,0.00,0.00
7798_019560_019620.rttm,100.00,0.00,0.00
7903_002820_002880.rttm,100.00,0.00,0.00
8179_001514_001574.rttm,0.00,2.59,0.00
8357_030300_030360.rttm,94.50,13.45,12.71
8445_017640_017700.rttm,100.00,0.00,0.00
8787_025505_025565.rttm,62.87,7.19,4.52
8788_009120_009180.rttm,100.00,0.00,0.00
8924_017340_017400.rttm,100.00,0.00,0.00
9051_014760_014820.rttm,95.29,4.46,4.25
9398_005100_005160.rttm,100.00,0.00,0.00
9408_033360_033420.rttm,0.00,8.86,0.00
9426_010860_010920.rttm,0.00,0.74,0.00
9427_056820_056880.rttm,100.00,0.00,0.00
9492_028020_028080.rttm,64.13,11.71,7.51
9527_020520_020580.rttm,100.00,0.00,0.00
9755_035340_035400.rttm,41.32,4.38,1.81
9801_036900_036960.rttm,11.35,1.85,0.21
9854_019440_019500.rttm,100.00,0.00,0.00
9858_002640_002700.rttm,100.00,0.00,0.00
9909_010680_010740.rttm,11.79,7.55,0.89
TOTAL,56.76,281.45,159.75
