item,detection recall %,relevant,relevant retrieved
0396_011220_011280.rttm,100.00,0.00,0.00
0643_020364_020424.rttm,100.00,0.00,0.00
0790_014460_014520.rttm,94.64,7.09,6.71
1130_023040_023100.rttm,100.00,0.00,0.00
1156_034560_034620.rttm,34.21,2.28,0.78
1196_034740_034800.rttm,100.00,0.00,0.00
1299_004320_004380.rttm,98.63,1.46,1.44
1499_024300_024360.rttm,8.57,9.57,0.82
1618_031680_031740.rttm,57.47,5.29,3.04
1735_015060_015120.rttm,93.54,5.26,4.92
1768_016980_017040.rttm,24.22,4.79,1.16
1844_030000_030060.rttm,0.00,0.53,0.00
2109_029116_029176.rttm,100.00,0.00,0.00
2534_004380_004440.rttm,36.43,2.58,0.94
2535_032640_032700.rttm,75.75,9.32,7.06
2625_027365_027425.rttm,18.95,0.95,0.18
2745_020220_020280.rttm,100.00,0.00,0.00
2927_026160_026220.rttm,55.04,10.41,5.73
3026_005809_005869.rttm,100.00,0.00,0.00
3090_047040_047100.rttm,100.00,0.09,0.09
3486_033120_033180.rttm,75.00,5.68,4.26
3510_004740_004800.rttm,100.00,0.76,0.76
3528_006660_006720.rttm,100.00,0.00,0.00
3542_006420_006480.rttm,33.27,16.77,5.58
3634_036120_036180.rttm,100.00,0.00,0.00
3749_004620_004680.rttm,37.02,4.97,1.84
3895_043560_043620.rttm,93.10,11.01,10.25
4483_006600_006660.rttm,66.67,0.66,0.44
4736_013800_013860.rttm,100.00,0.00,0.00
4995_026700_026760.rttm,100.00,0.00,0.00
5613_044460_044520.rttm,26.94,9.13,2.46
5750_030480_030540.rttm,24.66,5.15,1.27
5959_022920_022980.rttm,0.00,13.64,0.00
6026_002100_002160.rttm,81.09,4.39,3.56
6035_030360_030420.rttm,0.00,0.02,0.00
6216_013922_013982.rttm,0.00,0.41,0.00
7176_001701_001761.rttm,13.53,20.47,2.77
7220_030589_030649.rttm,52.13,7.27,3.79
7326_006918_006978.rttm,100.00,0.00,0.00
7758_034320_034380.rttm,100.00,0.00,0.00
7798_019560_019620.rttm,55.47,2.74,1.52
7903_002820_002880.rttm,64.56,10.30,6.65
8179_001514_001574.rttm,23.19,4.57,1.06
8357_030300_030360.rttm,0.00,0.02,0.00
8445_017640_017700.rttm,74.76,4.16,3.11
8787_025505_025565.rttm,40.06,10.06,4.03
8788_009120_009180.rttm,94.50,10.19,9.63
8924_017340_017400.rttm,53.85,0.26,0.14
9051_014760_014820.rttm,100.00,0.00,0.00
9398_005100_005160.rttm,100.00,0.00,0.00
9408_033360_033420.rttm,94.44,0.54,0.51
9426_010860_010920.rttm,100.00,0.47,0.47
9427_056820_056880.rttm,19.01,2.63,0.50
9492_028020_028080.rttm,87.78,1.80,1.58
9527_020520_020580.rttm,89.29,2.24,2.00
9755_035340_035400.rttm,0.00,0.44,0.00
9801_036900_036960.rttm,100.00,0.00,0.00
9854_019440_019500.rttm,100.00,0.00,0.00
9858_002640_002700.rttm,100.00,0.00,0.00
9909_010680_010740.rttm,94.85,9.12,8.65
TOTAL,49.98,219.49,109.70
