item,detection precision %,retrieved,relevant retrieved
BER_0396_011220_011280.rttm,78.53,11.46,9.00
BER_1196_034740_034800.rttm,98.61,20.11,19.83
BER_1618_031680_031740.rttm,94.66,45.70,43.26
BER_1844_030000_030060.rttm,86.11,20.88,17.98
BER_2927_026160_026220.rttm,99.93,42.76,42.73
BER_3749_004620_004680.rttm,98.51,42.17,41.54
BER_3895_043560_043620.rttm,86.52,47.39,41.00
BER_5750_030480_030540.rttm,92.27,17.20,15.87
BER_6035_030360_030420.rttm,46.09,42.76,19.71
BER_7758_034320_034380.rttm,88.56,54.79,48.52
ROS_0790_014460_014520.rttm,85.17,44.57,37.96
ROS_1299_004320_004380.rttm,57.52,58.47,33.63
ROS_2534_004380_004440.rttm,91.42,22.15,20.25
ROS_3510_004740_004800.rttm,76.55,16.59,12.70
ROS_6026_002100_002160.rttm,86.65,46.97,40.70
ROS_7903_002820_002880.rttm,100.00,44.29,44.29
ROS_8788_009120_009180.rttm,86.31,53.56,46.23
ROS_9051_014760_014820.rttm,59.01,21.47,12.67
ROS_9426_010860_010920.rttm,47.18,35.59,16.79
ROS_9909_010680_010740.rttm,73.48,56.89,41.80
ROW_1156_034560_034620.rttm,98.52,36.38,35.84
ROW_1735_015060_015120.rttm,95.62,36.98,35.36
ROW_1768_016980_017040.rttm,86.53,23.31,20.17
ROW_2745_020220_020280.rttm,69.07,4.72,3.26
ROW_3486_033120_033180.rttm,91.51,40.30,36.88
ROW_7798_019560_019620.rttm,84.38,46.16,38.95
ROW_8357_030300_030360.rttm,88.87,23.72,21.08
ROW_9408_033360_033420.rttm,82.95,23.93,19.85
ROW_9492_028020_028080.rttm,61.41,29.75,18.27
ROW_9801_036900_036960.rttm,72.02,46.03,33.15
SOD_1499_024300_024360.rttm,89.45,26.63,23.82
SOD_3542_006420_006480.rttm,94.17,35.17,33.12
SOD_3634_036120_036180.rttm,99.44,3.54,3.52
SOD_4483_006600_006660.rttm,80.64,28.05,22.62
SOD_4736_013800_013860.rttm,61.25,32.57,19.95
SOD_8445_017640_017700.rttm,90.12,43.23,38.96
SOD_8924_017340_017400.rttm,98.44,41.54,40.89
SOD_9527_020520_020580.rttm,60.20,42.34,25.49
SOD_9854_019440_019500.rttm,82.79,22.83,18.90
SOD_9858_002640_002700.rttm,55.95,1.68,0.94
TSE_0643_020364_020424.rttm,14.63,41.43,6.06
TSE_2109_029116_029176.rttm,49.65,4.23,2.10
TSE_2625_027365_027425.rttm,59.75,33.64,20.10
TSE_3026_005809_005869.rttm,85.35,20.14,17.19
TSE_6216_013922_013982.rttm,91.15,21.36,19.47
TSE_7176_001701_001761.rttm,92.42,37.73,34.87
TSE_7220_030589_030649.rttm,85.37,47.99,40.97
TSE_7326_006918_006978.rttm,85.54,5.81,4.97
TSE_8179_001514_001574.rttm,71.62,26.57,19.03
TSE_8787_025505_025565.rttm,93.02,36.95,34.37
WAR_1130_023040_023100.rttm,10.04,46.22,4.64
WAR_2535_032640_032700.rttm,97.76,45.03,44.02
WAR_3090_047040_047100.rttm,85.40,33.69,28.77
WAR_3528_006660_006720.rttm,98.18,36.79,36.12
WAR_4995_026700_026760.rttm,94.63,46.16,43.68
WAR_5613_044460_044520.rttm,92.56,36.83,34.09
WAR_5959_022920_022980.rttm,98.49,9.29,9.15
WAR_9398_005100_005160.rttm,93.30,15.22,14.20
WAR_9427_056820_056880.rttm,99.32,17.71,17.59
WAR_9755_035340_035400.rttm,59.72,32.99,19.70
TOTAL,80.22,1930.41,1548.57
