item,detection recall %,relevant,relevant retrieved
0396_011220_011280.rttm,91.93,11.03,10.14
0643_020364_020424.rttm,87.07,6.96,6.06
0790_014460_014520.rttm,88.84,42.03,37.34
1130_023040_023100.rttm,96.07,4.83,4.64
1156_034560_034620.rttm,91.52,39.15,35.83
1196_034740_034800.rttm,89.79,19.30,17.33
1299_004320_004380.rttm,99.26,33.88,33.63
1499_024300_024360.rttm,69.51,34.27,23.82
1618_031680_031740.rttm,84.48,50.63,42.77
1735_015060_015120.rttm,90.31,37.55,33.91
1768_016980_017040.rttm,68.42,29.48,20.17
1844_030000_030060.rttm,88.44,20.42,18.06
2109_029116_029176.rttm,77.21,2.72,2.10
2534_004380_004440.rttm,86.21,23.64,20.38
2535_032640_032700.rttm,93.84,46.91,44.02
2625_027365_027425.rttm,76.63,26.23,20.10
2745_020220_020280.rttm,89.67,3.29,2.95
2927_026160_026220.rttm,84.55,50.54,42.73
3026_005809_005869.rttm,81.20,21.17,17.19
3090_047040_047100.rttm,98.66,29.16,28.77
3486_033120_033180.rttm,90.47,40.30,36.46
3510_004740_004800.rttm,90.84,13.98,12.70
3528_006660_006720.rttm,89.72,40.26,36.12
3542_006420_006480.rttm,66.86,49.54,33.12
3634_036120_036180.rttm,85.42,3.84,3.28
3749_004620_004680.rttm,89.22,46.66,41.63
3895_043560_043620.rttm,94.16,43.52,40.98
4483_006600_006660.rttm,86.48,26.04,22.52
4736_013800_013860.rttm,91.01,21.92,19.95
4995_026700_026760.rttm,89.96,49.70,44.71
5613_044460_044520.rttm,78.15,43.62,34.09
5750_030480_030540.rttm,39.35,40.48,15.93
5959_022920_022980.rttm,17.86,51.22,9.15
6026_002100_002160.rttm,93.78,43.40,40.70
6035_030360_030420.rttm,90.08,21.88,19.71
6216_013922_013982.rttm,68.32,28.50,19.47
7176_001701_001761.rttm,62.86,55.47,34.87
7220_030589_030649.rttm,91.43,44.81,40.97
7326_006918_006978.rttm,83.67,5.94,4.97
7758_034320_034380.rttm,94.05,51.59,48.52
7798_019560_019620.rttm,84.06,41.29,34.71
7903_002820_002880.rttm,37.59,117.82,44.29
8179_001514_001574.rttm,75.58,25.18,19.03
8357_030300_030360.rttm,94.60,22.04,20.85
8445_017640_017700.rttm,94.36,41.29,38.96
8787_025505_025565.rttm,80.66,42.61,34.37
8788_009120_009180.rttm,96.61,47.85,46.23
8924_017340_017400.rttm,88.62,46.14,40.89
9051_014760_014820.rttm,90.89,13.94,12.67
9398_005100_005160.rttm,94.74,15.01,14.22
9408_033360_033420.rttm,82.08,23.94,19.65
9426_010860_010920.rttm,94.75,17.72,16.79
9427_056820_056880.rttm,68.97,25.17,17.36
9492_028020_028080.rttm,97.66,18.82,18.38
9527_020520_020580.rttm,98.30,25.93,25.49
9755_035340_035400.rttm,84.83,24.39,20.69
9801_036900_036960.rttm,99.64,33.27,33.15
9854_019440_019500.rttm,94.69,19.96,18.90
9858_002640_002700.rttm,100.00,0.94,0.94
9909_010680_010740.rttm,97.74,43.00,42.03
TOTAL,81.03,1902.17,1541.39
